,class,documents
0,0,"I'm terrified to turn my computer on right now, all because of a faint whiff of what might have been smoke.  This is absurd, right?
"
1,0,"Oh great, something new to be paranoid about: my laptop catching fire. (Thought I smelt smoke before) I swear, my brain is the WORST.
"
2,0,"Alright, I think I have most of the still image settings & controls down - haven't even started on video.  Or live view.  Photo-walk time!
"
3,0,"Cameras are alot like plants. They need light and if you water them too much, they'll probably die forever. RT via @kirstiecat (best ever!)
"
4,0,"@deseraestage Oh, I hope you hunt some down, I'll be there as well!
"
5,0,"http://bit.ly/c6BjdW Holy LOST overanalysis, batman! (Who am I kidding, I love this shit.) (Um, SPOILERS ahead, obviously.)
"
6,0,"@emistijl Re: Lolita: I know it's a great book, but I still had a hell of a hard time getting through it, & I don't know if I'd ever reread.
"
7,0,"@jennylow @deseraestage I tend to notice the ratio, heh. & YES on the pushy bit, although of course not all guys are like that.
"
8,0,"@jennylow Yup, I just got the 7D today!  The shutter on my XTi was getting unreliable, so I took the plunge.  Loving it so far!
"
9,0,"Just watched The Virgin Suicides with T & E.  One of my favorite books - was impressed by how much dialogue was preserved unchanged.
"
10,0,"Oh shit I need to learn all the settings on the 7D, like, now. I'm so used to knowing exactly where everything is on the XTi, so strange.
"
11,0,"@deseraestage @jennylow Some shows it's been a fairly even split, & a few times I've seen lady majorities - but yeah, generally not the case
"
12,0,"@emistijl We are at my house!  You're welcome to come over if you like, we were thinking of watching a movie.
"
13,0,"Theresa & I found a Mithril sweater in Anthropologie, trufax guys. #wheremylotrgeeksat?
"
14,0,"I just unlocked the ""Superstar"" badge on @foursquare! http://4sq.com/a5nlsQ
"
15,0,"Seriously, this thing feels like it was made for my hands, the size is PERFECT. #geeklove
"
16,0,"OM NOM NOM DELICIOUS NEW CAMERA! http://yfrog.com/4eg5kpj
"
17,0,"And here I thought I followed mostly music / photo type people, hah.  (S'ok, saves me from watching it myself!)
"
18,0,"Oh looked what happened on Twitter all morning /afternoon while I was working, people talked about the Tiger Woods press conference.
"
19,0,"Editing a weird set of photos from yesterday: macro shots of icicles looking like bones & tapeworms.  It's freaking me out a little. #fb
"
20,0,"Listening to some Regina Spektor for the first time in ages - I hear Better on the muzak at work every day but can't really sing along there
"
21,0,"@thomashartnett Ahaha this tweet sounds like the story of my life.
"
22,0,"&lt;begin girly-rant&gt; Since I don't want kids, ever, can I be excused from having periods indefinitely?  Ok, thanks. &lt;end girly-rant&gt;
"
23,0,"@leebovel Congrats, Laura!  That's fantastic news, I'm so happy for you!  (Also - enjoy your trip!)
"
24,0,"Photo: Two of my favorite valentines: my cat Rufus & Miss Theresa. We had a Valentines Day Veronica Mars... http://tumblr.com/x1i6jn4h1
"
25,0,"Eep, just ordered a new camera!  Goodbye money, hello Canon 7D, please arrive soon, etc.
"
26,0,"@MissyKayko Ooh, congrats!
"
27,0,"@LauraVogel Every year on Ash Weds I have to remind myself not to say to people, oops, you have a little smudge of dirt on your forehead...
"
28,0,"@leebovel Ooh could these exclamation points be about what I think they are!?  If so, yaayyy!
"
29,0,"@kirstiecat Also I consider flickr my personal dumping ground from which to cull a few to post on my blog or publish elsewhere.
"
