Start,End,Average daily use
5/6/18 0:00,6/6/18 0:00,18.1
4/6/18 0:00,5/6/18 0:00,20.4
3/6/18 0:00,4/6/18 0:00,18.8
2/6/18 0:00,3/6/18 0:00,18.2
1/6/18 0:00,2/6/18 0:00,18.3
31/5/18 0:00,1/6/18 0:00,23.4
30/5/18 0:00,31/5/18 0:00,14.1
29/5/18 0:00,30/5/18 0:00,9.5
28/5/18 0:00,29/5/18 0:00,12.3
27/5/18 0:00,28/5/18 0:00,19
26/5/18 0:00,27/5/18 0:00,18.4
25/5/18 0:00,26/5/18 0:00,24.8
24/5/18 0:00,25/5/18 0:00,10.7
23/5/18 0:00,24/5/18 0:00,14.9
22/5/18 0:00,23/5/18 0:00,14.8
21/5/18 0:00,22/5/18 0:00,24.5
20/5/18 0:00,21/5/18 0:00,21
19/5/18 0:00,20/5/18 0:00,13
18/5/18 0:00,19/5/18 0:00,17.2
17/5/18 0:00,18/5/18 0:00,11.1
16/5/18 0:00,17/5/18 0:00,17.4
15/5/18 0:00,16/5/18 0:00,20.2
14/5/18 0:00,15/5/18 0:00,19.6
13/5/18 0:00,14/5/18 0:00,19.4
12/5/18 0:00,13/5/18 0:00,20.1
11/5/18 0:00,12/5/18 0:00,38.8
10/5/18 0:00,11/5/18 0:00,10.7
9/5/18 0:00,10/5/18 0:00,18
8/5/18 0:00,9/5/18 0:00,14.8
7/5/18 0:00,8/5/18 0:00,11.9
6/5/18 0:00,7/5/18 0:00,20.5
5/5/18 0:00,6/5/18 0:00,19.3
4/5/18 0:00,5/5/18 0:00,13.6
3/5/18 0:00,4/5/18 0:00,5.4
2/5/18 0:00,3/5/18 0:00,10.3
1/5/18 0:00,2/5/18 0:00,16.6
30/4/18 0:00,1/5/18 0:00,9.2
29/4/18 0:00,30/4/18 0:00,10.7
28/4/18 0:00,29/4/18 0:00,19.9
27/4/18 0:00,28/4/18 0:00,21
26/4/18 0:00,27/4/18 0:00,8.2
25/4/18 0:00,26/4/18 0:00,7.4
24/4/18 0:00,25/4/18 0:00,3.5
23/4/18 0:00,24/4/18 0:00,6.7
22/4/18 0:00,23/4/18 0:00,9
21/4/18 0:00,22/4/18 0:00,15.2
20/4/18 0:00,21/4/18 0:00,19.3
19/4/18 0:00,20/4/18 0:00,11.4
18/4/18 0:00,19/4/18 0:00,8
17/4/18 0:00,18/4/18 0:00,11.9
16/4/18 0:00,17/4/18 0:00,8.2
15/4/18 0:00,16/4/18 0:00,19.4
14/4/18 0:00,15/4/18 0:00,18
13/4/18 0:00,14/4/18 0:00,11.9
12/4/18 0:00,13/4/18 0:00,5.2
11/4/18 0:00,12/4/18 0:00,4.1
10/4/18 0:00,11/4/18 0:00,15.4
9/4/18 0:00,10/4/18 0:00,3
8/4/18 0:00,9/4/18 0:00,2.7
7/4/18 0:00,8/4/18 0:00,2.5
6/4/18 0:00,7/4/18 0:00,5.6
5/4/18 0:00,6/4/18 0:00,8.6
4/4/18 0:00,5/4/18 0:00,9.6
3/4/18 0:00,4/4/18 0:00,9.8
2/4/18 0:00,3/4/18 0:00,7.7
1/4/18 0:00,2/4/18 0:00,12
31/3/18 0:00,1/4/18 0:00,7
30/3/18 0:00,31/3/18 0:00,15.6
29/3/18 0:00,30/3/18 0:00,5.1
28/3/18 0:00,29/3/18 0:00,3.3
27/3/18 0:00,28/3/18 0:00,8.1
26/3/18 0:00,27/3/18 0:00,9
25/3/18 0:00,26/3/18 0:00,12.3
24/3/18 0:00,25/3/18 0:00,15.8
23/3/18 0:00,24/3/18 0:00,5.1
22/3/18 0:00,23/3/18 0:00,5.4
21/3/18 0:00,22/3/18 0:00,8.4
20/3/18 0:00,21/3/18 0:00,9.3
19/3/18 0:00,20/3/18 0:00,6.8
18/3/18 0:00,19/3/18 0:00,5.9
17/3/18 0:00,18/3/18 0:00,13.8
16/3/18 0:00,17/3/18 0:00,12
15/3/18 0:00,16/3/18 0:00,8.9
14/3/18 0:00,15/3/18 0:00,5.1
13/3/18 0:00,14/3/18 0:00,9.9
12/3/18 0:00,13/3/18 0:00,3.9
11/3/18 0:00,12/3/18 0:00,6.3
10/3/18 0:00,11/3/18 0:00,10.2
9/3/18 0:00,10/3/18 0:00,11.6
8/3/18 0:00,9/3/18 0:00,7.6
7/3/18 0:00,8/3/18 0:00,12.9
6/3/18 0:00,7/3/18 0:00,4.6
5/3/18 0:00,6/3/18 0:00,6.9
4/3/18 0:00,5/3/18 0:00,5.1
3/3/18 0:00,4/3/18 0:00,5.4
2/3/18 0:00,3/3/18 0:00,8.8
1/3/18 0:00,2/3/18 0:00,7.2
28/2/18 0:00,1/3/18 0:00,3.7
27/2/18 0:00,28/2/18 0:00,6.9
26/2/18 0:00,27/2/18 0:00,8
25/2/18 0:00,26/2/18 0:00,15.6
24/2/18 0:00,25/2/18 0:00,15
23/2/18 0:00,24/2/18 0:00,9.6
22/2/18 0:00,23/2/18 0:00,5.2
21/2/18 0:00,22/2/18 0:00,4.6
20/2/18 0:00,21/2/18 0:00,6.4
19/2/18 0:00,20/2/18 0:00,8.9
18/2/18 0:00,19/2/18 0:00,12.5
17/2/18 0:00,18/2/18 0:00,17.6
16/2/18 0:00,17/2/18 0:00,8.3
15/2/18 0:00,16/2/18 0:00,3.9
14/2/18 0:00,15/2/18 0:00,13.2
13/2/18 0:00,14/2/18 0:00,3.9
12/2/18 0:00,13/2/18 0:00,8
11/2/18 0:00,12/2/18 0:00,14.1
10/2/18 0:00,11/2/18 0:00,5.1
9/2/18 0:00,10/2/18 0:00,10.4
8/2/18 0:00,9/2/18 0:00,4.2
7/2/18 0:00,8/2/18 0:00,6.5
6/2/18 0:00,7/2/18 0:00,4.9
5/2/18 0:00,6/2/18 0:00,6.4
4/2/18 0:00,5/2/18 0:00,11.6
3/2/18 0:00,4/2/18 0:00,4.4
2/2/18 0:00,3/2/18 0:00,4.7
1/2/18 0:00,2/2/18 0:00,7.6
31/1/18 0:00,1/2/18 0:00,5.5
30/1/18 0:00,31/1/18 0:00,12.8
29/1/18 0:00,30/1/18 0:00,5.4
28/1/18 0:00,29/1/18 0:00,4.9
27/1/18 0:00,28/1/18 0:00,10.4
26/1/18 0:00,27/1/18 0:00,5.5
25/1/18 0:00,26/1/18 0:00,5.3
24/1/18 0:00,25/1/18 0:00,2.9
23/1/18 0:00,24/1/18 0:00,14.9
22/1/18 0:00,23/1/18 0:00,5.2
21/1/18 0:00,22/1/18 0:00,5.7
20/1/18 0:00,21/1/18 0:00,7.7
19/1/18 0:00,20/1/18 0:00,9
18/1/18 0:00,19/1/18 0:00,4.6
17/1/18 0:00,18/1/18 0:00,2.5
16/1/18 0:00,17/1/18 0:00,2.4
15/1/18 0:00,16/1/18 0:00,2.2
14/1/18 0:00,15/1/18 0:00,6
13/1/18 0:00,14/1/18 0:00,15.9
12/1/18 0:00,13/1/18 0:00,16.6
11/1/18 0:00,12/1/18 0:00,4.6
10/1/18 0:00,11/1/18 0:00,6.8
9/1/18 0:00,10/1/18 0:00,7.2
8/1/18 0:00,9/1/18 0:00,3.7
7/1/18 0:00,8/1/18 0:00,7.6
6/1/18 0:00,7/1/18 0:00,5.9
5/1/18 0:00,6/1/18 0:00,3.5
4/1/18 0:00,5/1/18 0:00,5
3/1/18 0:00,4/1/18 0:00,13.1
2/1/18 0:00,3/1/18 0:00,3.8
1/1/18 0:00,2/1/18 0:00,7.6
31/12/17 0:00,1/1/18 0:00,5.3
