_ - uri,_ - rank,_ - name,_ - country,_ - profits,_ - position,_ - imageUri,_ - headquarters,_ - revenue,_ - marketValue,_ - assets,_ - ceo,_ - industry,_ - state,_ - thumbnail,_ - squareImage
https://www.forbes.com/companies/360-security-technology,1574,360 Security Technology,China,10,1574,no-pic,China,321,39253,3637,Hong Zhou,Software & Programming,,,
https://www.forbes.com/companies/3m,214,3M,United States,4137,214,3m,Minnesota,32250,121802,38575,Inge Thulin,Conglomerates,Minnesota,,
https://www.forbes.com/companies/3i-group,1252,3i Group,United Kingdom,1535.3,1252,3i-group,United Kingdom,353,12940,9641,Simon Borrows,Investment Services,,,
https://www.forbes.com/companies/77-bank,1618,77 Bank,Japan,188.5,1618,77-bank,Japan,898,1840,75939,Hiroshi Kamata,Regional Banks,,,
https://www.forbes.com/companies/aac-technologies-holdings,1296,AAC Technologies Holdings,China,791.2,1296,aac-technologies-holdings,China,3137,18945,4718,Zheng Pan,Electronics,,http://specials-images.forbesimg.com/imageserve/57aa09f1a7ea4337c2cf82a8/280x425.jpg?fit=scale&background=000000,http://specials-images.forbesimg.com/imageserve/57aa09f1a7ea4337c2cf82a8/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
https://www.forbes.com/companies/abb,264,ABB,Switzerland,2057.2,264,abb,Switzerland,35037,51263,43570,Ulrich Spiesshofer,Conglomerates,,,
https://www.forbes.com/companies/aecom-technology,1479,AECOM Technology,United States,181.4,1479,aecom-technology,California,19120,5331,14617,Michael Burke,Construction Services,California,,
https://www.forbes.com/companies/aes,1142,AES,United States,158,1142,aes,Virginia,12474,8129,32573,Andrés Ricardo Weilert,Electric Utilities,Virginia,,
https://www.forbes.com/companies/agl-energy,1172,AGL Energy,Australia,640.8,1172,agl-energy,Australia,9968,10867,11229,Andy Vesey,Electric Utilities,,,
https://www.forbes.com/companies/agnc-investment,1028,AGNC Investment,United States,1119,1028,agnc-investment,Maryland,2196,7435,69221,Gary Kain,Investment Services,Maryland,,
https://www.forbes.com/companies/aia-group,92,AIA Group,Hong Kong,6120.5,92,aia-group,Hong Kong,31917,111406,213210,Ng Keng Hooi,Life & Health Insurance,,,
https://www.forbes.com/companies/airbus,101,AIRBUS,Netherlands,2976.5,101,airbus,Netherlands,74672,92149,138333,Thomas Enders,Aerospace & Defense,,,
https://www.forbes.com/companies/alfa,1377,ALFA,Mexico,-86.6,1377,alfa,Mexico,17397,5814,19120,Armando Sada,Conglomerates,,,
https://www.forbes.com/companies/amp,762,AMP,Australia,650,762,amp,Australia,12751,8121,115825,Mike Wilkins,Investment Services,,,
https://www.forbes.com/companies/anz,104,ANZ,Australia,5272.9,104,anz,Australia,28739,61245,717290,Shayne Elliott,Major Banks,,,
https://www.forbes.com/companies/asml-holding,451,ASML Holding,Netherlands,2692.5,451,asml-holding,Netherlands,10978,85378,22930,Peter Wennink,Semiconductors,,,
https://www.forbes.com/companies/att,15,AT&T,United States,30643,15,att,Texas,159219,198293,446343,Randall Stephenson,Telecommunications services,Texas,http://specials-images.forbesimg.com/imageserve/580f8d35a7ea435b91b07545/280x425.jpg?fit=scale&background=000000,http://specials-images.forbesimg.com/imageserve/57ff9f2931358e6da6d7e196/416x416.jpg?background=000000&cropX1=593&cropX2=3943&cropY1=7&cropY2=3358
https://www.forbes.com/companies/atos,858,ATOS,France,677.5,859,atos,France,14315,13904,16192,Thierry Breton,Computer Services,,,
https://www.forbes.com/companies/au-optronics,1116,AU Optronics,Taiwan,1063.7,1116,au-optronics,Taiwan,11210,4091,14834,Shuang Peng,Electronics,,,
https://www.forbes.com/companies/avic-capita,1433,AVIC Capita,China,459.4,1433,no-pic,China,1910,7723,36182,Hong Zhao,Investment Services,,,
https://www.forbes.com/companies/axa-group,33,AXA Group,France,6745,33,axa-group,France,149895,64058,1029142,Thomas Buberl,Diversified Insurance,,,
https://www.forbes.com/companies/aareal-bank,1748,Aareal Bank,Germany,224.4,1748,aareal-bank,Germany,1146,3011,50979,Hermann Merkens,Thrifts & Mortgage Finance,,,
https://www.forbes.com/companies/abbvie,137,AbbVie,United States,6352,137,abbvie,Illinois,29612,165321,69342,Richard Gonzalez,Pharmaceuticals,Illinois,,
https://www.forbes.com/companies/abbott-laboratories,421,Abbott Laboratories,United States,466,421,abbott-laboratories,Illinois,28445,107400,70908,Miles White,Pharmaceuticals,Illinois,,
https://www.forbes.com/companies/abengoa,1480,Abengoa,Spain,4825,1480,abengoa,Spain,1669,255,7635,Joaquin Marin,Construction Services,,,
https://www.forbes.com/companies/abertis,766,Abertis,Spain,1012.2,766,abertis,Spain,5922,19870,35821,Francisco Navarro,Other Transportation,,,
https://www.forbes.com/companies/abiomed,1959,Abiomed,United States,112.2,1959,abiomed,Massachusetts,594,16538,786,Michael Minogue,Medical Equipment & Supplies,Massachusetts,,
https://www.forbes.com/companies/abitare-in,833,Abitare In Spa,Italy,918.5,833,no-pic,Italy,21546,69,32669,Luigi Gozzini,Real Estate,,,
