Ticker,Date
AAPL,2005-01-11
AAPL,2005-01-12
AAPL,2005-02-11
AAPL,2005-03-02
AAPL,2005-04-13
AAPL,2005-04-26
AAPL,2005-06-06
AAPL,2005-07-13
AAPL,2005-08-15
AAPL,2005-08-26
AAPL,2005-10-11
AAPL,2005-10-14
AAPL,2005-12-19
AAPL,2006-01-10
AAPL,2006-01-18
AAPL,2006-04-19
AAPL,2006-04-21
AAPL,2006-07-19
AAPL,2006-08-04
AAPL,2006-08-11
AAPL,2006-09-01
AAPL,2006-10-04
AAPL,2006-10-18
AAPL,2006-10-27
AAPL,2007-01-10
AAPL,2007-01-17
AAPL,2007-02-21
AAPL,2007-04-24
AAPL,2007-04-25
AAPL,2007-05-16
AAPL,2007-07-25
AAPL,2007-10-22
AAPL,2008-01-08
AAPL,2008-01-15
AAPL,2008-01-22
AAPL,2008-04-23
AAPL,2008-06-09
AAPL,2008-07-21
AAPL,2008-08-26
AAPL,2008-10-21
AAPL,2009-01-16
AAPL,2009-01-21
AAPL,2009-02-27
AAPL,2009-04-22
AAPL,2009-06-02
AAPL,2009-07-21
AAPL,2009-08-04
AAPL,2009-10-19
AAPL,2010-01-25
AAPL,2010-03-01
AAPL,2010-03-12
AAPL,2010-04-20
AAPL,2010-07-20
AAPL,2010-10-18
AAPL,2010-11-17
AAPL,2011-01-18
AAPL,2011-01-18
AAPL,2011-02-24
AAPL,2011-04-20
AAPL,2011-06-15
AAPL,2011-07-19
AAPL,2011-08-26
AAPL,2011-10-06
AAPL,2011-10-18
AAPL,2011-11-16
AAPL,2012-01-24
AAPL,2012-02-27
AAPL,2012-04-24
AAPL,2012-05-24
AAPL,2012-06-28
AAPL,2012-07-24
AAPL,2012-10-25
GOOG,2005-01-13
GOOG,2005-02-01
GOOG,2005-02-18
GOOG,2005-03-23
GOOG,2005-04-21
GOOG,2005-05-16
GOOG,2005-07-21
GOOG,2005-10-06
GOOG,2005-10-20
GOOG,2005-11-29
GOOG,2005-12-13
GOOG,2005-12-23
GOOG,2006-01-17
GOOG,2006-01-23
GOOG,2006-01-31
GOOG,2006-03-01
GOOG,2006-03-02
GOOG,2006-03-07
GOOG,2006-04-03
GOOG,2006-04-20
GOOG,2006-06-14
GOOG,2006-07-20
GOOG,2006-10-05
GOOG,2006-10-12
GOOG,2006-10-19
GOOG,2006-11-17
GOOG,2006-12-13
GOOG,2007-01-31
GOOG,2007-02-02
GOOG,2007-03-05
GOOG,2007-03-22
GOOG,2007-03-28
GOOG,2007-04-19
GOOG,2007-04-19
GOOG,2007-04-23
GOOG,2007-05-15
GOOG,2007-05-22
GOOG,2007-05-29
GOOG,2007-07-19
GOOG,2007-07-20
GOOG,2007-08-28
GOOG,2007-10-18
GOOG,2007-11-16
GOOG,2007-11-30
GOOG,2008-01-31
GOOG,2008-03-14
GOOG,2008-04-17
GOOG,2008-06-25
GOOG,2008-07-17
GOOG,2008-10-16
GOOG,2009-01-22
GOOG,2009-03-03
GOOG,2009-04-16
GOOG,2009-05-11
GOOG,2009-06-18
GOOG,2009-07-16
GOOG,2009-08-07
GOOG,2009-10-13
GOOG,2009-10-15
GOOG,2009-11-10
GOOG,2010-01-13
GOOG,2010-01-19
GOOG,2010-01-21
GOOG,2010-01-22
GOOG,2010-03-05
GOOG,2010-04-15
GOOG,2010-05-17
GOOG,2010-07-15
GOOG,2010-10-14
GOOG,2010-11-10
GOOG,2010-11-12
GOOG,2011-01-20
GOOG,2011-01-21
GOOG,2011-01-24
GOOG,2011-03-11
GOOG,2011-04-08
GOOG,2011-04-14
GOOG,2011-04-19
GOOG,2011-05-17
GOOG,2011-05-19
GOOG,2011-06-07
GOOG,2011-06-24
GOOG,2011-07-12
GOOG,2011-07-14
GOOG,2011-08-15
GOOG,2011-08-18
GOOG,2011-10-13
GOOG,2012-01-12
GOOG,2012-01-19
GOOG,2012-02-17
GOOG,2012-04-12
GOOG,2012-04-30
GOOG,2012-05-22
GOOG,2012-06-26
GOOG,2012-07-19
GOOG,2012-08-13
GOOG,2012-10-18
IBM,2005-01-04
IBM,2005-01-18
IBM,2005-01-19
IBM,2005-01-26
IBM,2005-01-27
IBM,2005-02-24
IBM,2005-02-28
IBM,2005-03-07
IBM,2005-03-28
IBM,2005-04-01
IBM,2005-04-05
IBM,2005-04-06
IBM,2005-04-14
IBM,2005-04-15
IBM,2005-04-26
IBM,2005-05-02
IBM,2005-05-04
IBM,2005-05-05
IBM,2005-05-20
IBM,2005-06-08
IBM,2005-06-22
IBM,2005-06-24
IBM,2005-06-27
IBM,2005-07-18
IBM,2005-07-19
IBM,2005-07-26
IBM,2005-07-27
IBM,2005-09-27
IBM,2005-09-29
IBM,2005-10-17
IBM,2005-10-18
IBM,2005-10-25
IBM,2006-01-05
IBM,2006-01-12
IBM,2006-01-17
IBM,2006-01-18
IBM,2006-01-31
IBM,2006-03-01
IBM,2006-03-07
IBM,2006-03-22
IBM,2006-04-18
IBM,2006-04-19
IBM,2006-04-25
IBM,2006-06-06
IBM,2006-06-07
IBM,2006-06-13
IBM,2006-06-29
IBM,2006-07-18
IBM,2006-07-19
IBM,2006-08-08
IBM,2006-10-17
IBM,2006-10-18
IBM,2006-10-31
IBM,2006-11-09
IBM,2006-11-30
IBM,2006-12-11
IBM,2006-12-20
IBM,2007-01-18
IBM,2007-01-19
IBM,2007-01-25
IBM,2007-01-31
IBM,2007-02-05
IBM,2007-03-02
IBM,2007-03-12
