qtr,property_type,median_pice,sales,suburb,postcode,state
31/03/2008,house,587406,1,ABBOTSBURY,2176,NSW
30/06/2008,house,587406,2,ABBOTSBURY,2176,NSW
30/09/2008,house,587406,5,ABBOTSBURY,2176,NSW
31/12/2008,house,587406,4,ABBOTSBURY,2176,NSW
31/03/2009,house,590711,2,ABBOTSBURY,2176,NSW
30/06/2009,house,602192,8,ABBOTSBURY,2176,NSW
30/09/2009,house,604507,8,ABBOTSBURY,2176,NSW
31/12/2009,house,612851,1,ABBOTSBURY,2176,NSW
31/03/2010,house,621195,6,ABBOTSBURY,2176,NSW
30/06/2010,house,629539,7,ABBOTSBURY,2176,NSW
30/09/2010,house,637883,8,ABBOTSBURY,2176,NSW
31/12/2010,house,646228,6,ABBOTSBURY,2176,NSW
31/03/2011,house,642430,6,ABBOTSBURY,2176,NSW
30/06/2011,house,640105,10,ABBOTSBURY,2176,NSW
30/09/2011,house,647362,6,ABBOTSBURY,2176,NSW
31/12/2011,house,653550,11,ABBOTSBURY,2176,NSW
31/03/2012,house,677375,7,ABBOTSBURY,2176,NSW
30/06/2012,house,683089,12,ABBOTSBURY,2176,NSW
30/09/2012,house,691888,13,ABBOTSBURY,2176,NSW
31/12/2012,house,701061,13,ABBOTSBURY,2176,NSW
31/03/2013,house,702457,7,ABBOTSBURY,2176,NSW
30/06/2013,house,710404,13,ABBOTSBURY,2176,NSW
30/09/2013,house,719973,2,ABBOTSBURY,2176,NSW
31/12/2013,house,734826,11,ABBOTSBURY,2176,NSW
31/03/2014,house,766103,9,ABBOTSBURY,2176,NSW
30/06/2014,house,796793,9,ABBOTSBURY,2176,NSW
30/09/2014,house,824893,5,ABBOTSBURY,2176,NSW
31/12/2014,house,855327,8,ABBOTSBURY,2176,NSW
31/03/2015,house,879722,3,ABBOTSBURY,2176,NSW
30/06/2015,house,908110,13,ABBOTSBURY,2176,NSW
30/09/2015,house,940818,13,ABBOTSBURY,2176,NSW
31/12/2015,house,963812,10,ABBOTSBURY,2176,NSW
31/03/2016,house,982209,4,ABBOTSBURY,2176,NSW
30/06/2016,house,1003611,7,ABBOTSBURY,2176,NSW
30/09/2016,house,1015732,6,ABBOTSBURY,2176,NSW
31/12/2016,house,1028184,12,ABBOTSBURY,2176,NSW
31/03/2017,house,1030142,6,ABBOTSBURY,2176,NSW
30/06/2017,house,1037496,11,ABBOTSBURY,2176,NSW
30/09/2017,house,1047538,4,ABBOTSBURY,2176,NSW
31/12/2017,house,1062202,7,ABBOTSBURY,2176,NSW
31/03/2018,house,1102278,2,ABBOTSBURY,2176,NSW
30/06/2018,house,1106211,8,ABBOTSBURY,2176,NSW
30/09/2018,house,1119361,2,ABBOTSBURY,2176,NSW
31/12/2018,house,1127557,6,ABBOTSBURY,2176,NSW
31/03/2019,house,1119990,4,ABBOTSBURY,2176,NSW
30/06/2019,house,1127580,4,ABBOTSBURY,2176,NSW
30/09/2019,house,1127145,1,ABBOTSBURY,2176,NSW
31/12/2019,house,1135567,4,ABBOTSBURY,2176,NSW
31/03/2020,house,1128120,1,ABBOTSBURY,2176,NSW
30/09/2007,house,1172224,1,ABBOTSFORD,2046,NSW
31/12/2007,house,1172224,1,ABBOTSFORD,2046,NSW
31/03/2008,house,1172224,2,ABBOTSFORD,2046,NSW
30/06/2008,house,1172224,1,ABBOTSFORD,2046,NSW
30/09/2008,house,1223739,6,ABBOTSFORD,2046,NSW
31/12/2008,house,1167069,1,ABBOTSFORD,2046,NSW
31/03/2009,house,1198595,3,ABBOTSFORD,2046,NSW
30/06/2009,house,1212177,3,ABBOTSFORD,2046,NSW
30/09/2009,house,1255927,2,ABBOTSFORD,2046,NSW
31/12/2009,house,1321827,3,ABBOTSFORD,2046,NSW
31/03/2010,house,1395956,4,ABBOTSFORD,2046,NSW
30/06/2010,house,1339511,5,ABBOTSFORD,2046,NSW
30/09/2010,house,1305635,3,ABBOTSFORD,2046,NSW
31/12/2010,house,1351365,5,ABBOTSFORD,2046,NSW
31/03/2011,house,1376475,2,ABBOTSFORD,2046,NSW
30/06/2011,house,1451277,3,ABBOTSFORD,2046,NSW
30/09/2011,house,1511902,5,ABBOTSFORD,2046,NSW
31/12/2011,house,1538882,10,ABBOTSFORD,2046,NSW
31/03/2012,house,1530239,3,ABBOTSFORD,2046,NSW
30/06/2012,house,1484445,3,ABBOTSFORD,2046,NSW
30/09/2012,house,1455707,6,ABBOTSFORD,2046,NSW
31/12/2012,house,1482098,10,ABBOTSFORD,2046,NSW
31/03/2013,house,1535231,4,ABBOTSFORD,2046,NSW
30/06/2013,house,1575455,7,ABBOTSFORD,2046,NSW
30/09/2013,house,1627341,3,ABBOTSFORD,2046,NSW
31/12/2013,house,1664731,8,ABBOTSFORD,2046,NSW
31/03/2014,house,1663904,4,ABBOTSFORD,2046,NSW
30/06/2014,house,1675138,9,ABBOTSFORD,2046,NSW
30/09/2014,house,1670070,5,ABBOTSFORD,2046,NSW
