Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,086351,1979,09,16.1,Y
IDCJAC0002,086351,1979,10,19.2,Y
IDCJAC0002,086351,1979,11,22.3,Y
IDCJAC0002,086351,1979,12,26.8,Y
IDCJAC0002,086351,1980,01,24.7,Y
IDCJAC0002,086351,1980,02,25.8,Y
IDCJAC0002,086351,1980,03,23.5,Y
IDCJAC0002,086351,1980,04,22.1,Y
IDCJAC0002,086351,1980,05,17.8,Y
IDCJAC0002,086351,1980,06,13.4,Y
IDCJAC0002,086351,1980,07,13.1,Y
IDCJAC0002,086351,1980,08,15.3,Y
IDCJAC0002,086351,1980,09,18.1,Y
IDCJAC0002,086351,1980,10,20.1,Y
IDCJAC0002,086351,1980,11,22.9,Y
IDCJAC0002,086351,1980,12,26.5,Y
IDCJAC0002,086351,1981,01,29.8,Y
IDCJAC0002,086351,1981,02,28.2,Y
IDCJAC0002,086351,1981,03,23.1,Y
IDCJAC0002,086351,1981,04,22.2,Y
IDCJAC0002,086351,1981,05,16.5,Y
IDCJAC0002,086351,1981,06,13.4,Y
IDCJAC0002,086351,1981,07,12.9,Y
IDCJAC0002,086351,1981,08,13.7,Y
IDCJAC0002,086351,1981,09,17.9,Y
IDCJAC0002,086351,1981,10,19.6,Y
IDCJAC0002,086351,1981,11,21.5,Y
IDCJAC0002,086351,1981,12,24.0,Y
IDCJAC0002,086351,1982,01,28.0,Y
IDCJAC0002,086351,1982,02,26.9,Y
IDCJAC0002,086351,1982,03,25.3,Y
IDCJAC0002,086351,1982,04,20.7,Y
IDCJAC0002,086351,1982,05,16.3,Y
IDCJAC0002,086351,1982,06,12.6,Y
IDCJAC0002,086351,1982,07,12.1,Y
IDCJAC0002,086351,1982,08,17.1,Y
IDCJAC0002,086351,1982,09,16.2,Y
IDCJAC0002,086351,1982,10,18.9,Y
IDCJAC0002,086351,1982,11,26.0,Y
IDCJAC0002,086351,1982,12,24.2,Y
IDCJAC0002,086351,1983,01,25.1,Y
IDCJAC0002,086351,1983,02,30.1,Y
IDCJAC0002,086351,1983,03,25.0,Y
IDCJAC0002,086351,1983,04,18.2,Y
IDCJAC0002,086351,1983,05,16.4,Y
IDCJAC0002,086351,1983,06,13.0,Y
IDCJAC0002,086351,1983,07,12.5,Y
IDCJAC0002,086351,1983,08,14.7,Y
IDCJAC0002,086351,1983,09,16.0,Y
IDCJAC0002,086351,1983,10,17.9,Y
IDCJAC0002,086351,1983,11,21.0,Y
IDCJAC0002,086351,1983,12,24.9,Y
IDCJAC0002,086351,1984,01,24.5,Y
IDCJAC0002,086351,1984,02,26.9,Y
IDCJAC0002,086351,1984,03,22.5,Y
IDCJAC0002,086351,1984,04,19.7,Y
IDCJAC0002,086351,1984,05,17.4,Y
IDCJAC0002,086351,1984,06,14.3,Y
IDCJAC0002,086351,1984,07,12.4,Y
IDCJAC0002,086351,1984,08,14.6,Y
IDCJAC0002,086351,1984,09,14.8,Y
IDCJAC0002,086351,1984,10,19.4,Y
IDCJAC0002,086351,1984,11,22.5,Y
IDCJAC0002,086351,1984,12,23.3,Y
IDCJAC0002,086351,1985,01,24.9,Y
IDCJAC0002,086351,1985,02,26.0,Y
IDCJAC0002,086351,1985,03,26.5,Y
IDCJAC0002,086351,1985,04,21.8,Y
IDCJAC0002,086351,1985,05,15.4,Y
IDCJAC0002,086351,1985,06,13.0,Y
IDCJAC0002,086351,1985,07,12.8,Y
IDCJAC0002,086351,1985,08,14.1,Y
IDCJAC0002,086351,1985,09,15.5,Y
IDCJAC0002,086351,1985,10,19.6,Y
IDCJAC0002,086351,1986,04,19.8,Y
IDCJAC0002,086351,1986,06,12.8,Y
IDCJAC0002,086351,1986,07,12.5,Y
IDCJAC0002,086351,1988,08,14.8,Y
IDCJAC0002,086351,1990,01,26.4,Y
IDCJAC0002,086351,1990,02,25.0,Y
IDCJAC0002,086351,1990,03,24.9,Y
IDCJAC0002,086351,1990,04,20.3,Y
IDCJAC0002,086351,1990,05,16.8,Y
IDCJAC0002,086351,1990,06,13.8,Y
IDCJAC0002,086351,1990,07,13.9,Y
IDCJAC0002,086351,1990,08,13.5,Y
IDCJAC0002,086351,1990,09,16.5,Y
IDCJAC0002,086351,1990,10,19.6,Y
IDCJAC0002,086351,1990,11,22.6,Y
IDCJAC0002,086351,1990,12,26.6,Y
IDCJAC0002,086351,1991,01,26.1,Y
IDCJAC0002,086351,1991,02,26.4,Y
IDCJAC0002,086351,1991,03,24.4,Y
IDCJAC0002,086351,1991,04,19.6,Y
IDCJAC0002,086351,1991,05,16.2,Y
IDCJAC0002,086351,1991,06,15.1,Y
IDCJAC0002,086351,1991,07,13.2,Y
IDCJAC0002,086351,1991,08,14.0,Y
IDCJAC0002,086351,1991,09,15.7,Y
IDCJAC0002,086351,1991,10,20.6,Y
IDCJAC0002,086351,1991,11,21.7,Y
IDCJAC0002,086351,1991,12,23.0,Y
IDCJAC0002,086351,1992,01,21.6,Y
IDCJAC0002,086351,1992,02,24.3,Y
IDCJAC0002,086351,1992,03,24.4,Y
IDCJAC0002,086351,1992,04,20.8,Y
IDCJAC0002,086351,1992,05,16.3,Y
IDCJAC0002,086351,1992,06,13.3,Y
IDCJAC0002,086351,1992,07,13.1,Y
IDCJAC0002,086351,1992,08,13.2,Y
IDCJAC0002,086351,1992,09,13.9,Y
IDCJAC0002,086351,1992,10,18.8,Y
IDCJAC0002,086351,1992,11,19.8,Y
IDCJAC0002,086351,1992,12,23.9,Y
IDCJAC0002,086351,1993,01,26.7,Y
IDCJAC0002,086351,1993,02,25.7,Y
IDCJAC0002,086351,1993,03,22.8,Y
IDCJAC0002,086351,1993,04,22.4,Y
IDCJAC0002,086351,1993,05,16.9,Y
IDCJAC0002,086351,1993,06,13.1,Y
IDCJAC0002,086351,1993,07,13.9,Y
IDCJAC0002,086351,1993,08,16.2,Y
IDCJAC0002,086351,1993,09,16.4,Y
IDCJAC0002,086351,1993,10,18.4,Y
IDCJAC0002,086351,1993,11,20.2,Y
IDCJAC0002,086351,1993,12,22.5,Y
IDCJAC0002,086351,1994,01,24.3,Y
IDCJAC0002,086351,1994,02,25.8,Y
IDCJAC0002,086351,1994,03,22.2,Y
IDCJAC0002,086351,1994,04,20.1,Y
IDCJAC0002,086351,1994,05,16.3,Y
IDCJAC0002,086351,1994,06,14.0,Y
IDCJAC0002,086351,1994,07,14.4,Y
IDCJAC0002,086351,1994,08,13.9,Y
IDCJAC0002,086351,1994,09,15.2,Y
IDCJAC0002,086351,1994,10,19.7,Y
IDCJAC0002,086351,1994,11,21.5,Y
IDCJAC0002,086351,1994,12,27.9,Y
IDCJAC0002,086351,1995,01,26.5,Y
IDCJAC0002,086351,1995,02,26.4,Y
IDCJAC0002,086351,1995,03,22.2,Y
IDCJAC0002,086351,1995,04,17.2,Y
IDCJAC0002,086351,1995,05,15.5,Y
IDCJAC0002,086351,1995,06,13.0,Y
IDCJAC0002,086351,1995,07,11.8,Y
IDCJAC0002,086351,1995,08,15.5,Y
IDCJAC0002,086351,1995,09,15.8,Y
IDCJAC0002,086351,1995,10,18.0,Y
IDCJAC0002,086351,1995,11,21.4,Y
IDCJAC0002,086351,1995,12,20.6,Y
IDCJAC0002,086351,1996,01,25.1,Y
IDCJAC0002,086351,1996,02,23.7,Y
IDCJAC0002,086351,1996,03,23.5,Y
IDCJAC0002,086351,1996,04,17.6,Y
IDCJAC0002,086351,1996,05,16.0,Y
IDCJAC0002,086351,1996,06,14.3,Y
IDCJAC0002,086351,1996,07,12.6,Y
IDCJAC0002,086351,1996,08,14.3,Y
IDCJAC0002,086351,1996,09,16.1,Y
IDCJAC0002,086351,1996,10,19.5,Y
IDCJAC0002,086351,1996,11,20.4,Y
IDCJAC0002,086351,1996,12,22.3,Y
IDCJAC0002,086351,1997,01,27.7,Y
IDCJAC0002,086351,1997,02,30.5,Y
IDCJAC0002,086351,1997,03,22.8,Y
IDCJAC0002,086351,1997,04,20.8,Y
IDCJAC0002,086351,1997,05,15.8,Y
IDCJAC0002,086351,1997,06,14.3,Y
IDCJAC0002,086351,1997,07,12.7,Y
IDCJAC0002,086351,1997,08,14.2,Y
IDCJAC0002,086351,1997,09,16.4,Y
IDCJAC0002,086351,1997,10,20.0,Y
IDCJAC0002,086351,1997,11,23.1,Y
IDCJAC0002,086351,1997,12,25.1,Y
IDCJAC0002,086351,1998,01,27.3,Y
IDCJAC0002,086351,1998,02,27.4,Y
IDCJAC0002,086351,1998,03,24.8,Y
IDCJAC0002,086351,1998,04,18.9,Y
IDCJAC0002,086351,1998,05,16.1,Y
IDCJAC0002,086351,1998,06,13.8,Y
IDCJAC0002,086351,1998,07,12.7,Y
IDCJAC0002,086351,1998,08,15.4,Y
IDCJAC0002,086351,1998,09,18.3,Y
IDCJAC0002,086351,1998,10,18.7,Y
IDCJAC0002,086351,1998,11,21.3,Y
IDCJAC0002,086351,1998,12,25.1,Y
IDCJAC0002,086351,1999,01,27.6,Y
IDCJAC0002,086351,1999,02,28.2,Y
IDCJAC0002,086351,1999,03,23.6,Y
IDCJAC0002,086351,1999,04,18.8,Y
IDCJAC0002,086351,1999,05,18.0,Y
IDCJAC0002,086351,1999,06,14.9,Y
IDCJAC0002,086351,1999,07,14.4,Y
IDCJAC0002,086351,1999,08,15.3,Y
IDCJAC0002,086351,1999,09,18.3,Y
IDCJAC0002,086351,1999,10,20.3,Y
IDCJAC0002,086351,1999,11,22.0,Y
IDCJAC0002,086351,1999,12,24.0,Y
IDCJAC0002,086351,2000,01,24.8,Y
IDCJAC0002,086351,2000,02,30.4,Y
IDCJAC0002,086351,2000,03,25.5,Y
IDCJAC0002,086351,2000,04,21.3,Y
IDCJAC0002,086351,2000,05,15.8,Y
IDCJAC0002,086351,2000,06,13.7,Y
IDCJAC0002,086351,2000,07,13.6,Y
IDCJAC0002,086351,2000,08,14.9,Y
IDCJAC0002,086351,2000,09,17.4,Y
IDCJAC0002,086351,2000,10,18.2,Y
IDCJAC0002,086351,2000,11,23.0,Y
IDCJAC0002,086351,2000,12,25.5,Y
IDCJAC0002,086351,2001,01,29.4,Y
IDCJAC0002,086351,2001,02,28.9,Y
IDCJAC0002,086351,2001,03,23.6,Y
IDCJAC0002,086351,2001,04,20.1,Y
IDCJAC0002,086351,2001,05,16.4,Y
IDCJAC0002,086351,2001,06,15.0,Y
IDCJAC0002,086351,2001,07,13.8,Y
IDCJAC0002,086351,2001,08,14.9,Y
IDCJAC0002,086351,2001,09,18.8,Y
IDCJAC0002,086351,2001,10,18.6,Y
IDCJAC0002,086351,2001,11,20.4,Y
IDCJAC0002,086351,2001,12,21.1,Y
IDCJAC0002,086351,2002,01,25.2,Y
IDCJAC0002,086351,2002,02,24.7,Y
IDCJAC0002,086351,2002,03,23.7,Y
IDCJAC0002,086351,2002,04,21.5,Y
IDCJAC0002,086351,2002,05,17.8,Y
IDCJAC0002,086351,2002,06,14.8,Y
IDCJAC0002,086351,2002,07,14.6,Y
IDCJAC0002,086351,2002,08,15.3,Y
IDCJAC0002,086351,2002,09,18.0,Y
IDCJAC0002,086351,2002,10,20.1,Y
IDCJAC0002,086351,2002,11,23.5,Y
IDCJAC0002,086351,2002,12,24.7,Y
IDCJAC0002,086351,2003,01,27.3,Y
IDCJAC0002,086351,2003,02,26.8,Y
IDCJAC0002,086351,2003,03,24.4,Y
IDCJAC0002,086351,2003,04,20.5,Y
IDCJAC0002,086351,2003,05,17.7,Y
IDCJAC0002,086351,2003,06,14.8,Y
IDCJAC0002,086351,2003,07,13.8,Y
IDCJAC0002,086351,2003,08,14.2,Y
IDCJAC0002,086351,2003,09,16.5,Y
IDCJAC0002,086351,2003,10,16.7,Y
IDCJAC0002,086351,2003,11,22.7,Y
IDCJAC0002,086351,2003,12,27.2,Y
IDCJAC0002,086351,2004,01,24.5,Y
IDCJAC0002,086351,2004,02,26.3,Y
IDCJAC0002,086351,2004,03,23.7,Y
IDCJAC0002,086351,2004,05,16.7,Y
IDCJAC0002,086351,2004,06,14.3,Y
IDCJAC0002,086351,2004,07,13.2,Y
IDCJAC0002,086351,2004,08,15.6,Y
IDCJAC0002,086351,2004,09,16.3,Y
