Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2017,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,CZ,KZ,,,1,live,,B,C
2017,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DE,CH,,1,,live,,T,C
2017,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DE,KZ,,,4,live,,T,C
2017,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,HK,IT,US,,1,leather products (small),,P,W
2017,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,IT,TR,BR,5,,garments,,T,W
2017,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,AL,IT,,,1,live,,T,D
2017,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,CH,DE,CL,,48,live,,T,D
2017,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,CH,IT,,,90,live,,T,D
2017,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,CH,NL,,,21,live,,T,A
2017,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,JP,NL,CL,,756,live,,T,D
2017,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,JP,NL,,,500,live,,T,D
2017,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,NL,CL,,60000,,live,,T,D
2017,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,US,NL,GB,,10,seeds,kg,T,A
2017,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,CR,,,200,specimens,,S,W
2017,I,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,ES,CR,,,150,specimens,,S,W
2017,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,2,,baleen,,P,O
2017,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,1,,baleen,,P,W
2017,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,FR,CA,,1,,carvings,,T,O
2017,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,RU,DE,XX,,2,carvings,,Q,O
2017,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,CZ,ZA,,36,,specimens,,S,W
2017,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DE,GL,,232,,specimens,,S,W
2017,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,FK,XX,74,,skin pieces,,S,W
2017,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,FK,,0.008,,skin pieces,,S,W
2017,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,DE,CA,,1,specimens,,S,W
2017,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,FR,CA,IS,2,,specimens,,S,W
2017,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,ES,,,5,specimens,,S,W
2017,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,DK,AU,,0.013,,specimens,kg,S,W
2017,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,DK,AU,,37,,specimens,,S,W
2017,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,DK,GL,,67,,specimens,,S,W
2017,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,FR,CA,,1,,specimens,,S,W
2017,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,NL,NO,,30,,specimens,,S,W
2017,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,SE,AU,,6,,specimens,,S,W
2017,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,SE,GL,,355,,specimens,g,S,W
2017,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,GB,XX,,1,bone carvings,,T,O
2017,I,Acrantophis madagascariensis,Reptilia,Serpentes,Boidae,Acrantophis,ID,PL,,,10,live,,Z,C
2017,I,Boa constrictor occidentalis,Reptilia,Serpentes,Boidae,Boa,NO,DK,,,3,live,,T,C
2017,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,DE,MG,,1,,specimens,mg,S,W
2017,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,IT,US,,1,,trophies,,H,F
2017,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,AT,TM,,2,,trophies,,H,W
2017,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,CA,PK,,,1,trophies,,H,W
2017,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,CH,ES,US,,1,skins,,P,F
2017,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,CH,PK,,,13,specimens,,S,W
2017,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,DE,TJ,,2,,trophies,,H,W
2017,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,ES,PK,,3,2,trophies,,H,W
2017,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,MX,PK,,,1,trophies,,H,W
2017,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,SG,FR,,,2,live,,Z,C
2017,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,UA,LV,,,9,live,,Z,C
2017,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,US,PK,,,5,trophies,,H,W
2017,I,Capra falconeri megaceros,Mammalia,Artiodactyla,Bovidae,Capra,US,PK,,,1,trophies,,H,W
2017,I,Hippotragus niger variani,Mammalia,Artiodactyla,Bovidae,Hippotragus,CD,ZA,,1,,live,,E,R
2017,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AT,ZA,,1,,trophies,,H,W
2017,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CZ,ZA,,3,,trophies,,H,F
2017,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DE,ZA,,4,,trophies,,H,F
2017,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DK,ZA,,4,,trophies,,H,F
2017,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DK,ZA,,2,,trophies,,H,W
2017,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,US,,1,,trophies,,H,F
2017,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,,4,,trophies,,H,F
2017,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,,2,,trophies,,H,W
2017,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FR,ZA,,1,,trophies,,H,F
2017,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FR,ZA,,4,,trophies,,P,F
2017,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,HU,ZA,,9,,trophies,,H,F
2017,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,IT,US,,1,,trophies,,H,F
2017,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,LU,ZA,,1,,trophies,,H,C
2017,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,LU,ZA,,1,,trophies,,H,F
2017,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,LU,ZA,,1,,trophies,,S,F
2017,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,MA,ES,,,6,live,,S,C
2017,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,PK,ZA,,1,,trophies,,H,W
2017,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,PL,ZA,,1,,trophies,,H,F
2017,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,PT,ZA,,1,,trophies,,H,F
2017,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,SE,ZA,,1,,trophies,,H,F
2017,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,SK,ZA,,3,,trophies,,H,F
2017,I,Buceros bicornis,Aves,Coraciiformes,Bucerotidae,Buceros,DE,SG,,3,,live,,E,W
2017,I,Buceros bicornis,Aves,Coraciiformes,Bucerotidae,Buceros,HK,GB,XX,,1,carvings,,T,O
2017,I,Rhinoplax vigil,Aves,Coraciiformes,Bucerotidae,Rhinoplax,CN,GB,XX,,6,horn carvings,,T,O
2017,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,CH,NL,BE,,1,live,,Q,C
2017,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,GB,CA,,1,,live,,P,F
2017,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,NL,CW,NL,1,,live,,P,F
2017,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,SE,US,,1,,live,,P,F
2017,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,US,IT,US,,2,live,,P,F
2017,I,Cacatua haematuropygia,Aves,Psittaciformes,Cacatuidae,Cacatua,CH,DE,,,1,live,,T,C
2017,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,AR,ES,FR,,1,live,,T,C
2017,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,CH,NL,,,1,bodies,,T,C
2017,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,DE,PH,,1,,live,,T,C
2017,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,LV,UA,,1,,live,,Q,C
2017,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,UA,LV,,,1,live,,Q,C
