year,disasters
1851,4.0
1852,5.0
1853,4.0
1854,0.0
1855,1.0
1856,4.0
1857,3.0
1858,4.0
1859,0.0
1860,6.0
1861,3.0
1862,3.0
1863,4.0
1864,0.0
1865,2.0
1866,6.0
1867,3.0
1868,3.0
1869,5.0
1870,4.0
1871,5.0
1872,3.0
1873,1.0
1874,4.0
1875,4.0
1876,1.0
1877,5.0
1878,5.0
1879,3.0
1880,4.0
1881,2.0
1882,5.0
1883,2.0
1884,2.0
1885,3.0
1886,4.0
1887,2.0
1888,1.0
1889,3.0
1890,
1891,2.0
1892,1.0
1893,1.0
1894,1.0
1895,1.0
1896,3.0
1897,0.0
1898,0.0
1899,1.0
1900,0.0
1901,1.0
1902,1.0
1903,0.0
1904,0.0
1905,3.0
1906,1.0
1907,0.0
1908,3.0
1909,2.0
1910,2.0
1911,0.0
1912,1.0
1913,1.0
1914,1.0
1915,0.0
1916,1.0
1917,0.0
1918,1.0
1919,0.0
1920,0.0
1921,0.0
1922,2.0
1923,1.0
1924,0.0
1925,0.0
1926,0.0
1927,1.0
1928,1.0
1929,0.0
1930,2.0
1931,3.0
1932,3.0
1933,1.0
1934,
1935,2.0
1936,1.0
1937,1.0
1938,1.0
1939,1.0
1940,2.0
1941,4.0
1942,2.0
1943,0.0
1944,0.0
1945,1.0
1946,4.0
1947,0.0
1948,0.0
1949,0.0
1950,1.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,1.0
1957,0.0
1958,0.0
1959,1.0
1960,0.0
1961,1.0
