Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,AFG,9671046,9859928.0,10056480.0,10261254.0,10474903.0,10697983,10927724.0,11163656.0,11411022.0,11676990.0,11964906,12273101.0,12593688.0,12915499.0,13223928.0,13505544,13847330.47,14197766.58,14557071.21,14925468.81,15303189.5,15657868.29,16020767.4,16392077.34,16771993.06,17160714.0,17518107.22,17882943.59,18255378.13,18635569.09,19023678.0,19668810.29,20335820.34,21025450.09,21738466.61,22475663.0,23131309.06,23806081.22,24500537.42,25215251.86,25950815.5,26697430.19,27465525.27,28255718.73,29068646.36,29904962.21,30751661.41,31622333.2,32517656.32,33438328.72,34385068.12
Albania,ALB,1610565,1661158.0,1712563.0,1764593.0,1817098.0,1869942,1922993.0,1976140.0,2029314.0,2082474.0,2135599,2188650.0,2241623.0,2294578.0,2347607.0,2400801,2454255.0,2508026.0,2562121.0,2616530.0,2671300.0,2725029.0,2777592.0,2831682.0,2891004.0,2957390.0,3033393.0,3116009.0,3194854.0,3255859.0,3289483.0,3291695.0,3266983.0,3224901.0,3179442.0,3141102.0,3112597.0,3091902.0,3079037.0,3072725.0,3071856.0,3077378.0,3089778.0,3106701.0,3124861.0,3141800.0,3156607.0,3169665.0,3181397.0,3192723.0,3204284.0
Algeria,DZA,10799997,11006643.0,11209845.0,11420845.0,11654905.0,11923002,12229853.0,12572629.0,12945462.0,13338918.0,13746185,14165889.0,14600659.0,15052371.0,15524137.0,16018195,16533323.0,17068212.0,17624756.0,18205468.0,18811199.0,19442423.0,20095648.0,20762767.0,21433070.0,22098298.0,22753511.0,23398470.0,24035237.0,24668100.0,25299182.0,25930560.0,26557969.0,27169903.0,27751086.0,28291591.0,28786855.0,29242917.0,29673694.0,30099010.0,30533827.0,30982214.0,31441848.0,31913462.0,32396048.0,32888449.0,33391954.0,33906605.0,34428028.0,34950168.0,35468208.0
American Samoa,ASM,20041,20500.0,21124.0,21870.0,22672.0,23480,24283.0,25087.0,25869.0,26608.0,27288,27907.0,28470.0,28983.0,29453.0,29897,30305.0,30696.0,31139.0,31727.0,32526.0,33557.0,34797.0,36203.0,37706.0,39253.0,40834.0,42446.0,44048.0,45595.0,47052.0,48402.0,49648.0,50801.0,51885.0,52919.0,53901.0,54834.0,55745.0,56667.0,57625.0,58633.0,59687.0,60774.0,61871.0,62962.0,64045.0,65130.0,66217.0,67312.0,68420.0
Andorra,AND,13377,14337.0,15337.0,16373.0,17438.0,18529,19640.0,20772.0,21931.0,23127.0,24364,25656.0,26997.0,28357.0,29688.0,30967,32156.0,33279.0,34432.0,35753.0,37328.0,39226.0,41390.0,43636.0,45702.0,47414.0,48653.0,49504.0,50236.0,51241.0,52773.0,54996.0,57767.0,60670.0,63111.0,64699.0,65227.0,64905.0,64246.0,63985.0,64634.0,66390.0,69043.0,72203.0,75292.0,77888.0,79874.0,81390.0,82577.0,83677.0,84864.0
Angola,AGO,4963068,5053693.0,5147083.0,5242084.0,5337063.0,5431135,5524090.0,5617242.0,5713156.0,5815282.0,5926333,6047736.0,6179685.0,6322194.0,6474796.0,6637419,6808850.0,6989988.0,7185188.0,7400231.0,7638420.0,7903368.0,8191774.0,8491682.0,8786652.0,9065562.0,9322550.0,9562796.0,9799680.0,10052567.0,10335052.0,10653515.0,11002910.0,11371750.0,11742960.0,12105105.0,12452725.0,12792237.0,13138265.0,13511575.0,13926373.0,14388244.0,14890474.0,15419943.0,15957460.0,16489021.0,17010366.0,17525367.0,18037964.0,18555115.0,19081912.0
Antigua and Barbuda,ATG,54657,55408.0,56362.0,57472.0,58653.0,59844,61032.0,62226.0,63401.0,64528.0,65587,66554.0,67419.0,68182.0,68848.0,69420,69910.0,70301.0,70533.0,70525.0,70228.0,69639.0,68803.0,67792.0,66701.0,65614.0,64539.0,63510.0,62669.0,62192.0,62202.0,62754.0,63802.0,65238.0,66895.0,68642.0,70450.0,72322.0,74190.0,75985.0,77656.0,79165.0,80507.0,81716.0,82838.0,83916.0,84952.0,85935.0,86881.0,87802.0,88710.0
Argentina,ARG,20625451,20961000.0,21297317.0,21633126.0,21966478.0,22296628,22622012.0,22944941.0,23273148.0,23616971.0,23983358,24376109.0,24791983.0,25222223.0,25654154.0,26078731,26492716.0,26899177.0,27303001.0,27711808.0,28131040.0,28561561.0,29001060.0,29447973.0,29899743.0,30354240.0,30810984.0,31269799.0,31729130.0,32187173.0,32642442.0,33093579.0,33540023.0,33982035.0,34420352.0,34855160.0,35287113.0,35714929.0,36134642.0,36541029.0,36930709.0,37302116.0,37657340.0,38001251.0,38340778.0,38681174.0,39023850.0,39368066.0,39714298.0,40062470.0,40412376.0
Armenia,ARM,1867396,1934239.0,2002170.0,2070427.0,2138133.0,2204650,2269475.0,2332624.0,2394635.0,2456370.0,2518408,2580894.0,2643464.0,2705584.0,2766495.0,2825650,2882831.0,2938181.0,2991954.0,3044564.0,3096298.0,3145885.0,3192877.0,3239212.0,3287588.0,3339147.0,3396511.0,3457054.0,3510439.0,3542720.0,3544695.0,3512051.0,3449940.0,3370373.0,3290540.0,3223173.0,3172185.0,3134836.0,3109101.0,3090624.0,3076098.0,3065810.0,3061067.0,3060554.0,3062612.0,3065954.0,3069844.0,3074181.0,3079087.0,3084979.0,3092072.0
Aruba,ABW,54209,55436.0,56227.0,56698.0,57031.0,57362,57714.0,58052.0,58388.0,58725.0,59066,59439.0,59849.0,60238.0,60524.0,60654,60589.0,60366.0,60108.0,59980.0,60099.0,60570.0,61347.0,62208.0,62833.0,63030.0,62645.0,61830.0,61069.0,61026.0,62147.0,64642.0,68286.0,72573.0,76762.0,80323.0,83069.0,85161.0,86827.0,88442.0,90271.0,92363.0,94596.0,96875.0,99046.0,100996.0,102711.0,104225.0,105526.0,106612.0,107488.0
