Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,014015,1941,02,31.5,Y
IDCJAC0002,014015,1941,03,31.3,Y
IDCJAC0002,014015,1941,04,32.1,Y
IDCJAC0002,014015,1941,05,30.9,Y
IDCJAC0002,014015,1941,06,28.9,Y
IDCJAC0002,014015,1941,07,29.1,Y
IDCJAC0002,014015,1941,08,29.2,Y
IDCJAC0002,014015,1941,09,30.8,Y
IDCJAC0002,014015,1941,10,31.1,Y
IDCJAC0002,014015,1941,11,31.7,Y
IDCJAC0002,014015,1941,12,32.4,Y
IDCJAC0002,014015,1942,01,31.2,Y
IDCJAC0002,014015,1942,02,30.3,Y
IDCJAC0002,014015,1942,03,34.1,Y
IDCJAC0002,014015,1942,04,34.0,Y
IDCJAC0002,014015,1942,05,32.9,Y
IDCJAC0002,014015,1942,06,32.0,Y
IDCJAC0002,014015,1942,07,32.0,Y
IDCJAC0002,014015,1942,08,32.4,Y
IDCJAC0002,014015,1942,09,33.4,Y
IDCJAC0002,014015,1942,10,33.9,Y
IDCJAC0002,014015,1942,11,33.4,Y
IDCJAC0002,014015,1942,12,31.9,Y
IDCJAC0002,014015,1943,01,32.9,Y
IDCJAC0002,014015,1943,02,30.6,Y
IDCJAC0002,014015,1943,03,31.2,Y
IDCJAC0002,014015,1943,04,31.6,Y
IDCJAC0002,014015,1943,05,30.6,Y
IDCJAC0002,014015,1943,06,29.0,Y
IDCJAC0002,014015,1943,07,29.7,Y
IDCJAC0002,014015,1943,08,30.5,Y
IDCJAC0002,014015,1943,09,30.6,Y
IDCJAC0002,014015,1943,10,32.3,Y
IDCJAC0002,014015,1943,11,32.2,Y
IDCJAC0002,014015,1943,12,31.4,Y
IDCJAC0002,014015,1944,01,31.4,Y
IDCJAC0002,014015,1944,02,31.4,Y
IDCJAC0002,014015,1944,03,30.3,Y
IDCJAC0002,014015,1944,04,31.7,Y
IDCJAC0002,014015,1944,05,30.8,Y
IDCJAC0002,014015,1944,06,29.5,Y
IDCJAC0002,014015,1944,07,28.8,Y
IDCJAC0002,014015,1944,08,31.1,Y
IDCJAC0002,014015,1944,09,32.2,Y
IDCJAC0002,014015,1944,10,33.3,Y
IDCJAC0002,014015,1944,11,32.9,Y
IDCJAC0002,014015,1944,12,31.7,Y
IDCJAC0002,014015,1945,01,32.3,Y
IDCJAC0002,014015,1945,02,32.5,Y
IDCJAC0002,014015,1945,03,31.2,Y
IDCJAC0002,014015,1945,04,33.2,Y
IDCJAC0002,014015,1945,05,31.8,Y
IDCJAC0002,014015,1945,06,30.8,Y
IDCJAC0002,014015,1945,07,29.8,Y
IDCJAC0002,014015,1945,08,31.7,Y
IDCJAC0002,014015,1945,09,32.8,Y
IDCJAC0002,014015,1945,10,32.0,Y
IDCJAC0002,014015,1945,11,32.0,Y
IDCJAC0002,014015,1945,12,31.2,Y
IDCJAC0002,014015,1946,01,30.3,Y
IDCJAC0002,014015,1946,02,29.5,Y
IDCJAC0002,014015,1946,06,30.1,Y
IDCJAC0002,014015,1946,07,30.0,Y
IDCJAC0002,014015,1946,08,30.6,Y
IDCJAC0002,014015,1946,09,31.5,Y
IDCJAC0002,014015,1946,10,32.9,Y
IDCJAC0002,014015,1946,11,32.8,Y
IDCJAC0002,014015,1946,12,32.8,Y
IDCJAC0002,014015,1947,01,32.7,Y
IDCJAC0002,014015,1947,02,31.3,Y
IDCJAC0002,014015,1947,03,31.2,Y
IDCJAC0002,014015,1947,04,32.1,Y
IDCJAC0002,014015,1947,05,31.7,Y
IDCJAC0002,014015,1947,06,31.0,Y
IDCJAC0002,014015,1947,07,31.0,Y
IDCJAC0002,014015,1947,08,31.2,Y
IDCJAC0002,014015,1947,09,31.8,Y
IDCJAC0002,014015,1947,10,32.4,Y
IDCJAC0002,014015,1947,11,33.1,Y
IDCJAC0002,014015,1947,12,33.0,Y
IDCJAC0002,014015,1948,01,32.9,Y
IDCJAC0002,014015,1948,02,32.0,Y
IDCJAC0002,014015,1948,03,32.1,Y
IDCJAC0002,014015,1948,04,30.3,Y
IDCJAC0002,014015,1948,05,31.9,Y
IDCJAC0002,014015,1948,06,29.7,Y
IDCJAC0002,014015,1948,07,31.0,Y
IDCJAC0002,014015,1948,08,31.3,Y
IDCJAC0002,014015,1948,09,31.5,Y
IDCJAC0002,014015,1948,10,33.2,Y
IDCJAC0002,014015,1948,11,33.0,Y
IDCJAC0002,014015,1948,12,31.8,Y
IDCJAC0002,014015,1949,01,32.2,Y
IDCJAC0002,014015,1949,02,30.3,Y
IDCJAC0002,014015,1949,03,31.2,Y
IDCJAC0002,014015,1949,04,31.8,Y
IDCJAC0002,014015,1949,05,31.1,Y
IDCJAC0002,014015,1949,06,28.7,Y
IDCJAC0002,014015,1949,07,29.6,Y
IDCJAC0002,014015,1949,08,30.9,Y
IDCJAC0002,014015,1949,09,31.5,Y
IDCJAC0002,014015,1949,10,32.3,Y
IDCJAC0002,014015,1949,11,32.7,Y
IDCJAC0002,014015,1949,12,31.7,Y
IDCJAC0002,014015,1950,01,31.2,Y
IDCJAC0002,014015,1950,02,31.1,Y
IDCJAC0002,014015,1950,03,31.6,Y
IDCJAC0002,014015,1950,04,32.6,Y
IDCJAC0002,014015,1950,05,31.7,Y
IDCJAC0002,014015,1950,06,29.9,Y
IDCJAC0002,014015,1950,07,29.6,Y
IDCJAC0002,014015,1950,08,31.5,Y
IDCJAC0002,014015,1950,09,31.8,Y
IDCJAC0002,014015,1950,10,31.8,Y
IDCJAC0002,014015,1950,11,32.2,Y
IDCJAC0002,014015,1950,12,30.9,Y
IDCJAC0002,014015,1951,01,31.1,Y
IDCJAC0002,014015,1951,02,30.7,Y
IDCJAC0002,014015,1951,03,32.4,Y
IDCJAC0002,014015,1951,04,33.3,Y
IDCJAC0002,014015,1951,05,32.2,Y
IDCJAC0002,014015,1951,06,30.6,Y
IDCJAC0002,014015,1951,07,30.0,Y
IDCJAC0002,014015,1951,08,30.8,Y
IDCJAC0002,014015,1951,09,32.8,Y
IDCJAC0002,014015,1951,10,33.0,Y
IDCJAC0002,014015,1951,11,33.2,Y
IDCJAC0002,014015,1951,12,33.0,Y
IDCJAC0002,014015,1952,01,32.3,Y
IDCJAC0002,014015,1952,02,32.5,Y
IDCJAC0002,014015,1952,03,32.7,Y
