NMI,METER SERIAL NUMBER,CON/GEN,DATE,ESTIMATED?,00:00 - 00:30,00:30 - 01:00,01:00 - 01:30,01:30 - 02:00,02:00 - 02:30,02:30 - 03:00,03:00 - 03:30,03:30 - 04:00,04:00 - 04:30,04:30 - 05:00,05:00 - 05:30,05:30 - 06:00,06:00 - 06:30,06:30 - 07:00,07:00 - 07:30,07:30 - 08:00,08:00 - 08:30,08:30 - 09:00,09:00 - 09:30,09:30 - 10:00,10:00 - 10:30,10:30 - 11:00,11:00 - 11:30,11:30 - 12:00,12:00 - 12:30,12:30 - 13:00,13:00 - 13:30,13:30 - 14:00,14:00 - 14:30,14:30 - 15:00,15:00 - 15:30,15:30 - 16:00,16:00 - 16:30,16:30 - 17:00,17:00 - 17:30,17:30 - 18:00,18:00 - 18:30,18:30 - 19:00,19:00 - 19:30,19:30 - 20:00,20:00 - 20:30,20:30 - 21:00,21:00 - 21:30,21:30 - 22:00,22:00 - 22:30,22:30 - 23:00,23:00 - 23:30,23:30 - 00:00
63053073718,4064485,Consumption,6/3/2017,No,1.204,1.026,0.251,0.038,0.088,0.05,0.076,0.063,0.063,0.076,0.049,0.085,0.177,0.102,0.087,0.115,0.177,0.347,0.289,0.07,0.125,0.055,0.096,0.103,0.084,0.07,0.076,0.076,0.071,0.08,0.065,0.086,0.061,0.089,0.059,0.087,0.06,0.099,0.06,0.128,0.127,0.163,0.159,0.147,0.156,0.096,0.095,0.062
63053073718,4064485,Consumption,7/3/2017,No,0.083,0.072,0.064,0.083,0.05,0.091,0.043,0.086,0.058,0.07,0.072,0.055,0.086,0.053,0.102,0.078,0.095,0.072,0.058,0.09,0.04,0.09,0.053,0.086,0.063,0.07,0.071,0.063,0.077,0.058,0.084,0.053,0.091,1.21,1.251,1.195,0.458,0.071,0.074,0.137,1.283,1.317,1.248,1.191,1.235,1.18,1.029,1.193
63053073718,4064485,Consumption,8/3/2017,No,1.176,0.398,0.06,0.08,0.048,0.089,0.038,0.087,0.051,0.07,0.065,0.053,0.08,0.052,0.078,0.087,0.057,0.108,0.103,0.048,0.084,0.06,0.104,0.069,0.078,0.066,0.075,0.081,0.079,0.072,0.069,0.072,0.078,0.072,0.07,0.084,0.11,0.056,0.113,0.118,0.153,0.558,0.075,0.298,0.075,0.104,0.05,0.101
63053073718,4064485,Consumption,9/3/2017,No,0.048,0.087,0.063,0.073,0.069,0.061,0.077,0.05,0.086,0.04,0.09,0.048,0.123,0.092,0.057,0.085,0.041,0.089,0.051,0.089,0.066,0.072,0.067,0.065,0.075,0.063,0.077,0.065,0.074,0.072,0.068,0.082,0.056,0.095,0.043,0.101,0.044,0.092,0.06,0.076,0.073,0.061,0.086,0.063,0.11,0.105,0.102,0.102
63053073718,4064485,Consumption,10/3/2017,No,0.059,0.057,0.103,0.082,0.036,0.104,0.081,0.038,0.104,0.075,0.04,0.104,0.064,0.062,0.109,0.435,0.25,0.114,0.043,0.109,0.606,0.156,0.432,0.344,0.537,0.093,0.076,0.493,0.584,0.064,0.074,0.096,0.041,0.1,0.045,0.089,0.056,0.076,0.067,0.067,0.074,0.059,0.079,0.052,0.083,0.05,0.081,0.051
63053073718,4064485,Consumption,11/3/2017,No,0.077,0.054,0.07,0.061,0.067,0.067,0.058,0.072,0.05,0.08,0.041,0.088,0.034,0.085,0.043,0.077,0.056,0.062,0.068,0.05,0.079,0.04,0.085,0.04,0.083,0.052,0.072,0.062,0.065,0.068,0.059,0.073,0.059,0.075,0.06,0.074,0.059,0.076,0.057,0.076,0.055,0.079,0.051,0.083,0.049,0.086,0.041,0.091
63053073718,4064485,Consumption,12/3/2017,No,0.035,0.091,0.04,0.084,0.049,0.074,0.056,0.064,0.066,0.055,0.074,0.047,0.082,0.036,0.085,0.037,0.081,0.048,0.07,0.062,0.057,0.074,0.05,0.082,0.047,0.089,0.045,0.093,0.043,0.093,0.045,0.092,0.048,0.088,0.054,0.081,0.059,0.074,0.063,0.071,0.061,0.073,0.061,0.073,0.057,0.076,0.054,0.081
63053073718,4064485,Consumption,13/3/2017,No,0.047,0.086,0.038,0.09,0.036,0.086,0.047,0.072,0.059,0.061,0.069,0.048,0.081,0.035,0.082,0.043,0.072,0.057,0.06,0.072,0.045,0.085,0.038,0.093,0.037,0.094,0.041,0.093,0.042,0.092,0.044,0.094,0.042,0.097,0.037,0.099,0.035,0.103,0.068,0.087,1.089,1.363,1.232,1.234,1.168,1.202,1.042,1.179
63053073718,4064485,Consumption,14/3/2017,No,1.15,0.424,0.047,0.081,0.083,0.043,0.101,0.044,0.082,0.066,0.061,0.081,0.049,0.237,0.191,0.105,0.096,0.573,0.162,0.077,0.26,0.091,0.062,0.097,0.035,0.103,0.063,0.071,0.094,0.039,0.101,0.057,0.078,0.085,0.049,0.1,0.047,0.086,0.197,0.097,0.086,0.328,0.203,0.096,0.085,0.089,0.062,0.084
63053073718,4064485,Consumption,15/3/2017,No,0.058,0.088,0.052,0.09,0.05,0.088,0.054,0.084,0.055,0.081,0.055,0.076,0.06,0.112,0.165,0.084,0.073,0.074,0.068,0.067,0.074,0.069,0.073,0.076,0.063,0.097,0.041,0.103,0.06,0.077,0.091,0.045,0.1,0.066,0.069,0.097,0.05,0.087,0.092,0.04,0.271,0.331,0.378,0.149,0.241,0.092,0.095,0.055
