pl_name,hostname,discoverymethod,disc_year,disc_facility,sy_dist,sy_vmag,st_spectype,st_teff,st_rad,st_mass,st_lum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,pl_insol
"HD 176986 d","HD 176986","Radial Velocity",2026,"Multiple Observatories",27.78430000,8.4200000,"K2.5 V",4931.00,0.782000,0.789000,-0.48017,61.37600000000,0.2814900000,2.49000000,6.76000000,363.00,4.0900
"TOI-1266 d","TOI-1266","Transit Timing Variations",2025,"Transiting Exoplanet Survey Satellite (TESS)",36.01180000,12.9410000,"M2",3563.00,0.423200,0.437000,-1.58021,32.50900000000,0.1513000000,1.74000000,3.68000000,288.00,1.3000
"TOI-5795 b","TOI-5795","Transit",2025,"Transiting Exoplanet Survey Satellite (TESS)",156.53000000,10.7080000,"G3 V",5715.00,1.082000,0.901000,0.05308,6.14063250000,0.0640000000,5.62000000,23.66000000,1136.78,240.6761
"TOI-6109 b","TOI-6109","Transit",2025,"Transiting Exoplanet Survey Satellite (TESS)",151.73800000,11.0500000,"G3",5660.00,1.021000,1.030000,-0.05453,5.69047600000,0.0599000000,4.87040000,21.10000000,700.00,39.9451
"TOI-7510 d","TOI-7510","Transit",2025,"Transiting Exoplanet Survey Satellite (TESS)",249.00600000,11.9890000,"G3",5720.00,1.035000,1.063000,0.01115,48.86446800000,0.2672000000,10.52000000,190.00000000,542.40,20.6036
"TOI-1135 b","TOI-1135","Transit",2024,"Transiting Exoplanet Survey Satellite (TESS)",114.04800000,9.5400000,"G0",6320.00,1.202000,1.119000,0.31806,8.02773270000,0.0815000000,9.91994792,58.79825529,1171.00,310.0000
"TOI-260 b","TOI-260","Transit",2024,"Transiting Exoplanet Survey Satellite (TESS)",20.18520000,9.9000000,"K8 V",4026.00,0.607000,0.616000,-1.05899,13.47585300000,0.0943000000,1.71000000,4.23000000,493.00,10.1838
"TOI-5720 b","TOI-5720","Transit",2024,"Transiting Exoplanet Survey Satellite (TESS)",35.82560000,13.8470000,"M3.5 +/- 1.0",3325.00,0.383000,0.383000,-1.79183,1.43445550000,0.0182880000,1.09000000,4.30000000,708.00,41.7000
"TOI-5799 b","TOI-5799","Transit",2024,"Transiting Exoplanet Survey Satellite (TESS)",27.81230000,13.2900000,"M2 V",3452.00,0.321000,0.325000,-1.82974,4.16450700000,0.0348000000,1.73300000,3.65000000,505.00,11.9100
"TOI-6383 A b","TOI-6383 A","Transit",2024,"Transiting Exoplanet Survey Satellite (TESS)",171.31900000,16.6300000,"M3",3444.00,0.457000,0.458000,-1.48678,1.79058695000,0.0229200000,11.29000000,331.00000000,745.00,51.3000
"WASP-132 d","WASP-132","Radial Velocity",2024,"Multiple Observatories",122.91000000,11.9380000,"K4 V",4686.00,0.758000,0.789000,-0.57512,1816.60000000000,2.7100000000,12.80000000,1639.99458012,107.00,0.0363
"K2-415 b","K2-415","Transit",2023,"K2",21.81820000,15.3300000,"M5 V",3173.00,0.196500,0.163500,-2.45469,4.01796940000,0.0270000000,1.01500000,7.50000000,412.40,4.8200
"TOI-444 b","TOI-444","Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",57.39730000,9.8600000,"K1/2 V",5225.00,0.779000,0.960000,-0.41794,17.96360000000,0.1330000000,2.77000000,8.10000000,609.00,23.4694
"TOI-4600 b","TOI-4600","Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",216.05600000,12.5770000,"K V",5170.00,0.810000,0.890000,-0.37675,82.68690000000,0.3490000000,6.80000000,959.84178914,347.00,3.3159
"TOI-4603 b","TOI-4603","Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",225.64300000,9.2400000,"F",6264.00,2.738000,1.765000,1.01703,7.24599000000,0.0888000000,11.67975789,4096.80816623,1677.00,1192.0000
"TOI-5205 b","TOI-5205","Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",86.44930000,15.8990000,"M4.0",3430.00,0.394000,0.392000,-1.71220,1.63075700000,0.0199000000,11.60000000,343.00000000,737.00,49.0000
"GJ 3090 b","GJ 3090","Transit",2022,"Transiting Exoplanet Survey Satellite (TESS)",22.47510000,11.4030000,"M2 V",3707.00,0.516000,0.519000,-1.34199,2.85310198000,0.0316000000,2.18000000,4.52000000,723.00,45.4000
"HD 28109 d","HD 28109","Transit",2022,"Transiting Exoplanet Survey Satellite (TESS)",139.61100000,9.4200000,"F8",6189.00,1.425000,1.227000,0.43297,84.28990000000,0.4110000000,3.11000000,5.80000000,561.00,17.3745
"NGTS-21 b","NGTS-21","Transit",2022,"Next-Generation Transit Survey (NGTS)",592.89100000,15.5060000,"K3 V",4660.00,0.860000,0.720000,-0.53854,1.54338970000,0.0236000000,14.90794433,750.07504052,1357.00,514.2853
"TOI-1246 c","TOI-1246","Transit",2022,"Transiting Exoplanet Survey Satellite (TESS)",169.42200000,11.6320000,"K V",5213.00,0.864900,0.888900,-0.30103,5.90413700000,0.0610000000,2.45109846,9.10000000,862.49,129.0000
"TOI-1670 b","TOI-1670","Transit",2022,"Transiting Exoplanet Survey Satellite (TESS)",168.06700000,9.8890000,"F7 V",6170.00,1.316000,1.210000,0.40046,10.98462000000,0.1030000000,2.06000000,41.31769291,1062.00,196.6940
"TOI-1696 b","TOI-1696","Transit",2022,"Transiting Exoplanet Survey Satellite (TESS)",64.91720000,16.8200000,"M5V",3185.00,0.277500,0.255000,-2.14813,2.50031100000,0.0229000000,3.09000000,48.80000000,489.00,13.5000
"TOI-712 d","TOI-712","Transit",2022,"Transiting Exoplanet Survey Satellite (TESS)",58.62120000,10.8380000,"K4.5 V",4622.00,0.674000,0.732000,-0.72793,84.83960000000,0.3405000000,2.47400000,6.68000000,313.60,1.6000
"HD 207897 b","HD 207897","Transit",2021,"Transiting Exoplanet Survey Satellite (TESS)",28.29380000,8.3700000,"K0 V",5106.00,0.782700,0.820800,-0.42136,16.20166000000,0.1170000000,2.34302132,14.80000000,581.75,26.5000
"TOI-1634 b","TOI-1634","Transit",2021,"Transiting Exoplanet Survey Satellite (TESS)",35.27360000,13.2170000,"M2",3472.00,0.450000,0.451000,-1.57840,0.98934550000,0.0154500000,1.77300000,7.57000000,924.00,121.0000
"TOI-1685 b","TOI-1685","Transit",2021,"Transiting Exoplanet Survey Satellite (TESS)",37.61530000,13.3780000,"M3 V",3470.00,0.462000,0.466000,-1.51856,0.66913923000,0.0116400000,1.42100000,3.07000000,1000.00,213.0000
"TOI-1749 b","TOI-1749","Transit",2021,"Transiting Exoplanet Survey Satellite (TESS)",99.55610000,13.8600000,"M0 V",3985.00,0.550000,0.580000,-1.15649,2.38839000000,0.0291000000,1.39000000,57.00000000,831.00,83.8379
