,Date,Rate
0,2020-07-01,0.09
1,2020-06-01,0.08
2,2020-05-01,0.05
3,2020-04-01,0.05
4,2020-03-01,0.65
5,2020-02-01,1.58
6,2020-01-01,1.55
7,2019-12-01,1.55
8,2019-11-01,1.55
9,2019-10-01,1.83
10,2019-09-01,2.04
11,2019-08-01,2.13
12,2019-07-01,2.4
13,2019-06-01,2.38
14,2019-05-01,2.39
15,2019-04-01,2.42
16,2019-03-01,2.41
17,2019-02-01,2.4
18,2019-01-01,2.4
19,2018-12-01,2.27
20,2018-11-01,2.2
21,2018-10-01,2.19
22,2018-09-01,1.95
23,2018-08-01,1.91
24,2018-07-01,1.91
25,2018-06-01,1.82
26,2018-05-01,1.7
27,2018-04-01,1.69
28,2018-03-01,1.51
29,2018-02-01,1.42
30,2018-01-01,1.41
31,2017-12-01,1.3
32,2017-11-01,1.16
33,2017-10-01,1.15
34,2017-09-01,1.15
35,2017-08-01,1.16
36,2017-07-01,1.15
37,2017-06-01,1.04
38,2017-05-01,0.91
39,2017-04-01,0.9
40,2017-03-01,0.79
41,2017-02-01,0.66
42,2017-01-01,0.65
43,2016-12-01,0.54
44,2016-11-01,0.41
45,2016-10-01,0.4
46,2016-09-01,0.4
47,2016-08-01,0.4
48,2016-07-01,0.39
49,2016-06-01,0.38
50,2016-05-01,0.37
51,2016-04-01,0.37
52,2016-03-01,0.36
53,2016-02-01,0.38
54,2016-01-01,0.34
55,2015-12-01,0.24
56,2015-11-01,0.12
57,2015-10-01,0.12
58,2015-09-01,0.14
59,2015-08-01,0.14
60,2015-07-01,0.13
61,2015-06-01,0.13
62,2015-05-01,0.12
63,2015-04-01,0.12
64,2015-03-01,0.11
65,2015-02-01,0.11
66,2015-01-01,0.11
67,2014-12-01,0.12
68,2014-11-01,0.09
69,2014-10-01,0.09
70,2014-09-01,0.09
71,2014-08-01,0.09
72,2014-07-01,0.09
73,2014-06-01,0.1
74,2014-05-01,0.09
75,2014-04-01,0.09
76,2014-03-01,0.08
77,2014-02-01,0.07
78,2014-01-01,0.07
79,2013-12-01,0.09
80,2013-11-01,0.08
81,2013-10-01,0.09
82,2013-09-01,0.08
83,2013-08-01,0.08
84,2013-07-01,0.09
85,2013-06-01,0.09
86,2013-05-01,0.11
87,2013-04-01,0.15
88,2013-03-01,0.14
89,2013-02-01,0.15
90,2013-01-01,0.14
91,2012-12-01,0.16
92,2012-11-01,0.16
93,2012-10-01,0.16
94,2012-09-01,0.14
95,2012-08-01,0.13
96,2012-07-01,0.16
97,2012-06-01,0.16
98,2012-05-01,0.16
99,2012-04-01,0.14
100,2012-03-01,0.13
101,2012-02-01,0.1
102,2012-01-01,0.08
103,2011-12-01,0.07
104,2011-11-01,0.08
105,2011-10-01,0.07
106,2011-09-01,0.08
107,2011-08-01,0.1
108,2011-07-01,0.07
109,2011-06-01,0.09
110,2011-05-01,0.09
111,2011-04-01,0.1
112,2011-03-01,0.14
113,2011-02-01,0.16
114,2011-01-01,0.17
115,2010-12-01,0.18
116,2010-11-01,0.19
117,2010-10-01,0.19
118,2010-09-01,0.19
119,2010-08-01,0.19
120,2010-07-01,0.18
121,2010-06-01,0.18
122,2010-05-01,0.2
123,2010-04-01,0.2
124,2010-03-01,0.16
125,2010-02-01,0.13
126,2010-01-01,0.11
127,2009-12-01,0.12
128,2009-11-01,0.12
129,2009-10-01,0.12
130,2009-09-01,0.15
131,2009-08-01,0.16
132,2009-07-01,0.16
133,2009-06-01,0.21
134,2009-05-01,0.18
135,2009-04-01,0.15
136,2009-03-01,0.18
137,2009-02-01,0.22
138,2009-01-01,0.15
139,2008-12-01,0.16
140,2008-11-01,0.39
141,2008-10-01,0.97
142,2008-09-01,1.81
143,2008-08-01,2.0
144,2008-07-01,2.01
145,2008-06-01,2.0
146,2008-05-01,1.98
147,2008-04-01,2.28
148,2008-03-01,2.61
149,2008-02-01,2.98
150,2008-01-01,3.94
151,2007-12-01,4.24
152,2007-11-01,4.49
153,2007-10-01,4.76
154,2007-09-01,4.94
155,2007-08-01,5.02
156,2007-07-01,5.26
157,2007-06-01,5.25
158,2007-05-01,5.25
159,2007-04-01,5.25
160,2007-03-01,5.26
161,2007-02-01,5.26
162,2007-01-01,5.25
163,2006-12-01,5.24
164,2006-11-01,5.25
165,2006-10-01,5.25
166,2006-09-01,5.25
167,2006-08-01,5.25
168,2006-07-01,5.24
169,2006-06-01,4.99
170,2006-05-01,4.94
171,2006-04-01,4.79
172,2006-03-01,4.59
173,2006-02-01,4.49
174,2006-01-01,4.29
175,2005-12-01,4.16
176,2005-11-01,4.0
177,2005-10-01,3.78
178,2005-09-01,3.62
179,2005-08-01,3.5
180,2005-07-01,3.26
181,2005-06-01,3.04
182,2005-05-01,3.0
183,2005-04-01,2.79
184,2005-03-01,2.63
185,2005-02-01,2.5
186,2005-01-01,2.28
187,2004-12-01,2.16
188,2004-11-01,1.93
189,2004-10-01,1.76
190,2004-09-01,1.61
191,2004-08-01,1.43
192,2004-07-01,1.26
193,2004-06-01,1.03
194,2004-05-01,1.0
195,2004-04-01,1.0
196,2004-03-01,1.0
197,2004-02-01,1.01
198,2004-01-01,1.0
199,2003-12-01,0.98
200,2003-11-01,1.0
201,2003-10-01,1.01
202,2003-09-01,1.01
203,2003-08-01,1.03
204,2003-07-01,1.01
205,2003-06-01,1.22
206,2003-05-01,1.26
207,2003-04-01,1.26
208,2003-03-01,1.25
209,2003-02-01,1.26
210,2003-01-01,1.24
211,2002-12-01,1.24
212,2002-11-01,1.34
213,2002-10-01,1.75
214,2002-09-01,1.75
215,2002-08-01,1.74
216,2002-07-01,1.73
217,2002-06-01,1.75
218,2002-05-01,1.75
219,2002-04-01,1.75
220,2002-03-01,1.73
221,2002-02-01,1.74
222,2002-01-01,1.73
223,2001-12-01,1.82
224,2001-11-01,2.09
225,2001-10-01,2.49
226,2001-09-01,3.07
227,2001-08-01,3.65
228,2001-07-01,3.77
229,2001-06-01,3.97
230,2001-05-01,4.21
231,2001-04-01,4.8
232,2001-03-01,5.31
233,2001-02-01,5.49
234,2001-01-01,5.98
235,2000-12-01,6.4
236,2000-11-01,6.51
237,2000-10-01,6.51
238,2000-09-01,6.52
239,2000-08-01,6.5
240,2000-07-01,6.54
241,2000-06-01,6.53
242,2000-05-01,6.27
243,2000-04-01,6.02
244,2000-03-01,5.85
245,2000-02-01,5.73
246,2000-01-01,5.45
247,1999-12-01,5.3
248,1999-11-01,5.42
249,1999-10-01,5.2
250,1999-09-01,5.22
251,1999-08-01,5.07
252,1999-07-01,4.99
253,1999-06-01,4.76
254,1999-05-01,4.74
255,1999-04-01,4.74
256,1999-03-01,4.81
257,1999-02-01,4.76
258,1999-01-01,4.63
259,1998-12-01,4.68
260,1998-11-01,4.83
261,1998-10-01,5.07
262,1998-09-01,5.51
263,1998-08-01,5.55
