,country,income,health,population
0,Afghanistan,1925,57.63,32526562
1,Albania,10620,76.0,2896679
2,Algeria,13434,76.5,39666519
3,Andorra,46577,84.1,70473
4,Angola,7615,61.0,25021974
5,Antigua and Barbuda,21049,75.2,91818
6,Argentina,17344,76.2,43416755
7,Armenia,7763,74.4,3017712
8,Australia,44056,81.8,23968973
9,Austria,44401,81.0,8544586
10,Azerbaijan,16986,72.9,9753968
11,Bahamas,22818,72.3,388019
12,Bahrain,44138,79.2,1377237
13,Bangladesh,3161,70.1,160995642
14,Barbados,12984,75.8,284215
15,Belarus,17415,70.4,9495826
16,Belgium,41240,80.4,11299192
17,Belize,8501,70.0,359287
18,Benin,1830,65.5,10879829
19,Bhutan,7983,70.2,774830
20,Bolivia,6295,72.3,10724705
21,Bosnia and Herzegovina,9833,77.9,3810416
22,Botswana,17196,66.4,2262485
23,Brazil,15441,75.6,207847528
24,Brunei,73003,78.7,423188
25,Bulgaria,16371,74.9,7149787
26,Burkina Faso,1654,62.8,18105570
27,Burundi,777,60.4,11178921
28,Cambodia,3267,68.4,15577899
29,Cameroon,2897,59.5,23344179
30,Canada,43294,81.7,35939927
31,Cape Verde,6514,74.6,520502
32,Central African Republic,599,53.8,4900274
33,Chad,2191,57.7,14037472
34,Chile,22465,79.3,17948141
35,China,13334,76.9,1376048943
36,Colombia,12761,75.8,48228704
37,Comoros,1472,64.1,788474
38,"Congo, Dem. Rep.",809,58.3,77266814
39,"Congo, Rep.",6220,61.9,4620330
40,Costa Rica,14132,80.0,4807850
41,Cote d'Ivoire,3491,60.33,22701556
42,Croatia,20260,78.0,4240317
43,Cuba,21291,78.5,11389562
44,Cyprus,29797,82.6,1165300
45,Czech Republic,29437,78.6,10543186
46,Denmark,43495,80.1,5669081
47,Djibouti,3139,64.63,887861
48,Dominica,10503,74.6,72680
49,Dominican Republic,12837,73.8,10528391
50,Ecuador,10996,75.2,16144363
51,Egypt,11031,71.3,91508084
52,El Salvador,7776,74.1,6126583
53,Equatorial Guinea,31087,60.63,845060
54,Eritrea,1129,62.9,5227791
55,Estonia,26812,76.8,1312558
56,Ethiopia,1520,63.6,99390750
57,Fiji,7925,66.3,892145
58,Finland,38923,80.8,5503457
59,France,37599,81.9,64395345
60,Gabon,18627,60.53,1725292
61,Gambia,1644,65.1,1990924
62,Georgia,7474,73.3,3999812
63,Germany,44053,81.1,80688545
64,Ghana,4099,65.5,27409893
65,Greece,25430,79.8,10954617
66,Grenada,11593,71.7,106825
67,Guatemala,7279,73.1,16342897
68,Guinea,1225,60.8,12608590
69,Guinea-Bissau,1386,53.4,1844325
70,Guyana,6816,64.4,767085
71,Haiti,1710,65.3,10711067
72,Honduras,4270,72.4,8075060
73,Hungary,24200,76.2,9855023
74,Iceland,42182,82.8,329425
75,India,5903,66.8,1311050527
