,country,year,pop,continent,lifeExp,gdpPercap
0,Afghanistan,1952,8425333.0,Asia,28.801,779.4453145
1,Afghanistan,1957,9240934.0,Asia,30.331999999999997,820.8530296
2,Afghanistan,1962,10267083.0,Asia,31.997,853.1007099999999
3,Afghanistan,1967,11537966.0,Asia,34.02,836.1971382
4,Afghanistan,1972,13079460.0,Asia,36.088,739.9811057999999
5,Afghanistan,1977,14880372.0,Asia,38.438,786.11336
6,Afghanistan,1982,12881816.0,Asia,39.854,978.0114388000001
7,Afghanistan,1987,13867957.0,Asia,40.821999999999996,852.3959447999999
8,Afghanistan,1992,16317921.0,Asia,41.674,649.3413952000001
9,Afghanistan,1997,22227415.0,Asia,41.763000000000005,635.341351
10,Afghanistan,2002,25268405.0,Asia,42.129,726.7340548
11,Afghanistan,2007,31889923.0,Asia,43.828,974.5803384
12,Albania,1952,1282697.0,Europe,55.23,1601.056136
13,Albania,1957,1476505.0,Europe,59.28,1942.2842440000002
14,Albania,1962,1728137.0,Europe,64.82,2312.888958
15,Albania,1967,1984060.0,Europe,66.22,2760.196931
16,Albania,1972,2263554.0,Europe,67.69,3313.422188
17,Albania,1977,2509048.0,Europe,68.93,3533.0039100000004
18,Albania,1982,2780097.0,Europe,70.42,3630.880722
19,Albania,1987,3075321.0,Europe,72.0,3738.9327350000003
20,Albania,1992,3326498.0,Europe,71.581,2497.4379010000002
21,Albania,1997,3428038.0,Europe,72.95,3193.054604
22,Albania,2002,3508512.0,Europe,75.65100000000001,4604.211737
23,Albania,2007,3600523.0,Europe,76.423,5937.029525999999
24,Algeria,1952,9279525.0,Africa,43.077,2449.008185
25,Algeria,1957,10270856.0,Africa,45.685,3013.976023
26,Algeria,1962,11000948.0,Africa,48.303000000000004,2550.81688
27,Algeria,1967,12760499.0,Africa,51.407,3246.991771
28,Algeria,1972,14760787.0,Africa,54.518,4182.663766
29,Algeria,1977,17152804.0,Africa,58.013999999999996,4910.4167560000005
30,Algeria,1982,20033753.0,Africa,61.368,5745.160213
31,Algeria,1987,23254956.0,Africa,65.79899999999999,5681.358539
32,Algeria,1992,26298373.0,Africa,67.744,5023.216647
33,Algeria,1997,29072015.0,Africa,69.152,4797.295051
34,Algeria,2002,31287142.0,Africa,70.994,5288.040382
35,Algeria,2007,33333216.0,Africa,72.301,6223.367465
36,Angola,1952,4232095.0,Africa,30.015,3520.610273
37,Angola,1957,4561361.0,Africa,31.999000000000002,3827.9404649999997
38,Angola,1962,4826015.0,Africa,34.0,4269.276742
39,Angola,1967,5247469.0,Africa,35.985,5522.776375
40,Angola,1972,5894858.0,Africa,37.928000000000004,5473.288004999999
41,Angola,1977,6162675.0,Africa,39.483000000000004,3008.647355
42,Angola,1982,7016384.0,Africa,39.942,2756.953672
43,Angola,1987,7874230.0,Africa,39.906,2430.208311
44,Angola,1992,8735988.0,Africa,40.647,2627.8456850000002
45,Angola,1997,9875024.0,Africa,40.963,2277.140884
46,Angola,2002,10866106.0,Africa,41.003,2773.287312
47,Angola,2007,12420476.0,Africa,42.731,4797.231267
48,Argentina,1952,17876956.0,Americas,62.485,5911.315053
49,Argentina,1957,19610538.0,Americas,64.399,6856.856212000001
50,Argentina,1962,21283783.0,Americas,65.142,7133.166023000001
51,Argentina,1967,22934225.0,Americas,65.634,8052.953020999999
52,Argentina,1972,24779799.0,Americas,67.065,9443.038526
53,Argentina,1977,26983828.0,Americas,68.48100000000001,10079.026740000001
54,Argentina,1982,29341374.0,Americas,69.942,8997.897412
55,Argentina,1987,31620918.0,Americas,70.774,9139.671389
56,Argentina,1992,33958947.0,Americas,71.868,9308.41871
57,Argentina,1997,36203463.0,Americas,73.275,10967.28195
58,Argentina,2002,38331121.0,Americas,74.34,8797.640716
59,Argentina,2007,40301927.0,Americas,75.32,12779.379640000001
60,Australia,1952,8691212.0,Oceania,69.12,10039.595640000001
61,Australia,1957,9712569.0,Oceania,70.33,10949.64959
62,Australia,1962,10794968.0,Oceania,70.93,12217.226859999999
63,Australia,1967,11872264.0,Oceania,71.1,14526.12465
64,Australia,1972,13177000.0,Oceania,71.93,16788.62948
65,Australia,1977,14074100.0,Oceania,73.49,18334.197509999998
66,Australia,1982,15184200.0,Oceania,74.74,19477.009280000002
67,Australia,1987,16257249.0,Oceania,76.32,21888.889030000002
68,Australia,1992,17481977.0,Oceania,77.56,23424.76683
69,Australia,1997,18565243.0,Oceania,78.83,26997.936569999998
70,Australia,2002,19546792.0,Oceania,80.37,30687.75473
71,Australia,2007,20434176.0,Oceania,81.235,34435.367439999995
72,Austria,1952,6927772.0,Europe,66.8,6137.076492
73,Austria,1957,6965860.0,Europe,67.48,8842.59803
74,Austria,1962,7129864.0,Europe,69.54,10750.721109999999
75,Austria,1967,7376998.0,Europe,70.14,12834.6024
76,Austria,1972,7544201.0,Europe,70.63,16661.6256
77,Austria,1977,7568430.0,Europe,72.17,19749.4223
78,Austria,1982,7574613.0,Europe,73.18,21597.083619999998
79,Austria,1987,7578903.0,Europe,74.94,23687.82607
80,Austria,1992,7914969.0,Europe,76.04,27042.01868
81,Austria,1997,8069876.0,Europe,77.51,29095.920660000003
82,Austria,2002,8148312.0,Europe,78.98,32417.607689999997
83,Austria,2007,8199783.0,Europe,79.829,36126.4927
84,Bahrain,1952,120447.0,Asia,50.93899999999999,9867.084765000001
85,Bahrain,1957,138655.0,Asia,53.832,11635.79945
86,Bahrain,1962,171863.0,Asia,56.923,12753.27514
87,Bahrain,1967,202182.0,Asia,59.923,14804.6727
88,Bahrain,1972,230800.0,Asia,63.3,18268.65839
89,Bahrain,1977,297410.0,Asia,65.593,19340.10196
90,Bahrain,1982,377967.0,Asia,69.05199999999999,19211.14731
91,Bahrain,1987,454612.0,Asia,70.75,18524.02406
92,Bahrain,1992,529491.0,Asia,72.601,19035.579169999997
93,Bahrain,1997,598561.0,Asia,73.925,20292.01679
94,Bahrain,2002,656397.0,Asia,74.795,23403.559269999998
95,Bahrain,2007,708573.0,Asia,75.635,29796.048339999998
96,Bangladesh,1952,46886859.0,Asia,37.484,684.2441716
97,Bangladesh,1957,51365468.0,Asia,39.348,661.6374577
98,Bangladesh,1962,56839289.0,Asia,41.216,686.3415537999999
99,Bangladesh,1967,62821884.0,Asia,43.453,721.1860862000001
100,Bangladesh,1972,70759295.0,Asia,45.251999999999995,630.2336265
101,Bangladesh,1977,80428306.0,Asia,46.923,659.8772322000001
102,Bangladesh,1982,93074406.0,Asia,50.00899999999999,676.9818656
103,Bangladesh,1987,103764241.0,Asia,52.818999999999996,751.9794035
104,Bangladesh,1992,113704579.0,Asia,56.018,837.8101642999999
105,Bangladesh,1997,123315288.0,Asia,59.412,972.7700352
106,Bangladesh,2002,135656790.0,Asia,62.013000000000005,1136.3904300000002
107,Bangladesh,2007,150448339.0,Asia,64.062,1391.253792
108,Belgium,1952,8730405.0,Europe,68.0,8343.105126999999
109,Belgium,1957,8989111.0,Europe,69.24,9714.960623
110,Belgium,1962,9218400.0,Europe,70.25,10991.20676
111,Belgium,1967,9556500.0,Europe,70.94,13149.04119
112,Belgium,1972,9709100.0,Europe,71.44,16672.14356
113,Belgium,1977,9821800.0,Europe,72.8,19117.97448
114,Belgium,1982,9856303.0,Europe,73.93,20979.84589
115,Belgium,1987,9870200.0,Europe,75.35,22525.56308
116,Belgium,1992,10045622.0,Europe,76.46,25575.57069
117,Belgium,1997,10199787.0,Europe,77.53,27561.196630000002
118,Belgium,2002,10311970.0,Europe,78.32,30485.88375
119,Belgium,2007,10392226.0,Europe,79.441,33692.60508
120,Benin,1952,1738315.0,Africa,38.223,1062.7522
121,Benin,1957,1925173.0,Africa,40.358000000000004,959.6010805
122,Benin,1962,2151895.0,Africa,42.618,949.4990641
123,Benin,1967,2427334.0,Africa,44.885,1035.831411
124,Benin,1972,2761407.0,Africa,47.013999999999996,1085.796879
125,Benin,1977,3168267.0,Africa,49.19,1029.161251
126,Benin,1982,3641603.0,Africa,50.903999999999996,1277.897616
127,Benin,1987,4243788.0,Africa,52.336999999999996,1225.85601
128,Benin,1992,4981671.0,Africa,53.919,1191.207681
129,Benin,1997,6066080.0,Africa,54.777,1232.975292
130,Benin,2002,7026113.0,Africa,54.406000000000006,1372.877931
131,Benin,2007,8078314.0,Africa,56.728,1441.284873
132,Bolivia,1952,2883315.0,Americas,40.414,2677.3263469999997
133,Bolivia,1957,3211738.0,Americas,41.89,2127.686326
134,Bolivia,1962,3593918.0,Americas,43.428000000000004,2180.972546
135,Bolivia,1967,4040665.0,Americas,45.032,2586.886053
136,Bolivia,1972,4565872.0,Americas,46.714,2980.331339
137,Bolivia,1977,5079716.0,Americas,50.023,3548.097832
138,Bolivia,1982,5642224.0,Americas,53.858999999999995,3156.510452
139,Bolivia,1987,6156369.0,Americas,57.251000000000005,2753.6914899999997
140,Bolivia,1992,6893451.0,Americas,59.957,2961.699694
141,Bolivia,1997,7693188.0,Americas,62.05,3326.143191
142,Bolivia,2002,8445134.0,Americas,63.883,3413.26269
143,Bolivia,2007,9119152.0,Americas,65.554,3822.1370840000004
144,Bosnia and Herzegovina,1952,2791000.0,Europe,53.82,973.5331947999999
145,Bosnia and Herzegovina,1957,3076000.0,Europe,58.45,1353.989176
146,Bosnia and Herzegovina,1962,3349000.0,Europe,61.93,1709.683679
147,Bosnia and Herzegovina,1967,3585000.0,Europe,64.79,2172.3524230000003
148,Bosnia and Herzegovina,1972,3819000.0,Europe,67.45,2860.16975
149,Bosnia and Herzegovina,1977,4086000.0,Europe,69.86,3528.481305
150,Bosnia and Herzegovina,1982,4172693.0,Europe,70.69,4126.613157
151,Bosnia and Herzegovina,1987,4338977.0,Europe,71.14,4314.114757
152,Bosnia and Herzegovina,1992,4256013.0,Europe,72.178,2546.781445
153,Bosnia and Herzegovina,1997,3607000.0,Europe,73.244,4766.355904
154,Bosnia and Herzegovina,2002,4165416.0,Europe,74.09,6018.975239
155,Bosnia and Herzegovina,2007,4552198.0,Europe,74.852,7446.298803
156,Botswana,1952,442308.0,Africa,47.622,851.2411407
157,Botswana,1957,474639.0,Africa,49.618,918.2325348999999
158,Botswana,1962,512764.0,Africa,51.52,983.6539764
159,Botswana,1967,553541.0,Africa,53.298,1214.709294
160,Botswana,1972,619351.0,Africa,56.023999999999994,2263.6111140000003
161,Botswana,1977,781472.0,Africa,59.318999999999996,3214.857818
162,Botswana,1982,970347.0,Africa,61.483999999999995,4551.14215
163,Botswana,1987,1151184.0,Africa,63.622,6205.88385
164,Botswana,1992,1342614.0,Africa,62.745,7954.111645
165,Botswana,1997,1536536.0,Africa,52.556000000000004,8647.142313
166,Botswana,2002,1630347.0,Africa,46.63399999999999,11003.60508
167,Botswana,2007,1639131.0,Africa,50.728,12569.851770000001
168,Brazil,1952,56602560.0,Americas,50.917,2108.944355
169,Brazil,1957,65551171.0,Americas,53.285,2487.365989
170,Brazil,1962,76039390.0,Americas,55.665,3336.585802
171,Brazil,1967,88049823.0,Americas,57.632,3429.864357
172,Brazil,1972,100840058.0,Americas,59.504,4985.711467
173,Brazil,1977,114313951.0,Americas,61.489,6660.118654
174,Brazil,1982,128962939.0,Americas,63.336000000000006,7030.835878
175,Brazil,1987,142938076.0,Americas,65.205,7807.095818000001
176,Brazil,1992,155975974.0,Americas,67.057,6950.283020999999
177,Brazil,1997,168546719.0,Americas,69.388,7957.980823999999
178,Brazil,2002,179914212.0,Americas,71.006,8131.212843000001
179,Brazil,2007,190010647.0,Americas,72.39,9065.800825
180,Bulgaria,1952,7274900.0,Europe,59.6,2444.2866480000002
181,Bulgaria,1957,7651254.0,Europe,66.61,3008.670727
182,Bulgaria,1962,8012946.0,Europe,69.51,4254.337839
183,Bulgaria,1967,8310226.0,Europe,70.42,5577.0028
184,Bulgaria,1972,8576200.0,Europe,70.9,6597.494398
185,Bulgaria,1977,8797022.0,Europe,70.81,7612.240438
186,Bulgaria,1982,8892098.0,Europe,71.08,8224.191647
187,Bulgaria,1987,8971958.0,Europe,71.34,8239.854824
188,Bulgaria,1992,8658506.0,Europe,71.19,6302.6234380000005
189,Bulgaria,1997,8066057.0,Europe,70.32,5970.38876
190,Bulgaria,2002,7661799.0,Europe,72.14,7696.777725
191,Bulgaria,2007,7322858.0,Europe,73.005,10680.79282
192,Burkina Faso,1952,4469979.0,Africa,31.975,543.2552413
193,Burkina Faso,1957,4713416.0,Africa,34.906,617.1834647999999
194,Burkina Faso,1962,4919632.0,Africa,37.814,722.5120206
195,Burkina Faso,1967,5127935.0,Africa,40.696999999999996,794.8265597
196,Burkina Faso,1972,5433886.0,Africa,43.591,854.7359763000001
197,Burkina Faso,1977,5889574.0,Africa,46.137,743.3870368
198,Burkina Faso,1982,6634596.0,Africa,48.122,807.1985855
199,Burkina Faso,1987,7586551.0,Africa,49.556999999999995,912.0631417000001
200,Burkina Faso,1992,8878303.0,Africa,50.26,931.7527731
201,Burkina Faso,1997,10352843.0,Africa,50.324,946.2949617999999
202,Burkina Faso,2002,12251209.0,Africa,50.65,1037.645221
203,Burkina Faso,2007,14326203.0,Africa,52.295,1217.032994
204,Burundi,1952,2445618.0,Africa,39.031,339.29645869999996
205,Burundi,1957,2667518.0,Africa,40.533,379.56462810000005
206,Burundi,1962,2961915.0,Africa,42.045,355.2032273
207,Burundi,1967,3330989.0,Africa,43.548,412.97751360000007
208,Burundi,1972,3529983.0,Africa,44.056999999999995,464.0995039
209,Burundi,1977,3834415.0,Africa,45.91,556.1032651
210,Burundi,1982,4580410.0,Africa,47.471000000000004,559.6032309999999
211,Burundi,1987,5126023.0,Africa,48.211000000000006,621.8188188999999
212,Burundi,1992,5809236.0,Africa,44.736000000000004,631.6998778
213,Burundi,1997,6121610.0,Africa,45.326,463.1151478
214,Burundi,2002,7021078.0,Africa,47.36,446.4035126
215,Burundi,2007,8390505.0,Africa,49.58,430.07069160000003
216,Cambodia,1952,4693836.0,Asia,39.417,368.46928560000003
217,Cambodia,1957,5322536.0,Asia,41.36600000000001,434.0383364
218,Cambodia,1962,6083619.0,Asia,43.415,496.9136476
219,Cambodia,1967,6960067.0,Asia,45.415,523.4323142
220,Cambodia,1972,7450606.0,Asia,40.317,421.6240257
221,Cambodia,1977,6978607.0,Asia,31.22,524.9721831999999
222,Cambodia,1982,7272485.0,Asia,50.957,624.4754784
223,Cambodia,1987,8371791.0,Asia,53.913999999999994,683.8955732000001
224,Cambodia,1992,10150094.0,Asia,55.803000000000004,682.3031755
225,Cambodia,1997,11782962.0,Asia,56.534,734.28517
226,Cambodia,2002,12926707.0,Asia,56.751999999999995,896.2260152999999
227,Cambodia,2007,14131858.0,Asia,59.723,1713.7786859999999
228,Cameroon,1952,5009067.0,Africa,38.523,1172.667655
229,Cameroon,1957,5359923.0,Africa,40.428000000000004,1313.048099
230,Cameroon,1962,5793633.0,Africa,42.643,1399.607441
231,Cameroon,1967,6335506.0,Africa,44.799,1508.453148
232,Cameroon,1972,7021028.0,Africa,47.049,1684.1465280000002
233,Cameroon,1977,7959865.0,Africa,49.355,1783.432873
234,Cameroon,1982,9250831.0,Africa,52.961000000000006,2367.983282
235,Cameroon,1987,10780667.0,Africa,54.985,2602.664206
236,Cameroon,1992,12467171.0,Africa,54.31399999999999,1793.1632780000002
237,Cameroon,1997,14195809.0,Africa,52.199,1694.337469
238,Cameroon,2002,15929988.0,Africa,49.856,1934.0114489999999
239,Cameroon,2007,17696293.0,Africa,50.43,2042.0952399999999
240,Canada,1952,14785584.0,Americas,68.75,11367.16112
241,Canada,1957,17010154.0,Americas,69.96,12489.95006
242,Canada,1962,18985849.0,Americas,71.3,13462.48555
243,Canada,1967,20819767.0,Americas,72.13,16076.58803
244,Canada,1972,22284500.0,Americas,72.88,18970.57086
245,Canada,1977,23796400.0,Americas,74.21,22090.88306
246,Canada,1982,25201900.0,Americas,75.76,22898.79214
247,Canada,1987,26549700.0,Americas,76.86,26626.515030000002
248,Canada,1992,28523502.0,Americas,77.95,26342.88426
249,Canada,1997,30305843.0,Americas,78.61,28954.92589
250,Canada,2002,31902268.0,Americas,79.77,33328.96507
251,Canada,2007,33390141.0,Americas,80.653,36319.235010000004
252,Central African Republic,1952,1291695.0,Africa,35.463,1071.310713
253,Central African Republic,1957,1392284.0,Africa,37.464,1190.844328
254,Central African Republic,1962,1523478.0,Africa,39.475,1193.068753
255,Central African Republic,1967,1733638.0,Africa,41.478,1136.056615
256,Central African Republic,1972,1927260.0,Africa,43.457,1070.013275
257,Central African Republic,1977,2167533.0,Africa,46.775,1109.374338
258,Central African Republic,1982,2476971.0,Africa,48.295,956.7529906999999
259,Central African Republic,1987,2840009.0,Africa,50.485,844.8763504000001
260,Central African Republic,1992,3265124.0,Africa,49.396,747.9055252
261,Central African Republic,1997,3696513.0,Africa,46.066,740.5063317
262,Central African Republic,2002,4048013.0,Africa,43.308,738.6906068
263,Central African Republic,2007,4369038.0,Africa,44.74100000000001,706.016537
264,Chad,1952,2682462.0,Africa,38.092,1178.665927
265,Chad,1957,2894855.0,Africa,39.881,1308.495577
266,Chad,1962,3150417.0,Africa,41.716,1389.817618
267,Chad,1967,3495967.0,Africa,43.601000000000006,1196.810565
268,Chad,1972,3899068.0,Africa,45.568999999999996,1104.103987
269,Chad,1977,4388260.0,Africa,47.383,1133.98495
270,Chad,1982,4875118.0,Africa,49.516999999999996,797.9081006
271,Chad,1987,5498955.0,Africa,51.051,952.3861289999999
272,Chad,1992,6429417.0,Africa,51.724,1058.0643
273,Chad,1997,7562011.0,Africa,51.573,1004.9613529999999
274,Chad,2002,8835739.0,Africa,50.525,1156.18186
275,Chad,2007,10238807.0,Africa,50.651,1704.0637239999999
276,Chile,1952,6377619.0,Americas,54.745,3939.9787890000002
277,Chile,1957,7048426.0,Americas,56.074,4315.6227229999995
278,Chile,1962,7961258.0,Americas,57.924,4519.094331
279,Chile,1967,8858908.0,Americas,60.523,5106.654313
280,Chile,1972,9717524.0,Americas,63.441,5494.024437
281,Chile,1977,10599793.0,Americas,67.05199999999999,4756.763836
282,Chile,1982,11487112.0,Americas,70.565,5095.665738000001
283,Chile,1987,12463354.0,Americas,72.492,5547.063754
284,Chile,1992,13572994.0,Americas,74.126,7596.125964
285,Chile,1997,14599929.0,Americas,75.816,10118.053179999999
286,Chile,2002,15497046.0,Americas,77.86,10778.78385
287,Chile,2007,16284741.0,Americas,78.553,13171.63885
288,China,1952,556263528.0,Asia,44.0,400.44861069999996
