Date,InterestRate,Inflation,AUDUSD
1990-03-31,16.5,1.6,0.7542
1990-06-30,15.0,1.8,0.789
1990-09-30,14.0,0.9,0.8265
1990-12-31,12.0,2.4,0.7733
1991-03-31,12.0,-0.2,0.7752
1991-06-30,10.5,0.3,0.7681
1991-09-30,9.5,0.7,0.7995
1991-12-31,8.5,0.7,0.7598
1992-03-31,7.5,0.0,0.7684
1992-06-30,6.5,-0.2,0.7488
1992-09-30,5.75,0.2,0.714
1992-12-31,5.75,0.3,0.688
1993-03-31,5.25,0.8,0.7058
1993-06-30,5.25,0.5,0.6722
1993-09-30,4.75,0.5,0.6453
1993-12-31,4.75,0.0,0.6771
1994-03-31,4.75,0.5,0.7008
1994-06-30,4.75,0.8,0.7291
1994-09-30,5.5,0.5,0.7393
1994-12-31,7.5,1.0,0.7768
1995-03-31,7.5,1.6,0.728
1995-06-30,7.5,1.3,0.7086
1995-09-30,7.5,1.2,0.755
1995-12-31,7.5,0.8,0.745
1996-03-31,7.5,0.5,0.7793
1996-06-30,7.5,0.6,0.789
1996-09-30,7.0,0.3,0.7924
1996-12-31,6.0,0.3,0.7965
1997-03-31,6.0,0.0,0.7865
1997-06-30,5.5,-0.3,0.7455
1997-09-30,5.0,-0.3,0.7198
1997-12-31,5.0,0.3,0.6527
1998-03-31,5.0,0.1,0.6634
1998-06-30,5.0,0.6,0.6135
1998-09-30,5.0,0.3,0.5945
1998-12-31,4.75,0.4,0.6139
1999-03-31,4.75,-0.1,0.6293
1999-06-30,4.75,0.4,0.6596
1999-09-30,4.75,0.9,0.6536
1999-12-31,5.0,0.6,0.6538
2000-03-31,5.5,0.9,0.6055
2000-06-30,6.0,0.7,0.5986
2000-09-30,6.25,3.8,0.5433
2000-12-31,6.25,0.3,0.554
2001-03-31,5.5,1.1,0.489
2001-06-30,5.0,0.8,0.5075
2001-09-30,4.75,0.3,0.4923
2001-12-31,4.25,0.9,0.5106
2002-03-31,4.25,0.9,0.5316
2002-06-30,4.75,0.7,0.5648
2002-09-30,4.75,0.8,0.5435
2002-12-31,4.75,0.6,0.5662
2003-03-31,4.75,1.3,0.6036
2003-06-30,4.75,-0.1,0.6674
2003-09-30,4.75,0.6,0.6801
2003-12-31,5.25,0.6,0.75
2004-03-31,5.25,0.8,0.7589
2004-06-30,5.25,0.5,0.6889
2004-09-30,5.25,0.4,0.7147
2004-12-31,5.25,1.0,0.779
2005-03-31,5.5,0.5,0.7719
2005-06-30,5.5,0.6,0.7637
2005-09-30,5.5,1.0,0.7615
2005-12-31,5.5,0.6,0.7337
2006-03-31,5.5,0.8,0.7159
2006-06-30,5.75,1.5,0.7433
2006-09-30,6.0,0.8,0.748
2006-12-31,6.25,0.1,0.7913
2007-03-31,6.25,0.0,0.807
2007-06-30,6.25,1.2,0.8487
2007-09-30,6.5,0.6,0.8827
2007-12-31,6.75,1.2,0.8816
2008-03-31,7.25,1.2,0.918
2008-06-30,7.25,1.3,0.9626
2008-09-30,7.0,1.1,0.7996
2008-12-31,4.25,0.0,0.6928
2009-03-31,3.25,-0.1,0.6873
2009-06-30,3.0,0.5,0.8114
2009-09-30,3.0,0.8,0.8801
2009-12-31,3.75,0.9,0.8969
2010-03-31,4.0,0.7,0.9159
2010-06-30,4.5,0.6,0.8523
2010-09-30,4.5,0.6,0.9667
2010-12-31,4.75,0.6,1.0163
2011-03-31,4.75,1.3,1.0334
2011-06-30,4.75,1.1,1.0739
2011-09-30,4.75,0.3,0.9781
2011-12-31,4.25,0.2,1.0156
2012-03-31,4.25,0.0,1.0402
2012-06-30,3.5,0.6,1.0191
2012-09-30,3.5,1.1,1.0464
2012-12-31,3.0,0.4,1.0384
2013-03-31,3.0,0.4,1.0426
2013-06-30,2.75,0.5,0.9275
2013-09-30,2.5,1.0,0.9309
2013-12-31,2.5,0.8,0.8948
2014-03-31,2.5,0.7,0.9221
2014-06-30,2.5,0.7,0.942
2014-09-30,2.5,0.2,0.8752
2014-12-31,2.5,0.2,0.8202
2015-03-31,2.25,0.3,0.7634
2015-06-30,2.0,0.8,0.768
2015-09-30,2.0,0.1,0.701
2015-12-31,2.0,0.5,0.7306
2016-03-31,2.0,-0.1,0.7657
2016-06-30,1.75,0.6,0.7426
2016-09-30,1.5,0.5,0.763
2016-12-31,1.5,0.5,0.7236
2017-03-31,1.5,0.6,0.7644
2017-06-30,1.5,0.4,0.7692
2017-09-30,1.5,0.4,0.7839
2017-12-31,1.5,0.6,0.78
2018-03-31,1.5,0.5,0.7665
2018-06-30,1.5,0.5,0.7391
2018-09-30,1.5,0.3,0.7222
2018-12-31,1.5,0.4,0.7058
2019-03-31,1.5,0.1,0.7087
2019-06-30,1.25,0.8,0.7013
2019-09-30,1.0,0.3,0.6749
