Country,IOC,ISO
Algeria,ALG,DZA
American Samoa,ASA,ASM
Angola,ANG,AGO
Aruba,ARU,ABW
Bahamas,BAH,BHS
Bahrain,BRN,BHR
Bangladesh,BAN,BGD
Barbados,BAR,BRB
Belize,BIZ,BLZ
Bermuda,BER,BMU
Bhutan,BHU,BTN
Botswana,BOT,BWA
British Virgin Islands,IVB,VGB
Brunei,BRU,BRN
Bulgaria,BUL,BGR
Burkina Faso,BUR,BFA
Cambodia,CAM,KHM
Cayman Islands,CAY,CYM
Chad,CHA,TCD
Chile,CHI,CHL
Chinese Taipei,TPE,TWN
Congo (Brazzaville),CGO,COG
Costa Rica,CRC,CRI
Croatia,CRO,HRV
Denmark,DEN,DNK
El Salvador,ESA,SLV
Equatorial Guinea,GEQ,GNQ
Fiji,FIJ,FJI
Gambia,GAM,GMB
Germany,GER,DEU
Greece,GRE,GRC
Grenada,GRN,GRD
Guatemala,GUA,GTM
Guinea,GUI,GIN
Guinea-Bissau,GBS,GNB
Haiti,HAI,HTI
Honduras,HON,HND
Indonesia,INA,IDN
Iran,IRI,IRN
Kosovo,KOS,XKX
Kuwait,KUW,KWT
Latvia,LAT,LVA
Lesotho,LES,LSO
Libya,LBA,LBY
Madagascar,MAD,MDG
Malawi,MAW,MWI
Malaysia,MAS,MYS
Mauritania,MTN,MRT
Mauritius,MRI,MUS
Monaco,MON,MCO
Mongolia,MGL,MNG
Myanmar,MYA,MMR
Nepal,NEP,NPL
Netherlands,NED,NLD
Netherlands Antilles,AHO,ANT
Nicaragua,NCA,NIC
Niger,NIG,NER
Nigeria,NGR,NGA
Oman,OMA,OMN
Palestine,PLE,PSE
Paraguay,PAR,PRY
Philippines,PHI,PHL
Portugal,POR,PRT
Puerto Rico,PUR,PRI
Saint Kitts and Nevis,SKN,KNA
Saint Vincent and the Grenadines,VIN,VCT
Samoa,SAM,WSM
Saudi Arabia,KSA,SAU
Seychelles,SEY,SYC
Slovenia,SLO,SVN
Solomon Islands,SOL,SLB
South Africa,RSA,ZAF
Sri Lanka,SRI,LKA
Sudan,SUD,SDN
Switzerland,SUI,CHE
Taiwan,TPE,TWN
Tanzania,TAN,TZA
Togo,TOG,TGO
Tonga,TGA,TON
US Virgin Islands,ISV,VIR
United Arab Emirates,UAE,ARE
Uruguay,URU,URY
Vanuatu,VAN,VUT
Vietnam,VIE,VNM
Zambia,ZAM,ZMB
Zimbabwe,ZIM,ZWE
