	DATE	USD3MTD156N
0	1986-01-02	8.00000
1	1986-01-03	8.06250
2	1986-01-06	8.12500
3	1986-01-07	8.12500
4	1986-01-08	8.00000
5	1986-01-09	8.18750
6	1986-01-10	8.25000
7	1986-01-13	8.37500
8	1986-01-14	8.37500
9	1986-01-15	8.25000
10	1986-01-16	8.18750
11	1986-01-17	8.18750
12	1986-01-20	8.25000
13	1986-01-21	8.18750
14	1986-01-22	8.18750
15	1986-01-23	8.18750
16	1986-01-24	8.18750
17	1986-01-27	8.12500
18	1986-01-28	8.06250
19	1986-01-29	8.06250
20	1986-01-30	8.06250
21	1986-01-31	8.06250
22	1986-02-03	8.06250
23	1986-02-04	8.06250
24	1986-02-05	8.00000
25	1986-02-06	8.00000
26	1986-02-07	8.06250
27	1986-02-10	8.12500
28	1986-02-11	8.06250
29	1986-02-12	8.06250
30	1986-02-13	8.06250
31	1986-02-14	8.06250
32	1986-02-17	8.00000
33	1986-02-18	8.00000
34	1986-02-19	8.00000
35	1986-02-20	8.00000
36	1986-02-21	8.00000
37	1986-02-24	8.00000
38	1986-02-25	7.93750
39	1986-02-26	8.00000
40	1986-02-27	7.93750
41	1986-02-28	7.87500
42	1986-03-03	7.87500
43	1986-03-04	7.75000
44	1986-03-05	7.68750
45	1986-03-06	7.68750
46	1986-03-07	7.56250
47	1986-03-10	7.56250
48	1986-03-11	7.50000
49	1986-03-12	7.43750
50	1986-03-13	7.50000
51	1986-03-14	7.50000
52	1986-03-17	7.50000
53	1986-03-18	7.50000
54	1986-03-19	7.56250
55	1986-03-20	7.56250
56	1986-03-21	7.50000
57	1986-03-24	7.56250
58	1986-03-25	7.56250
59	1986-03-26	7.56250
60	1986-03-27	7.43750
61	1986-03-28	.
62	1986-03-31	.
63	1986-04-01	7.31250
64	1986-04-02	7.31250
65	1986-04-03	7.31250
66	1986-04-04	7.34750
67	1986-04-07	7.25000
68	1986-04-08	7.06250
69	1986-04-09	6.87500
70	1986-04-10	6.87500
71	1986-04-11	6.87500
72	1986-04-14	6.87500
73	1986-04-15	6.81250
74	1986-04-16	6.75000
75	1986-04-17	6.56250
76	1986-04-18	6.62500
77	1986-04-21	6.68750
78	1986-04-22	6.75000
79	1986-04-23	6.81250
80	1986-04-24	6.81250
81	1986-04-25	6.93750
82	1986-04-28	7.00000
83	1986-04-29	6.87500
84	1986-04-30	6.87500
