Agency,Overall I am satisfied with the services provided by OIC,Overall I am satisfied with the information and assistance received when interacting with OIC during 2012,I am satisfied that the guidelines and information sheets published about the legislation were clear and useful,The courtesy and professionalism I experienced when interacting with OIC during 2012 was of a high standard,I was satisfied with the range of information provided,External review decisions made during 2012 were clear and useful,Overall I am satisfied with the time taken to resolve external reviews,Overall I am satisfied with the conduct of external reviews,Information provided during the privacy complaint process 2012 was clear and useful,The timeliness of actions taken during the privacy complaint process was satisfactory,Overall I am satisfied with the privacy complaint process
Sunwater Ltd,3,3,4,4,3,3,3,3,0,0,0
WorkCover Queensland,3,4,3,4,4,4,4,4,3,4,4
Banana Shire Council,3,3,3,4,4,3,3,4,0,0,0
Southern Downs Regional Council,3,3,4,4,3,2,4,3,0,0,0
Townsville City Council,3,3,4,3,3,0,0,0,0,0,0
Whitsunday Regional Council,4,4,4,4,4,4,4,4,0,0,0
Electoral Commission Queensland,4,4,3,3,3,3,3,3,0,0,0
Wide Bay Health Service District,0,0,0,0,0,0,0,0,0,0,0
Health Quality and Complaints Commission,0,0,0,0,0,0,0,0,0,0,0
"Department of Communities, Child Safety and Disability Services",0,0,0,0,0,0,0,0,0,0,0
Caboolture-Kilcoy Hospitals,0,0,0,0,0,0,0,0,0,0,0
Ergon Energy Corporation Limited,0,0,0,0,0,0,0,0,0,0,0
Toowoomba Regional Council,0,0,0,0,0,0,0,0,0,0,0
Moreton Bay Regional Council,4,4,4,4,4,4,4,4,4,4,4
Cassowary Coast Regional Council,0,0,0,0,0,0,0,0,0,0,0
Central Highlands Regional Council,3,3,3,3,3,3,3,3,0,0,0
Department of Community Safety,4,4,4,4,4,4,4,4,4,4,4
Public Service Commission,3,3,3,4,3,3,3,3,0,0,0
Cook Shire Council,0,0,0,0,0,0,0,0,0,0,0
Hope Vale Aboriginal Shire Council,0,0,0,0,0,0,0,0,0,0,0
Gold Coast City Council,0,0,0,0,0,0,0,0,0,0,0
Building Services Authority,0,0,0,0,0,0,0,0,0,0,0
Central Queensland Hospital & Health Service-Gladstone,0,0,0,0,0,0,0,0,0,0,0
Bundaberg Regional Council,3,3,3,4,3,2,3,3,2,0,0
Crime and Misconduct Commission,0,0,0,0,0,0,0,0,0,0,0
Queensland Police,0,0,0,0,0,0,0,0,0,0,0
"Department of Science, Information Technology, Innovation and the Arts",3,4,3,3,3,3,3,3,0,0,0
"Department of Agriculture, Fisheries and Forestry",3,3,3,4,3,3,3,3,4,4,4
Department of Energy and Water Supply,3,3,3,4,3,3,3,3,4,4,4
Department of Environment and Heritage Protection,3,3,3,4,3,3,3,3,4,4,4
"Department of National Parks, Recreation, Sport and Racing",3,3,3,4,3,3,3,3,4,4,4
Department of Natural Resources and Mines,3,3,3,4,3,3,3,3,4,4,4
Logan City Council,4,4,4,4,4,4,4,4,4,4,4
Queensland Treasury and Trade,3,3,3,3,3,2,3,2,3,3,3
Scenic Rim Regional Council,3,3,3,4,3,0,0,3,0,0,0
"Department of Education, Training and Employment",0,0,0,0,0,0,0,0,0,0,0
Queensland Rail Limited,4,4,4,4,4,0,4,0,0,0,0
Department of Transport and Main Roads,3,4,3,4,3,4,3,3,0,0,0
"Department of State Development, Infrastructure and Planning",0,0,0,0,0,0,0,0,0,0,0
West Moreton Health Service District,0,0,0,0,0,0,0,0,0,0,0
Queensland Health,0,0,0,0,0,0,0,0,0,0,0
Sunshine Coast Regional Council,3,3,3,4,3,0,3,3,0,0,0
The Prince Charles Hospital,4,4,4,4,4,4,4,4,0,0,0
Townsville Hospital and Health Service,0,4,4,4,4,0,4,4,4,4,4
Gold Coast Hospital and Health Service,0,0,0,0,0,0,0,0,0,0,0
Fraser Coast Regional Council,2,2,3,4,3,4,3,3,0,0,0
Brisbane City Council,0,0,0,0,0,0,0,0,0,0,0
Department of Premier and Cabinet,4,4,4,4,4,0,4,4,0,0,0
Department of Housing and Public Works ,4,4,4,4,4,4,3,3,4,3,4
Mackay Regional Council,0,0,0,0,0,0,0,0,0,0,0
Redland City Council,3,3,3,3,3,3,3,3,3,3,3
Energex Limited,4,4,4,4,4,4,4,4,0,0,0
Queensland University of Technology,4,4,4,4,4,4,4,4,0,0,0
Legal Services Commission,0,0,0,0,0,0,0,0,0,0,0
Rockhampton Regional Council,3,4,3,4,4,3,3,3,0,0,0
Gladstone Regional Council,3,3,3,4,3,3,3,3,0,0,0
University of Queensland,3,3,3,4,3,3,3,3,3,3,3
Department of Justice and Attorney-General,0,0,0,0,0,0,0,0,0,0,0
