year,temp,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1856,mnth_highest,36.7,36.1,35.1,30.3,20.1,17.1,16.7,23.3,24.7,28.1,28.9,30.3
1856,mnth_lowest,9.4,10.0,8.9,6.7,5.5,2.1,0.0,2.7,1.6,1.7,6.1,7.1
1856,mnth_mean_max,25.1,25.2,26.2,20.1,15.4,13.4,11.6,14.9,17.1,18.6,19.6,21.3
1856,mnth_mean_min,14.7,15.6,16.5,12.6,8.8,7.5,4.8,7.1,8.1,9.5,11.1,11.4
1857,mnth_highest,38.3,39.5,36.9,28.8,19.8,18.8,17.9,19.7,26.4,27.2,32.1,42.9
1857,mnth_lowest,8.9,11.9,7.7,7.5,3.6,2.8,0.9,-0.3,1.3,4.5,5.9,8.7
1857,mnth_mean_max,24.5,28.0,22.7,21.3,15.0,13.2,13.9,15.6,17.1,18.9,20.9,27.1
1857,mnth_mean_min,13.7,16.8,14.0,12.2,7.5,6.5,5.4,6.0,6.5,9.1,10.7,13.6
1858,mnth_highest,42.1,35.7,34.0,29.9,24.5,16.5,15.1,21.7,22.3,30.3,39.5,34.6
1858,mnth_lowest,9.7,8.5,8.3,4.9,3.7,1.1,0.3,1.9,2.1,3.7,4.1,7.3
1858,mnth_mean_max,29.6,26.2,25.3,20.5,16.8,14.0,12.0,14.9,15.7,20.0,23.6,24.2
1858,mnth_mean_min,15.0,14.2,13.4,10.1,8.6,5.6,5.3,6.4,6.9,8.3,11.3,12.1
1859,mnth_highest,35.8,40.0,30.8,29.7,22.1,17.1,16.1,19.3,22.1,29.4,34.1,39.4
1859,mnth_lowest,9.9,8.1,6.1,4.3,3.3,0.9,-0.5,-0.3,1.7,4.3,6.7,10.0
1859,mnth_mean_max,25.2,24.7,22.4,19.5,15.5,12.7,12.2,14.9,16.6,20.6,21.6,26.8
1859,mnth_mean_min,14.4,12.6,11.6,10.0,8.1,6.0,5.2,6.9,6.7,9.4,11.1,13.1
1860,mnth_highest,43.9,34.3,35.1,29.9,19.1,17.3,17.1,18.3,24.1,24.5,29.9,34.4
1860,mnth_lowest,8.5,8.3,7.7,6.3,5.3,1.1,-1.7,1.4,1.2,3.2,7.0,8.4
1860,mnth_mean_max,27.3,24.6,24.5,19.5,16.4,13.7,13.2,14.4,17.6,18.7,21.6,23.7
1860,mnth_mean_min,14.1,13.1,13.1,10.9,9.4,6.4,4.6,5.8,6.7,9.3,10.8,12.9
1861,mnth_highest,36.9,32.0,35.6,27.7,22.4,17.8,15.3,19.5,25.0,30.6,32.9,30.5
1861,mnth_lowest,10.9,10.7,6.7,4.5,3.1,1.4,-0.1,1.2,1.4,4.4,4.7,7.2
1861,mnth_mean_max,25.6,24.0,24.4,20.5,15.8,14.4,11.9,14.5,17.6,20.1,21.5,22.9
1861,mnth_mean_min,14.5,14.0,13.7,10.4,7.7,7.2,4.9,5.4,7.0,9.6,10.0,12.1
