# VoIP rates (dollars per minute): from http://www.cheapvoipinc.com/Ratesheet-grey.csv
dialprefix,destination,rateinitial
93,Afghanistan,0.199
9370,Afghanistan Mobile AWCC,0.1486
9378,Afghanistan Mobile Etisalat,0.1411
9377,Afghanistan Mobile MTN,0.1484
9375,Afghanistan Mobile,0.1593
9379,Afghanistan Mobile Roshan,0.1471
937500,Afghanistan Mobile Wasel,0.186
937501,Afghanistan Mobile Wasel,0.186
937502,Afghanistan Mobile Wasel,0.186
937503,Afghanistan Mobile Wasel,0.186
937504,Afghanistan Mobile Wasel,0.186
355,Albania,0.1611
3554249,Albania Fixed Albtel,0.152
355422,Albania Tirana,0.1579
355423,Albania Tirana,0.1579
3554240,Albania Tirana,0.1579
3554241,Albania Tirana,0.1579
3554242,Albania Tirana,0.1579
3554243,Albania Tirana,0.1579
3554244,Albania Tirana,0.1579
3554245,Albania Tirana,0.1579
3554246,Albania Tirana,0.1579
3554247,Albania Tirana,0.1579
3554248,Albania Tirana,0.1579
35534606,Albania Special Services,1.25
35534607,Albania Special Services,1.25
35534608,Albania Special Services,1.25
35534609,Albania Special Services,1.25
35535504,Albania Special Services,1.25
35535505,Albania Special Services,1.25
35551181,Albania Fixed OLO,0.1609
35555903,Albania Fixed OLO,0.1609
35555904,Albania Fixed OLO,0.1609
35567,Albania Mobile,0.3135
35568,Albania Mobile AMC,0.187
35566,Albania Mobile Plus,0.2999
35569,Albania Mobile Vodafone,0.2724
213,Algeria,0.0674
2131,Algeria CAT,0.0549
21377,Algeria Mobile Djezzy,0.3413
213780,Algeria Mobile Djezzy,0.3413
213781,Algeria Mobile Djezzy,0.3413
21379,Algeria Mobile Djezzy,0.3413
213659,Algeria Mobile,0.3492
21366,Algeria Mobile,0.3492
213670,Algeria Mobile,0.3492
213696,Algeria Mobile,0.3492
213697,Algeria Mobile,0.3492
213698,Algeria Mobile,0.3492
213699,Algeria Mobile,0.3492
2135,Algeria Mobile Nedjma,0.4453
1684,American Samoa,0.0238
376,Andorra,0.0155
3763,Andorra Mobile,0.1247
3764,Andorra Mobile,0.1247
3765,Andorra Mobile,0.1247
3766,Andorra Mobile,0.1247
244,Angola,0.0413
24491,Angola Mobile,0.0617
24499,Angola Mobile,0.0617
24492,Angola Mobile Unitel,0.2299
24493,Angola Mobile Unitel,0.2299
1264,Anguilla,0.1145
1264581,Anguilla Mobile Digicel,0.2314
1264582,Anguilla Mobile Digicel,0.2314
1264583,Anguilla Mobile Digicel,0.2314
1264584,Anguilla Mobile Digicel,0.2314
1264235,Anguilla Mobile,0.2194
1264469,Anguilla Mobile,0.2194
1264476,Anguilla Mobile,0.2194
1264536,Anguilla Mobile,0.2194
1264537,Anguilla Mobile,0.2194
1264538,Anguilla Mobile,0.2194
1264539,Anguilla Mobile,0.2194
1264543,Anguilla Mobile,0.2194
1264729,Anguilla Mobile,0.2194
