Country,Year,Population,GDP,Debt
Australia,2000,19153380,416923318470,11.361
Australia,2001,19413240,380427712783,9.552
Australia,2002,19651440,397239430724,8.576
Australia,2003,19895440,468468841002,7.549
Australia,2004,20127360,615275999431,6.716
Australia,2005,20394790,696033679146,6.312
Australia,2006,20697880,749316412099,5.760
Australia,2007,21015040,856816361781,5.181
Australia,2008,21499000,1039415095377,4.922
Australia,2009,21955000,924843128521,8.195
Canada,2000,30685730,724918860683,40.863
Canada,2001,31019020,715423553719,39.713
Canada,2002,31353660,734661951188,38.091
Canada,2003,31639670,865873242452,35.853
Canada,2004,31940680,992226868150,32.109
Canada,2005,32245210,1133759985476,30.235
Canada,2006,32576070,1278610846645,27.934
Canada,2007,32929730,1424065729448,25.183
Canada,2008,33315980,1499107812266,28.642
Canada,2009,33720180,1336067710612,35.716
France,2000,59062380,1326334438917,47.417
France,2001,59476240,1338302550336,48.346
France,2002,59893870,1452030491248,49.941
France,2003,60303630,1792214898420,51.880
France,2004,60734340,2055677736182,52.561
France,2005,61181500,2136555364871,53.275
France,2006,61597490,2255705477450,52.131
France,2007,61965050,2582389733356,52.118
France,2008,62304320,2831794060131,53.406
France,2009,62636430,2624504232173,61.231
Germany,2000,82211500,1900221116639,38.357
Germany,2001,82349930,1890970917226,36.452
Germany,2002,82488500,2016920760399,37.164
Germany,2003,82534180,2442212189616,38.480
Germany,2004,82516260,2745214902560,39.862
Germany,2005,82469420,2788389792568,40.832
Germany,2006,82376450,2918555186598,41.232
Germany,2007,82266370,3329145212814,39.550
Germany,2008,82110100,3634525945728,39.550
Germany,2009,81902300,3330031687465,44.205
Japan,2000,126926000,4667448302100,106.118
Japan,2001,127291000,4095484283985,123.521
Japan,2002,127435000,3918335087887,137.610
Japan,2003,127619000,4229096852937,140.896
Japan,2004,127687000,4605920900613,156.805
Japan,2005,127768000,4552200185088,164.498
Japan,2006,127770000,4362589532154,161.806
Japan,2007,127771000,4377943849041,164.546
Japan,2008,127692000,4879861453768,180.783
Japan,2009,127510000,5032982758381,183.530
United Kingdom,2000,58886000,1477580571947,42.153
United Kingdom,2001,59113000,1470891032100,38.788
United Kingdom,2002,59323000,1612056354916,39.131
United Kingdom,2003,59557000,1860809795918,38.667
United Kingdom,2004,59846000,2202490021605,40.023
United Kingdom,2005,59402000,2280113745868,43.523
United Kingdom,2006,59744000,2444148618090,43.185
United Kingdom,2007,60124000,2810971803142,42.744
United Kingdom,2008,60520000,2657482269112,61.059
United Kingdom,2009,60930000,2173154245318,75.270
United States,2000,282165900,9898800000000,33.896
United States,2001,285049600,10233900000000,32.408
United States,2002,287745600,10590200000000,33.204
United States,2003,290242000,11089200000000,34.865
United States,2004,292936100,11812300000000,36.044
United States,2005,295618500,12579700000000,36.149
United States,2006,298431800,13336200000000,36.039
United States,2007,301393600,13995000000000,35.703
United States,2008,304177400,14296900000000,40.183
United States,2009,306656300,14043900000000,53.573
