Country,Country Code,Gold,Silver,Bronze
Albania,ALB,0,0,2
Algeria,ALG,2,0,1
Argentina,ARG,1,1,1
Armenia,ARM,0,3,1
Australia,AUS,18,19,16
Austria,AUT,2,0,3
Azerbaijan,AZE,2,2,3
Bahrain,BHR,2,1,1
Belgium,BEL,3,1,6
Botswana,BOT,1,1,0
Brazil,BRZ,3,7,10
Bulgaria,BUL,3,1,3
Canada,CAN,9,7,11
Cape Verde,CPV,0,0,1
Chile,CHI,1,1,0
China,CHN,40,27,24
Chinese Taipei,TPE,2,0,5
Colombia,COL,0,3,1
Croatia,CRO,2,2,3
Cuba,CUB,2,1,6
Cyprus,CYP,0,1,0
Czech Republic,CZE,3,0,2
Denmark,DEN,2,2,5
Dominica,DMA,1,0,0
Dominican Republic,DOM,1,0,2
Ecuador,ECU,1,2,2
Egypt,EGY,1,1,1
Ethiopia,ETH,1,3,0
Fiji,FIJ,0,1,0
France,FRA,16,26,22
Georgia,GEO,3,3,1
Germany,GER,12,13,8
Great Britain,GBG,14,22,29
Greece,GRE,1,1,6
Grenada,GRN,0,0,2
Guatemala,GUA,1,0,1
Hong Kong,HK,2,0,2
Hungary,HUN,6,7,6
India,IND,0,1,5
Indonesia,IDN,2,0,1
Iran,IRN,3,6,3
Ireland,IRE,4,0,3
Israel,ISR,1,5,1
Italy,ITA,12,13,15
Ivory Coast,CIV,0,0,1
Jamaica,JAM,1,3,2
Japan,JPN,20,12,13
Jordan,JOR,0,1,0
Kazakhstan,KAZ,1,3,3
Kenya,KEN,4,2,5
Kosovo,KOS,0,1,1
Kyrgyzstan,KGZ,0,2,4
Lithuania,LTU,0,2,2
Malaysia,MAS,0,0,2
Mexico,MEX,0,3,2
Moldova,MDA,0,1,3
Mongolia,MGL,0,1,0
Morocco,MOR,1,0,1
Netherlands,NED,15,7,12
New Zealand,NZ,10,7,3
North Korea,PRK,0,2,4
Norway,NOR,4,1,3
Pakistan,PKN,1,0,0
Panama,PAN,0,1,0
Peru,PER,0,0,1
Philippines,PHI,2,0,2
Poland,POL,1,4,5
Portugal,POR,1,2,1
Puerto Rico,PUR,0,0,2
Qatar,QAT,0,0,1
Refugee Olympic Team,EOR,0,0,1
Romania,ROM,3,4,2
Serbia,SER,3,1,1
Singapore,SIN,0,0,1
Slovakia,SVK,0,0,1
Slovenia,SLO,2,1,0
South Africa,SA,1,3,2
South Korea,KOR,13,9,10
Spain,SPA,5,4,9
St Lucia,LCA,1,1,0
Sweden,SWE,4,4,3
Switzerland,SWI,1,2,5
Tajikistan,TJK,0,0,3
Thailand,THA,1,3,2
Tunisia,TUN,1,1,1
Turkey,TUR,0,3,5
Uganda,UGA,1,1,0
Ukraine,UKR,3,5,4
United States,US,40,44,42
Uzbekistan,UZB,8,2,3
Zambia,ZAM,0,0,1
