Average peak sunlight hours (= daily solar irradiation). Source: http://pveducation.org/pvcdrom/properties-of-sunlight/average-solar-radiation#. Stuttgart value incorrect, replaced by http://www.stadtklima-stuttgart.de/index.php?climate_climate_atlas_1992_3_solar,,,,,,,,,,,,,
City,Country or US State,January,February,March,April,May,June,July,August,September,October,November,December
Melbourne,Australia,6.63,5.83,4.50,2.89,1.89,1.64,1.81,2.29,3.48,4.74,5.72,6.47
Sydney,Australia,6.19,5.89,5.14,4.31,3.33,2.78,3.14,3.69,4.75,5.39,6.28,6.36
Perth,Australia,8.08,7.44,6.04,4.04,2.08,2.45,2.61,3.34,4.83,5.86,7.44,8.16
Darwin,Australia,6.20,5.20,5.59,6.20,5.58,5.29,5.48,6.18,6.78,6.91,6.95,6.18
Hobart,Australia,6.37,5.36,3.95,2.52,1.78,1.43,1.63,2.35,3.50,4.75,5.56,5.81
Alice Springs,Australia,8.00,7.36,6.70,5.93,4.74,4.27,4.58,5.29,6.29,7.27,7.45,7.50
Singapore,Singapore,4.66,4.92,4.99,4.66,4.29,4.21,4.34,4.39,4.52,4.35,3.86,4.00
Bangkok,Thailand,6.44,6.54,6.18,5.27,4.66,4.21,3.59,3.93,5.29,5.62,5.31,6.12
Kagoshima,Japan,2.35,2.77,3.55,3.93,4.20,4.20,4.76,4.98,3.91,3.47,2.61,2.29
Akita,Japan,1.27,1.98,3.15,4.09,4.78,4.75,4.86,4.53,3.66,2.78,1.51,1.08
Colombo,Sri Lanka,4.62,4.84,5.47,5.45,5.05,4.72,4.47,4.46,4.31,4.53,4.76,4.69
Madras,India,5.05,6.15,6.72,6.82,6.29,5.62,5.45,5.56,5.49,4.64,4.33,3.99
Karachi,Pakistan,4.55,5.21,5.85,6.31,6.62,6.52,5.63,5.19,5.78,5.51,4.82,4.28
New Delhi,India,3.15,3.84,4.49,5.52,5.87,5.21,5.03,4.71,5.03,4.34,3.45,2.93
Addis Ababa,Ethiopia,5.31,5.81,5.90,5.67,5.37,4.62,3.78,3.90,4.76,6.03,6.21,5.59
Nairobi,Kenya,6.44,6.54,6.18,5.27,4.66,4.21,3.59,3.93,5.29,5.62,5.31,6.12
Pretoria,South Africa,6.50,6.23,5.63,4.64,4.25,3.95,4.26,4.95,5.65,6.07,6.55,6.81
Luanda,Angola,5.63,5.82,5.45,5.17,4.82,4.09,3.52,3.49,4.39,5.03,5.61,5.42
Benin City,Nigeria,4.30,4.67,4.82,4.78,4.78,4.30,3.56,3.51,3.86,4.42,4.81,4.45
Dakar,Senegal,5.11,6.13,6.78,7.07,6.93,6.38,5.64,5.31,5.34,5.60,5.10,4.72
Casablanca,Morocco,2.69,3.57,4.72,5.81,6.39,6.74,6.89,6.41,5.45,4.05,3.03,2.36
Almeria,Spain,2.72,3.48,4.27,5.46,6.68,7.20,7.44,6.58,5.27,4.01,2.90,2.54
Rome,Italy,1.69,2.53,3.78,4.99,6.02,6.58,6.85,6.15,4.70,3.30,2.03,1.52
Athens,Greece,1.82,2.60,3.78,5.03,6.26,6.86,6.90,6.19,4.89,3.41,2.29,1.69
Cairo,Egypt,3.29,4.32,5.35,6.42,7.32,7.79,7.54,7.02,6.12,4.97,3.68,3.09
Odessa,Ukraine,0.95,1.48,2.54,4.00,5.39,6.20,6.01,5.26,3.99,2.41,1.06,0.73
Clug,Romania,1.31,2.04,3.35,4.38,5.61,6.17,6.11,5.28,3.96,2.54,1.31,0.89
Warsaw,Poland,0.54,0.97,2.29,3.30,4.56,5.38,5.08,4.61,2.92,1.42,0.61,0.39
Moscow,Russia,0.61,1.34,2.44,3.56,4.98,5.76,5.09,4.19,2.63,1.22,0.51,0.33
St Petersburgh,Russia,0.31,0.92,2.06,3.35,5.20,5.87,5.31,4.03,2.37,1.01,0.34,0.17
Copenhagen,Denmark,0.40,1.04,2.32,3.90,5.05,6.07,5.31,4.48,2.88,1.48,0.63,0.35
Stuttgart,Germany,1.01,1.73,2.93,4.15,5.28,5.69,5.69,4.78,3.65,2.26,1.08,0.74
London,England,0.57,1.09,2.05,3.01,4.11,5.00,4.39,3.63,2.73,1.57,0.81,0.48
Wilmington,Delaware,2.06,3.00,3.90,4.88,5.61,6.34,6.03,5.54,4.35,3.38,2.21,1.68
Rayleigh,North Carolina,2.60,3.46,4.43,5.97,6.33,6.47,6.32,5.84,4.74,4.24,3.04,2.42
Miami,Florida,3.49,4.43,5.16,6.16,6.03,5.76,5.99,5.67,4.91,4.37,3.57,3.35
Louisville,Kentucky,2.02,2.84,4.03,5.09,5.88,6.43,6.12,5.53,4.53,3.59,2.27,1.85
Chicago,Illinois,1.76,2.59,3.55,4.80,5.98,6.29,6.38,5.16,4.19,3.04,1.83,1.40
Kansas City,Missouri,2.21,2.88,4.09,5.17,6.09,6.48,6.56,5.88,4.57,3.53,2.27,1.89
Austin,Texas,3.06,3.89,4.82,5.40,5.91,6.61,6.77,6.28,5.24,4.51,3.34,2.73
Albequerque,New Mexico,3.17,4.13,5.32,6.88,7.90,8.09,7.77,6.96,5.79,4.75,3.54,2.93
Las Vegas,Nevada,3.04,4.06,5.31,6.92,7.93,8.36,8.11,7.25,6.24,4.71,3.48,2.79
Los Angeles,California,2.87,3.86,4.76,5.99,6.57,6.78,7.00,6.61,5.15,4.17,3.22,2.72
Seattle,Washington,0.92,1.65,2.88,4.04,5.47,6.06,6.23,4.99,3.85,2.09,1.15,0.74
Anchorage,Alaska,0.31,0.98,2.20,3.48,4.76,5.16,4.77,3.48,2.35,1.04,0.46,0.18
Honolulu,Hawaii,3.96,4.71,5.45,5.82,6.44,6.60,6.60,6.48,6.10,5.02,4.21,3.83
San Juan,Puerto Rico,4.29,4.91,5.72,6.01,5.84,6.13,6.20,5.96,5.67,4.91,4.18,3.95
Maracaibo,Venezuela,4.35,4.76,4.96,4.60,4.31,4.64,4.91,4.86,4.59,4.21,3.89,4.02
Huancayo,Peru,7.39,6.71,6.54,6.58,6.22,6.32,6.35,6.80,7.22,7.50,7.79,7.21
Buenos Aires,Argentina,7.00,6.37,5.15,3.75,2.71,2.06,2.27,3.19,4.17,5.26,6.64,6.87
Valparaiso,Chile,6.11,5.04,4.04,2.74,1.80,1.45,1.72,2.52,3.41,4.29,5.40,5.95
