"NODE_ID","NODE_TYPE","LOCATION_TYPE","LOCATED_MIDPOINT","COMPLEX_INT_NO","AMG_X","AMG_Y","ROAD_NAME_1","ROAD_TYPE_1","ROAD_DESC_1","ROAD_ROUTE_1","ROAD_NAME_2","ROAD_TYPE_2","ROAD_DESC_2","ROAD_NAME_3","ROAD_TYPE_3","ROAD_DESC_3","DISTANCE_LOCATION","DIRECTION_LOCATION","NEAREST_KM_POST","OFF_ROAD_LOCATION","DIRECTORY","EDITION","PAGE","GRID_REFERENCE_X","GRID_REFERENCE_Y","LGA_NAME","REGION_NAME","UNKNOWN"
78,"I","I","N",0,495499.216369245,5812011.01572545,"DOCKLANDS","HIGHWAY","",2120,"BATMANS HILL","DRIVE","","","","",,"",,"","MEL","ED35","2E","J","8","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
81,"I","I","N",0,508815.683478911,5802150.12407952,"NORTH ROAD","HIGHWAY","",2060,"HUNTINGDALE","ROAD","(R)","","","",,"",,"","MEL","ED35","69","J","11","MONASH","METROPOLITAN SOUTH EAST REGION",0
83,"I","I","N",8568,496227.717635737,5814069.918433,"ELIZABETH","STREET","",5046,"QUEENSBERRY","STREET","","","","",,"",,"","MEL","ED35","2B","C","10","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
85,"I","I","N",1005,496456.992697794,5815435.86957968,"CEMETERY","ROAD WEST","",5071,"COLLEGE","CRESCENT","","","","",,"",,"","MEL","ED35","2B","D","3","MELBOURNE","METROPOLITAN NORTH WEST REGION",9
89,"I","I","N",0,497561.586481995,5807636.00473362,"FITZROY","STREET","",5932,"ACLAND","STREET","","","","",,"",,"","MEL","ED35","2N","J","6","PORT PHILLIP","METROPOLITAN NORTH WEST REGION",0
90,"I","I","N",0,496712.518707716,5814471.08448523,"GRATTAN","STREET","",147320,"SWANSTON","STREET","","","","",,"",,"","MEL","ED35","2B","E","8","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
93,"I","I","N",0,500462.857945892,5814358.00641302,"STUDLEY PARK","ROAD","",5855,"YARRA","BOULEVARD","(A-  40360601)","","","",,"",,"","MEL","ED35","2D","D","9","BOROONDARA","METROPOLITAN SOUTH EAST REGION",0
100,"I","I","N",0,496842.690067124,5814453.54993587,"CARDIGAN","STREET","",119165,"GRATTAN","STREET","","","","",,"",,"","MEL","ED35","2B","F","8","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
102,"I","I","N",0,496972.210389622,5814436.10235466,"GRATTAN","STREET","",147320,"LYGON","STREET","","","","",,"",,"","MEL","ED35","2B","F","8","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
109,"I","I","N",0,497027.864390499,5814833.84926583,"ELGIN","STREET","",136013,"LYGON","STREET","","","","",,"",,"","MEL","ED35","2B","G","6","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
111,"I","I","N",0,498706.534565045,5802414.13431951,"BEACH","ROAD","",5840,"GROSVENOR","STREET","","","","",,"",,"","MEL","ED35","67","C","10","BAYSIDE","METROPOLITAN SOUTH EAST REGION",0
116,"I","I","N",0,497262.956942979,5814630.07998702,"FARADAY","STREET","",138819,"RATHDOWNE","STREET","","","","",,"",,"","MEL","ED35","2B","H","7","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
119,"I","I","N",8698,497731.835887438,5810498.88857676,"TOORAK","ROAD WEST","",5127,"KINGS","WAY","","","","",,"",,"","MEL","ED35","2K","K","4","MELBOURNE","METROPOLITAN NORTH WEST REGION",78
120,"I","I","N",0,502907.048023523,5799755.6512628,"NEPEAN","HIGHWAY","",2660,"NEPEAN","HIGHWAY","","","","",,"",,"","MEL","ED35","77","D","4","BAYSIDE","METROPOLITAN SOUTH EAST REGION",0
129,"I","I","N",0,497562.010044483,5813921.42241039,"NICHOLSON","STREET","",5736,"GERTRUDE","STREET","","","","",,"",,"","MEL","ED35","2B","J","11","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
130,"I","I","N",5394,499466.46724033,5809544.9680101,"BRAY","STREET","",114217,"SIMMONS","STREET","","","","",,"",,"","MEL","ED35","2L","J","8","STONNINGTON","METROPOLITAN SOUTH EAST REGION",0
134,"I","I","N",0,507420.622428901,5791666.17534357,"NEPEAN","HIGHWAY","",2660,"NEPEAN","HIGHWAY","(R-SERVICE-RD)","","","",,"",,"","MEL","ED35","87","E","12","KINGSTON","METROPOLITAN SOUTH EAST REGION",0
136,"I","I","N",0,525975.396265665,5814134.68919623,"MINKARA","COURT","",179179,"PARRS","ROAD","","","","",,"",,"","MEL","ED35","51","C","5","MAROONDAH","METROPOLITAN SOUTH EAST REGION",0
140,"I","I","N",0,490839.945382468,5814569.29778558,"BARKLY","STREET","",107332,"DONALD","STREET","","","","",,"",,"","MEL","ED35","2S","E","8","MARIBYRNONG","METROPOLITAN NORTH WEST REGION",0
143,"I","I","N",0,498468.110056788,5815190.57019486,"EASTERN","HIGHWAY","(R)",2830,"GORE","STREET","","","","",,"",,"","MEL","ED35","2C","D","4","YARRA","METROPOLITAN NORTH WEST REGION",0
146,"I","I","N",0,498579.27875285,5815216.03549908,"EASTERN","HIGHWAY","",2830,"SMITH","STREET","","","","",,"",,"","MEL","ED35","2C","E","4","YARRA","METROPOLITAN NORTH WEST REGION",0
149,"I","I","N",0,498722.151132123,5814257.5664629,"STANLEY","STREET","",210305,"WELLINGTON","STREET","","","","",,"",,"","MEL","ED35","2C","E","9","YARRA","METROPOLITAN NORTH WEST REGION",0
150,"I","I","N",0,498701.993862906,5814107.47284609,"SINGLETON","STREET","",207369,"WELLINGTON","STREET","","","","",,"",,"","MEL","ED35","2C","E","10","YARRA","METROPOLITAN NORTH WEST REGION",0
158,"I","I","N",0,504189.521853553,5765890.06130667,"DUNNS","ROAD","",134151,"MAXWELL","STREET","","","","",,"",,"","MEL","ED35","145","G","4","MORNINGTON PENINSULA","METROPOLITAN SOUTH EAST REGION",0
169,"I","I","N",8570,499192.094631121,5813965.08906752,"HODDLE","HIGHWAY","",2080,"GIPPS","STREET","","","","",,"",,"","MEL","ED35","2C","H","11","YARRA","METROPOLITAN NORTH WEST REGION",0
178,"I","I","N",0,499623.928514892,5814095.826018,"HARPER","STREET","",150441,"NICHOLSON","STREET","","","","",,"",,"","MEL","ED35","2C","K","10","YARRA","METROPOLITAN NORTH WEST REGION",0
205,"I","I","N",0,496127.295451376,5812996.24336387,"LONSDALE","STREET","",169619,"WILLIAM","STREET","","","","",,"",,"","MEL","ED35","2F","B","3","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
206,"I","I","N",0,496066.418805393,5812480.71552142,"KING","STREET","",5041,"COLLINS","STREET","","","","",,"",,"","MEL","ED35","2F","B","6","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
215,"I","I","N",0,496513.638287913,5812890.39249667,"BOURKE","STREET","",113379,"HARDWARE","LANE","","","","",,"",,"","MEL","ED35","2F","D","4","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
216,"I","I","N",0,496423.281341264,5812857.35069285,"BOURKE","STREET","",113379,"QUEEN","STREET","","","","",,"",,"","MEL","ED35","2F","D","4","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
219,"I","I","N",0,495782.600153852,5830243.47744587,"COBURG-CRAIGIEBURN","ROAD","",5500,"JESICA","ROAD","","","","",,"",,"","MEL","ED35","7","E","1","HUME","METROPOLITAN NORTH WEST REGION",0
229,"I","I","N",0,496859.059418374,5813016.70498714,"BOURKE","STREET","",113379,"SWANSTON","STREET","","","","",,"",,"","MEL","ED35","2F","F","3","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
231,"I","I","N",0,496899.008083702,5812907.88928509,"LITTLE COLLINS","STREET","",168562,"SWANSTON","STREET","","","","",,"",,"","MEL","ED35","2F","F","4","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
233,"I","I","N",0,496800.823559158,5812501.61284269,"ELIZABETH","STREET","",136223,"FLINDERS","STREET","","","","",,"",,"","MEL","ED35","2F","F","6","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
236,"I","I","N",0,496997.069677622,5813315.19600403,"LONSDALE","STREET","",169619,"RUSSELL","STREET","","","","",,"",,"","MEL","ED35","2F","G","2","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
238,"I","I","N",0,497018.100003866,5812581.419383,"FLINDERS","STREET","",140787,"ST KILDA","ROAD","","","","",,"",,"","MEL","ED35","2F","G","5","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
240,"I","I","N",0,497235.096464172,5812661.12377205,"FLINDERS","STREET","",140787,"RUSSELL","STREET","","","","",,"",,"","MEL","ED35","2F","H","5","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
241,"I","I","N",0,497505.010261938,5813492.63408173,"ALBERT","STREET","",101417,"LONSDALE","STREET","","","","",,"",,"","MEL","ED35","2F","J","1","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
242,"I","I","N",0,497352.684101441,5811638.64392313,"ST KILDA","ROAD","",5882,"GOVERNMENT HOUSE","DRIVE","","","","",,"",,"","MEL","ED35","2F","H","10","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
251,"I","I","N",0,496699.622584527,5755322.28997216,"POINT NEPEAN","ROAD","",4034,"ODONOHUE","STREET","","","","",,"",,"","MEL","ED35","159","H","6","MORNINGTON PENINSULA","METROPOLITAN SOUTH EAST REGION",0
260,"I","I","N",0,498902.949043322,5811785.42228178,"HODDLE","HIGHWAY","",2080,"SWAN","STREET","","","","",,"",,"","MEL","ED35","2G","F","9","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
263,"I","I","N",0,498815.143158919,5811118.9784378,"HODDLE","HIGHWAY","",2080,"ALEXANDRA","AVENUE","","","","",,"",,"","MEL","ED35","2L","F","1","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
276,"I","I","N",0,471320.025553881,5803783.85081706,"WERRIBEE MAIN","ROAD","",5445,"SNEYDES","ROAD","","","","",,"",,"","MEL","ED35","206","C","7","WYNDHAM","METROPOLITAN NORTH WEST REGION",0
290,"I","I","N",0,499921.257680716,5813206.93589546,"CHURCH","STREET","",5499,"BAKER","STREET","","","","",,"",,"","MEL","ED35","2H","B","2","YARRA","METROPOLITAN NORTH WEST REGION",0
324,"I","I","N",0,501341.649172601,5812291.92675815,"BRIDGE","ROAD","",5285,"BURWOOD","ROAD","","","","",,"",,"","MEL","ED35","2H","J","7","BOROONDARA","METROPOLITAN SOUTH EAST REGION",0
325,"I","I","N",0,501659.472942247,5811576.65724534,"BURNLEY-KEW","ROAD","",5856,"YARRA","BOULEVARD","(A-  40360603)","","","",,"",,"","MEL","ED35","45","A","11","YARRA","METROPOLITAN NORTH WEST REGION",0
328,"I","I","N",0,502426.692106812,5827138.35037516,"METROPOLITAN RING","ROAD","(F-EN-  28801103)",2880,"METROPOLITAN RING","ROAD","(F-EX-  28801202)","","","",,"",,"","MEL","ED35","9","B","9","WHITTLESEA","METROPOLITAN NORTH WEST REGION",329
329,"I","I","N",0,520196.306643509,5813313.25057324,"RINGWOOD","BYPASS","",2270,"RINGWOOD-WARRANDYTE","ROAD","","","","",,"",,"","MEL","ED35","49","H","7","MAROONDAH","METROPOLITAN SOUTH EAST REGION",0
349,"I","I","N",0,495579.37493836,5810060.64797979,"MOUBRAY","STREET","",181413,"NELSON","ROAD","","","","",,"",,"","MEL","ED35","2J","J","6","PORT PHILLIP","METROPOLITAN NORTH WEST REGION",0
363,"I","I","N",0,496196.529135433,5810775.65058513,"CECIL","STREET","",120599,"DORCAS","STREET","","","","",,"",,"","MEL","ED35","2K","B","2","PORT PHILLIP","METROPOLITAN NORTH WEST REGION",0
