x,y,z,classification,return intensity,scan angle,return number,total returns
383478.4,5828911.2,6.4,5.0,54.0,-12.0,2.0,2.0
383485.4,5828908.6,62.2,5.0,63.0,-14.0,1.0,3.0
383487.3,5828908.9,65.1,5.0,13.0,-14.0,1.0,2.0
383485.6,5828918.9,59.6,5.0,16.0,-16.0,1.0,2.0
383486.9,5828919.2,65.8,5.0,31.0,-16.0,1.0,2.0
383487.2,5828919.2,65.5,5.0,19.0,-16.0,1.0,2.0
383487.4,5828919.2,65.4,5.0,30.0,-16.0,1.0,1.0
383487.6,5828918.7,66.0,5.0,36.0,-16.0,1.0,1.0
383488.4,5828920.9,70.7,5.0,52.0,-16.0,1.0,1.0
383488.4,5828920.7,70.4,5.0,35.0,-16.0,1.0,2.0
383488.3,5828920.4,69.4,5.0,12.0,-16.0,1.0,2.0
383488.6,5828920.5,70.1,5.0,30.0,-16.0,1.0,2.0
383488.8,5828920.4,70.1,5.0,17.0,-16.0,1.0,2.0
383488.8,5828920.2,69.6,5.0,18.0,-16.0,1.0,2.0
383489.2,5828920.4,69.8,5.0,16.0,-16.0,1.0,2.0
383489.8,5828920.4,70.0,5.0,14.0,-16.0,1.0,4.0
383489.1,5828920.4,63.3,5.0,30.0,-16.0,1.0,2.0
383486.6,5828911.1,20.9,5.0,135.0,-13.0,1.0,1.0
383486.0,5828908.7,9.8,5.0,15.0,-12.0,3.0,3.0
383490.0,5828920.6,69.9,5.0,22.0,-16.0,1.0,3.0
383489.4,5828920.3,63.4,5.0,28.0,-16.0,1.0,2.0
383486.8,5828910.9,19.7,5.0,30.0,-13.0,2.0,2.0
383486.5,5828911.0,17.4,5.0,41.0,-13.0,3.0,3.0
383484.1,5828918.7,5.3,5.0,144.0,-13.0,1.0,1.0
383484.1,5828918.4,5.1,5.0,14.0,-13.0,1.0,3.0
383487.1,5828911.2,19.7,5.0,13.0,-13.0,3.0,3.0
383487.2,5828910.5,19.7,5.0,25.0,-13.0,3.0,3.0
383484.5,5828918.7,5.1,5.0,113.0,-13.0,1.0,1.0
383484.5,5828918.4,5.0,5.0,105.0,-13.0,1.0,1.0
383487.3,5828911.7,18.5,5.0,39.0,-13.0,3.0,3.0
383487.3,5828911.4,18.6,5.0,34.0,-13.0,3.0,3.0
383487.5,5828910.7,18.6,5.0,16.0,-13.0,2.0,2.0
383487.4,5828910.5,17.9,5.0,26.0,-13.0,4.0,4.0
383484.8,5828918.6,5.2,5.0,80.0,-13.0,1.0,2.0
383484.8,5828918.3,5.2,5.0,46.0,-13.0,1.0,2.0
383484.8,5828918.4,4.7,5.0,48.0,-13.0,2.0,2.0
383484.8,5828918.0,4.8,5.0,21.0,-13.0,2.0,3.0
383484.6,5828918.4,3.1,5.0,20.0,-13.0,3.0,3.0
383487.5,5828911.9,18.8,5.0,65.0,-13.0,2.0,2.0
383487.5,5828911.7,18.3,5.0,34.0,-13.0,3.0,3.0
383487.7,5828911.0,18.5,5.0,55.0,-13.0,2.0,2.0
383487.7,5828910.2,17.5,5.0,18.0,-12.0,3.0,3.0
383487.7,5828909.8,16.5,5.0,21.0,-12.0,2.0,3.0
383484.9,5828918.8,5.3,5.0,62.0,-13.0,1.0,2.0
383485.0,5828918.4,5.4,5.0,95.0,-13.0,1.0,1.0
383485.0,5828918.2,4.8,5.0,21.0,-13.0,1.0,3.0
383484.5,5828918.9,1.8,4.0,33.0,-13.0,2.0,3.0
383487.7,5828911.4,17.6,5.0,20.0,-13.0,2.0,2.0
383487.6,5828911.2,17.0,5.0,27.0,-13.0,3.0,4.0
383487.4,5828911.4,15.7,5.0,29.0,-13.0,4.0,4.0
383487.7,5828910.4,15.8,5.0,29.0,-12.0,2.0,3.0
383487.3,5828910.9,13.4,5.0,23.0,-12.0,3.0,3.0
383487.0,5828908.3,4.7,5.0,30.0,-12.0,1.0,3.0
383485.3,5828918.6,5.6,5.0,89.0,-13.0,1.0,1.0
383485.3,5828918.2,4.6,5.0,110.0,-13.0,1.0,1.0
383487.8,5828912.0,17.1,5.0,20.0,-13.0,2.0,2.0
383487.7,5828911.7,15.6,5.0,14.0,-13.0,3.0,4.0
383487.4,5828912.1,13.7,5.0,33.0,-13.0,4.0,4.0
383487.9,5828911.2,16.1,5.0,24.0,-13.0,2.0,2.0
383487.9,5828910.7,15.7,5.0,21.0,-12.0,2.0,2.0
383488.0,5828910.3,16.0,5.0,97.0,-12.0,2.0,2.0
383488.1,5828910.0,15.9,5.0,36.0,-12.0,1.0,2.0
383487.8,5828910.4,14.0,5.0,49.0,-12.0,2.0,2.0
383487.9,5828909.8,13.5,5.0,16.0,-12.0,2.0,2.0
383487.2,5828908.8,5.0,5.0,46.0,-12.0,2.0,3.0
383487.3,5828908.4,5.1,5.0,85.0,-12.0,1.0,2.0
383487.4,5828908.1,5.1,5.0,43.0,-12.0,2.0,3.0
383487.3,5828908.0,3.9,5.0,45.0,-12.0,2.0,2.0
383485.3,5828918.8,3.0,5.0,96.0,-13.0,1.0,1.0
383485.6,5828918.2,4.2,5.0,11.0,-13.0,2.0,2.0
383487.7,5828914.5,17.8,5.0,141.0,-13.0,1.0,1.0
383487.8,5828914.1,17.9,5.0,91.0,-13.0,2.0,2.0
383488.2,5828911.2,16.1,5.0,51.0,-13.0,2.0,2.0
383488.2,5828910.9,16.2,5.0,43.0,-13.0,2.0,2.0
383488.3,5828910.6,16.0,5.0,89.0,-12.0,2.0,2.0
383488.4,5828910.3,16.0,5.0,64.0,-12.0,1.0,3.0
383488.1,5828910.7,14.0,5.0,39.0,-12.0,2.0,3.0
383487.5,5828911.5,9.9,5.0,20.0,-12.0,3.0,3.0
383488.1,5828910.4,13.9,5.0,64.0,-12.0,1.0,2.0
383487.6,5828911.2,9.9,5.0,23.0,-12.0,2.0,2.0
383488.2,5828910.0,14.0,5.0,68.0,-12.0,2.0,2.0
383488.1,5828910.0,12.8,5.0,89.0,-12.0,1.0,1.0
383488.2,5828909.6,12.9,5.0,15.0,-12.0,2.0,2.0
383488.3,5828908.9,12.9,5.0,22.0,-12.0,3.0,3.0
383487.5,5828908.9,4.6,5.0,32.0,-12.0,2.0,2.0
383487.7,5828908.0,5.3,5.0,24.0,-12.0,2.0,3.0
383487.5,5828908.4,3.7,5.0,21.0,-12.0,3.0,3.0
383487.3,5828907.9,0.7,4.0,12.0,-12.0,3.0,3.0
383485.6,5828918.8,3.0,5.0,15.0,-13.0,2.0,2.0
383487.9,5828914.5,17.6,5.0,70.0,-13.0,1.0,2.0
383488.4,5828911.5,16.4,5.0,13.0,-13.0,3.0,4.0
383488.1,5828912.0,14.1,5.0,10.0,-13.0,4.0,4.0
383488.4,5828911.2,16.1,5.0,128.0,-13.0,1.0,1.0
383488.5,5828910.6,16.0,5.0,20.0,-12.0,2.0,2.0
383488.6,5828910.3,16.0,5.0,10.0,-12.0,2.0,2.0
383488.4,5828910.3,13.9,5.0,43.0,-12.0,2.0,4.0
383488.2,5828910.6,12.6,5.0,46.0,-12.0,3.0,4.0
383487.8,5828911.2,9.8,5.0,16.0,-12.0,4.0,4.0
383488.7,5828909.7,15.4,5.0,62.0,-12.0,2.0,3.0
383488.4,5828910.0,13.8,5.0,17.0,-12.0,3.0,3.0
383488.3,5828910.0,12.6,5.0,17.0,-12.0,2.0,2.0
383487.9,5828908.3,5.6,5.0,14.0,-12.0,2.0,4.0
383487.8,5828908.5,4.8,5.0,32.0,-12.0,3.0,4.0
383488.0,5828907.9,5.5,5.0,31.0,-12.0,2.0,3.0
383487.8,5828908.2,4.0,5.0,15.0,-12.0,3.0,3.0
383487.9,5828907.8,4.3,5.0,59.0,-12.0,2.0,3.0
383487.4,5828908.4,1.4,4.0,15.0,-12.0,3.0,3.0
383487.4,5828908.2,0.8,4.0,30.0,-12.0,3.0,3.0
383487.5,5828907.9,0.5,4.0,13.0,-12.0,2.0,2.0
383488.0,5828914.6,16.6,5.0,125.0,-13.0,1.0,1.0
383488.5,5828911.7,16.5,5.0,18.0,-13.0,2.0,2.0
383488.6,5828911.1,16.0,5.0,37.0,-13.0,2.0,2.0
383488.7,5828910.8,15.9,5.0,44.0,-13.0,2.0,2.0
383488.8,5828910.5,16.0,5.0,14.0,-12.0,2.0,2.0
383488.7,5828910.3,15.3,5.0,24.0,-12.0,2.0,3.0
383488.5,5828910.5,14.1,5.0,49.0,-12.0,3.0,3.0
383488.8,5828909.6,15.3,5.0,22.0,-12.0,2.0,2.0
383487.9,5828908.5,4.0,5.0,79.0,-12.0,2.0,3.0
383488.2,5828907.9,5.3,5.0,65.0,-12.0,1.0,1.0
383487.6,5828908.1,0.6,4.0,38.0,-12.0,3.0,3.0
383487.9,5828915.5,14.8,5.0,95.0,-13.0,2.0,2.0
383488.2,5828914.9,16.1,5.0,64.0,-13.0,2.0,2.0
383488.3,5828914.5,16.2,5.0,75.0,-13.0,2.0,3.0
383488.0,5828914.9,14.5,5.0,18.0,-13.0,3.0,3.0
383488.8,5828911.9,16.3,5.0,125.0,-13.0,1.0,1.0
383488.8,5828911.7,16.1,5.0,11.0,-13.0,2.0,3.0
383489.1,5828910.7,16.1,5.0,22.0,-12.0,2.0,2.0
383489.1,5828910.4,16.0,5.0,22.0,-12.0,2.0,4.0
383488.8,5828910.8,14.1,5.0,32.0,-12.0,3.0,4.0
383488.2,5828911.6,9.7,5.0,13.0,-12.0,4.0,4.0
383488.8,5828910.5,13.8,5.0,129.0,-12.0,1.0,1.0
383489.2,5828909.8,15.3,5.0,41.0,-12.0,2.0,4.0
383488.7,5828910.4,12.6,5.0,76.0,-12.0,3.0,4.0
383488.2,5828911.0,9.3,5.0,14.0,-12.0,4.0,4.0
383488.8,5828910.0,12.6,5.0,82.0,-12.0,2.0,2.0
383488.3,5828910.2,8.5,5.0,11.0,-12.0,2.0,2.0
383487.7,5828909.4,0.7,4.0,75.0,-12.0,1.0,1.0
383487.8,5828909.0,0.7,4.0,15.0,-12.0,2.0,2.0
383488.4,5828908.0,4.2,5.0,28.0,-12.0,2.0,2.0
383488.2,5828915.6,14.1,5.0,123.0,-13.0,1.0,1.0
383488.5,5828914.9,16.0,5.0,24.0,-13.0,2.0,2.0
383488.9,5828912.0,14.2,5.0,23.0,-13.0,2.0,2.0
