id,lsat7_2002_10.tif,lsat7_2002_20.tif,lsat7_2002_30.tif,lsat7_2002_40.tif,lsat7_2002_50.tif,lsat7_2002_61.tif,lsat7_2002_62.tif,lsat7_2002_70.tif,lsat7_2002_80.tif
0,110,106,117,86,151,154,190,114,77
0,119,112,131,81,146,148,181,116,80
0,113,106,120,78,145,146,177,101,84
0,95,86,97,92,165,153,189,102,73
0,95,79,79,48,72,153,190,62,62
1,71,56,41,111,105,140,166,52,78
1,105,92,102,58,101,156,193,96,67
1,161,172,234,121,249,148,181,214,134
1,74,61,53,118,99,149,182,50,80
2,68,55,41,87,61,137,161,29,60
2,69,50,37,85,56,135,157,27,56
2,70,55,43,100,91,140,166,44,62
2,84,68,56,92,98,154,190,56,66
2,73,60,46,93,78,149,182,40,65
2,71,52,39,111,60,143,170,26,73
2,74,57,45,96,82,142,170,41,83
2,88,74,68,95,95,153,188,59,77
3,84,60,56,26,28,128,143,23,35
3,75,54,46,16,18,129,148,15,24
3,100,79,74,34,42,127,142,37,43
3,91,73,64,31,37,127,142,31,43
3,70,45,35,16,10,128,144,11,24
3,71,47,37,6,16,135,156,15,22
3,105,90,87,36,48,128,144,40,43
