x,y
686075.2885,6084935.855
685975.9722,6084831.63
685846.4546,6084016.357
686972.8433,6084034.487
686704.1665,6084215.949
688439.4455,6085030.154
688657.2691,6084586.428
688596.4136,6087568.22
686012.1214,6086370.138
688486.7424,6085312.918
685832.7251,6085471.737
685425.9867,6087276.875
688534.4094,6086861.805
686422.2462,6087384.679
688490.3431,6084711.489
686931.97,6086920.922
686484.9441,6083886.575
686494.7995,6084220.949
686693.0265,6086540.444
686414.8265,6084779.945
685126.2179,6086591.009
684945.5411,6085777.034
685408.2586,6085725.205
685552.8722,6085877.206
687881.0795,6084747.748
685916.3718,6085914.069
686550.8456,6083618.764
684859.7657,6086992.407
685485.6301,6083901.28
687527.4493,6083948.7
687211.1951,6086196.733
686533.8288,6087487.379
685922.2881,6086341.92
685597.8232,6085282.785
686971.1405,6084533.095
687474.6056,6084226.235
688412.9913,6084121.8
685277.6027,6086099.313
684807.1695,6085224.25
685562.8999,6087059.573
687397.5716,6084710.316
686248.7643,6084351.197
687356.1513,6083755.096
687507.0712,6083838.609
687351.3164,6086044.563
684755.3904,6084167.004
686659.6843,6087324.438
687040.9543,6084408.363
687541.8142,6087094.379
685730.601,6086378.633
684909.5112,6085935.068
687202.3281,6086196.728
685348.5992,6083805.987
686919.3082,6087364.956
685118.1674,6085782.53
685890.3675,6084292.725
686297.7609,6087128.647
686629.3064,6083762.966
686524.0981,6087190.976
685375.5454,6084277.679
687862.6781,6084378.874
685456.0891,6087346.524
688057.3195,6086124.19
688317.2908,6083906.362
687033.4632,6087423.06
685971.2689,6086899.562
688385.2367,6087501.902
685338.8599,6086700.371
688137.0044,6085861.879
688349.3019,6084720.834
687267.3042,6085067.556
688202.7242,6083858.454
687061.5027,6087035.62
686798.6,6086457.465
687982.301,6084401.955
688616.4627,6086911.375
688621.4208,6084316.582
688351.037,6083908.775
688289.8757,6084743.011
687417.5464,6084050.514
684810.3147,6085683.778
688133.6317,6083768.156
686319.2561,6085362.75
685874.5763,6085950.936
687953.959,6083979.789
687917.4236,6087461.273
687558.1269,6086997.887
688444.6819,6086588.999
687654.2004,6085356.232
688112.8017,6084111.435
688062.0269,6085779.827
685671.3847,6087225.366
688166.7428,6085113.628
686315.1174,6084405.234
685811.6204,6084290.78
685452.8542,6086162.14
688166.7108,6087285.602
686538.7318,6083990.691
687782.3011,6086401.277
688022.155,6085469.623
685375.9957,6083626.46
688281.7994,6084090.439
687138.5935,6086785.142
687814.1618,6084760.988
684968.2404,6087352.48
688293.1293,6085647.993
687964.4455,6085671.49
687765.257,6085939.341
688132.1934,6086832.268
688502.4399,6085836.482
686933.4023,6084215.482
684938.904,6087272.452
688178.2371,6087075.506
687501.8129,6083942.719
688604.2201,6086167.269
687103.493,6083911.152
687107.9514,6084470.845
685223.2915,6085264.052
687252.4872,6084557.833
684963.679,6083950.883
686139.9321,6085116.381
686098.1205,6083932.738
686594.3164,6083827.093
684761.4215,6086857.727
685300.8768,6087238.018
686760.3812,6084123.36
685993.6378,6085172.071
686636.723,6087102.977
685864.8126,6084937.055
685612.8186,6087474.951
688150.7097,6084242.068
686442.3548,6084543.721
686990.8545,6087271.954
687897.7467,6087212.994
688279.6418,6087556.869
687231.728,6086280.15
686196.9573,6084762.078
687501.3973,6084602.668
684699.6025,6085447.126
688559.6948,6083716.13
687191.4663,6085931.578
687962.0139,6087405.525
685930.5636,6083642.216
686651.3062,6085843.334
688584.184,6083981.959
685150.7687,6085200.754
684917.3584,6084274.95
687139.7256,6084864.788
684683.4498,6083776.194
687365.7401,6083695.317
686150.8594,6085490.283
687272.4088,6085654.096
687942.6396,6085076.411
686857.1372,6084074.83
688539.2158,6083756.568
686748.3316,6086970.108
687221.1751,6084981.757
685682.2256,6084131.554
685140.0084,6085866.263
684834.7739,6084642.962
687396.4087,6086314.228
685430.9613,6084120.708
685154.8178,6085547.469
687760.1132,6084962.409
685943.0291,6087336.36
684810.7279,6084073.417
688124.5589,6085201.676
686289.8861,6084452.722
685186.0482,6083807.389
686021.2541,6087572.139
687683.9657,6086873.801
686429.3458,6087236.032
686281.7548,6086410.489
686238.7407,6086679.527
687482.9166,6083677.621
687886.0428,6084817.113
688247.8013,6085823.345
688460.0056,6083621.871
686974.456,6087096.876
685247.115,6084241.649
687342.9598,6085490.388
688315.8553,6086281.614
685769.0859,6083789.396
687801.1074,6085801.411
686952.4748,6087197.329
684683.5375,6083665.858
686092.7497,6087009.2
684672.6266,6086295.691
687176.0104,6086510.862
686856.2838,6087281.978
688442.3402,6086350.195
687777.7797,6086392.418
687524.9243,6086890.416
685083.284,6083948.089
685997.7409,6084251.7
687125.3159,6083911.53
688377.6781,6086053.966
687378.7015,6084581.398
686224.4587,6086976.849
687726.8181,6086557.174
685579.3689,6086514.852
687754.2715,6087299.423
685000.2396,6084380.525
685504.059,6085721.013
685529.5187,6086151.417
687686.3436,6087033.538
688014.478,6084226.755
688149.3263,6085531.502
686463.7255,6085679.281
684992.8364,6086695.452
686072.8286,6085521.054
686161.0002,6086995.064
688164.3263,6084180.032
687967.7377,6086770.896
687581.3555,6084236.34
685240.2071,6084064.48
685305.0502,6085977.876
685999.142,6084241.391
687474.3876,6085541.493
686810.9066,6083852.101
687508.0002,6086803.549
688275.2547,6087373.104
685922.3296,6086499.015
686932.8606,6083835.925
684999.381,6086809.095
686610.4562,6086136.972
684668.0132,6087553.185
687517.2274,6085025.576
685230.7923,6084255.887
687818.983,6085377.059
688128.8361,6084312.003
685033.0654,6086845.719
687857.5009,6087402.042
688502.2671,6084209.777
688640.9135,6084041.633
686513.8872,6084209.809
686247.5341,6086798.78
686458.9066,6085730.452
685021.1579,6087563.365
685260.5113,6086999.201
687141.3669,6084485.888
687301.6379,6083853.778
685930.662,6086586.717
685139.7397,6085616.348
688505.0313,6084648.615
686029.9073,6086935.48
685969.757,6085652.674
685930.3024,6083878.01
686526.6932,6084845.568
687597.9366,6085191.324
685793.2703,6087537.933
685547.3871,6084435.879
688578.3941,6083853.399
686798.1651,6085178.879
688196.3507,6084630.866
684668.1394,6084003.238
687472.0033,6083940.159
685538.0815,6085569.923
684800.2919,6084984.896
685824.0072,6086809.837
686666.2298,6086827.217
686150.1528,6084310.386
684992.6512,6083931.869
685882.5624,6085928.439
687757.9771,6083776.58
688641.0754,6086542.405
686954.5343,6086060.971
684992.2529,6085905.007
686015.7726,6086091.498
688061.2322,6086572.91
686580.3091,6086006.27
685642.4268,6086114.61
687749.0512,6084891.83
686762.3069,6085275.99
685183.7269,6083971.219
688269.6918,6084835.373
686584.2279,6083605.008
687301.4627,6084929.124
688014.042,6086393.65
685907.1126,6086135.754
684692.8365,6084408.48
684775.1906,6087034.193
684854.7353,6084854.245
688237.0106,6085961.241
686312.4777,6084080.378
685462.3204,6084131.687
687525.6082,6084027.088
685421.8571,6085927.224
688628.138,6085570.853
685815.6018,6086655.673
686756.4248,6084537.586
688100.1631,6084529.06
686260.0155,6084807.629
687924.61,6085815.511
685452.8456,6086083.43
685042.1006,6085985.295
687213.4104,6085762.484
684925.2347,6086459.115
685832.8474,6085201.546
687447.724,6085648.557
687098.0724,6085149.62
686770.4329,6083781.019
686133.3538,6084027.462
688434.0553,6085786.083
685808.4602,6086980.604
688326.8718,6086591.964
687463.1633,6085825.671
687278.513,6087524.68
684881.3421,6086779.357
685866.6403,6087322.177
686447.1058,6087417.369
685984.7172,6083994.439
686698.9719,6085539.518
685119.9057,6086608.479
686584.4211,6087277.717
687865.9991,6087501.653
685718.6035,6083754.57
686170.8777,6086878.787
688048.7565,6085938.279
685448.8994,6085220.88
688189.314,6085793.655
687359.7487,6085972.632
687995.1987,6086581.573
686775.9943,6084048.807
688107.8504,6083881.276
686104.7458,6087156.681
688150.7764,6085181.453
685237.8543,6084811.287
688382.09,6084346.96
688391.3125,6083890.951
688559.0492,6085909.343
687506.8475,6085684.972
685200.2277,6084595.263
686976.7386,6086327.515
687590.1717,6083902.101
686169.6327,6087484.294
686045.3414,6084372.881
687469.3577,6084531.621
684803.9323,6084664.786
687789.4208,6086892.463
685175.7937,6086377.877
687104.7541,6083836.865
685635.2855,6085521.781
687716.7939,6084724.312
686633.7848,6084717.357
686611.8303,6086585.137
688168.0934,6086517.19
685562.3278,6086750.553
685674.9457,6084815.409
687496.518,6085415.864
685548.6934,6085079.544
684949.1222,6086329.864
688346.0831,6086988.299
687089.0288,6084654.243
684789.2257,6086087.483
685419.4653,6083636.351
685672.7115,6084066.726
688060.8984,6087376.011
686046.5885,6086870.043
685342.6057,6084261.792
685400.8157,6086391.939
688355.489,6086278.931
684682.2874,6084261.852
686794.607,6087188.185
685674.623,6087154.454
685405.6731,6083987.183
686011.4504,6084529.118
687568.3222,6086438.805
685651.4744,6085267.035
687870.8705,6086454.685
685869.602,6084222.527
686265.8436,6084993.892
685291.2682,6084252.541
685059.7795,6086781.741
688545.693,6084578.959
687354.4317,6087393.663
687860.3744,6084820.361
688378.586,6085933.743
688475.2138,6085988.452
684934.6899,6086011.093
688023.2489,6084280.752
685307.6391,6084185.441
685401.3322,6084745.862
685574.1692,6085280.41
687101.0277,6087495.3
687000.7836,6084250.812
685051.173,6086665.83
685689.8391,6084987.642
687600.8769,6086848.479
688043.6877,6084974.172
688359.0987,6085541.429
685947.7216,6085589.828
688258.43,6084625.845
684742.2439,6086273.818
687353.2319,6083889.929
687495.5894,6086816.971
688160.9417,6086042.951
687423.7541,6083899.77
685492.0821,6087190.934
686186.9098,6085175.511
684978.2091,6084486.604
687602.0807,6087367.888
685571.5194,6085954.207
684925.1108,6084411.828
687115.6203,6085570.365
686210.1814,6086793.228
687745.9578,6086196.59
688329.5559,6086856.839
687785.2397,6084251.305
686078.3404,6086305.061
686620.5048,6086014.476
687691.9159,6086128.68
686012.8574,6084336.617
685730.1992,6086845.033
686516.0363,6084571.005
687610.5373,6087396.786
686466.0018,6084284.027
687162.0993,6083666.374
686304.0897,6086703.459
686525.3294,6086223.768
685349.8486,6084856.231
685991.5658,6086119.095
685154.1807,6085190.582
686209.9851,6086859.314
684854.6947,6084976.351
685792.1942,6085147.947
686751.3978,6085212.461
685022.1579,6084699.531
688137.1338,6086300.071
685117.3296,6083630.633
685327.0324,6087435.352
688089.9051,6083878.991
687460.6544,6084640.77
687991.1079,6084766.813
688337.6997,6085009.194
686245.7462,6087293.408
686808.0235,6085444.231
688594.4433,6086201.599
687203.0474,6084996.838
685284.0233,6085084.638
685134.6627,6084962.024
685815.7731,6084727.278
685970.8317,6084760.074
685421.7779,6084225.062
686931.3581,6086015.083
686543.0054,6086330.071
684744.6337,6087145.096
686118.6032,6084752.541
686048.7703,6083779.573
687789.6216,6086323.823
688364.7009,6086933.562
686754.2412,6083804.065
685453.4835,6084906.821
686726.693,6085223.877
687622.3712,6085996.934
687084.6115,6084570.092
686798.2177,6085556.361
685056.3621,6086712.495
688535.407,6087371.103
688417.2875,6086515.585
687576.0449,6087314.186
687754.3098,6084494.846
686563.8236,6084345.147
686917.6806,6087547.532
686862.0447,6086414.971
686373.9723,6085098.169
686488.0535,6087351.615
684825.9781,6086475.894
685882.7331,6085304.221
685138.4603,6084495.097
686811.5668,6085733.279
685145.7432,6084695.666
687472.3497,6087600.663
686150.9458,6086808.173
688243.4155,6083935.725
688625.5397,6086133.703
687489.2311,6087537.401
685862.1294,6084614.976
686557.684,6083873.3
686732.4907,6086153.2
685321.1518,6087301.671
688144.3145,6084862.742
688324.7476,6087503.872
687411.9154,6084275.952
685655.0649,6085216.513
684840.8087,6085984.026
685299.6191,6086982.287
688571.4521,6085276.966
685314.2294,6084205.544
687079.2148,6086234.995
686053.6977,6087491.805
686632.3746,6087179.546
687061.261,6083845.82
686951.5579,6085427.205
688639.0273,6084645.84
684919.642,6086597.911
685725.5236,6086022.112
688231.6306,6085232.675
686398.4366,6084010.637
687335.1811,6086868.652
688179.7309,6087092.332
686315.6454,6083802.201
687046.0247,6086177.496
687678.6844,6086991.302
688090.8874,6085477.631
688085.5921,6086966.262
687570.7195,6086296.869
685065.7274,6083745.314
687587.084,6086342.236
685470.3252,6085757.351
687888.2504,6083822.332
685772.862,6083947.837
686434.623,6086861.55
686120.1337,6086920.32
688326.7684,6086797.124
685934.1416,6085855.387
687733.6734,6085501.362
687706.5734,6086914.299
684721.9211,6085261.213
685930.6306,6083931.819
688040.0278,6087134.128
687392.1232,6085324.037
686750.7399,6086085.138
684980.3083,6083993.583
688533.6653,6084340.011
688158.7512,6086686.279
687837.3275,6083694.041
687080.7583,6083681.647
686041.316,6086728.612
687315.8199,6087339.82
688138.0275,6086874.805
688566.3651,6085166.133
685725.9603,6086989.35
687591.729,6084579.484
685797.594,6086588.738
688475.8777,6086672.178
687721.2366,6085072.09
687728.4882,6086453.962
685393.3555,6087024.339
685723.308,6087149.812
686469.4998,6084998.591
685767.7917,6084920.22
687602.7791,6083662.675
688422.6587,6084403.637
687677.5685,6085364.799
685255.8129,6084423.179
685469.7396,6085834.287
687063.7657,6084116.591
687644.4451,6084143.56
686119.9851,6086639.67
686163.5968,6085575.995
687136.8012,6084326.475
688301.8553,6085854.356
685706.0722,6086929.944
685576.407,6084944.159
688301.6055,6086327.148
685311.6794,6087558.366
688241.5188,6083894.368
685849.4517,6085237.839
688370.8369,6085544.279
686981.3616,6084489.425
685747.2756,6086156.566
687580.5434,6085818.894
686466.7542,6084191.883
688194.6364,6087586.262
687823.1592,6085677.425
688590.0328,6085645.364
688033.4019,6086278.045
686224.306,6085841.787
688057.2169,6087581.736
687049.9526,6084031.769
685889.7428,6085860.362
686138.6792,6084341.056
684723.4711,6084185.754
687831.4146,6086819.991
685975.6247,6086135.806
688162.4853,6086429.285
687258.1797,6084918.217
687704.9717,6087429.248
688486.431,6086568.469
685319.4131,6084733.351
688626.8872,6083746.421
685070.2188,6087366.685
685486.5071,6083769.524
686648.6926,6085781.516
688214.7356,6086259.553
685758.6233,6086277.744
687816.2479,6083740.383
688046.8593,6083948.504
688389.4702,6087046.084
687547.4553,6083962.505
687644.225,6087430.435
687244.7342,6087594.207
685370.4955,6086377.627
686936.4082,6084899.529
686804.3293,6083799.087
