created_at,Houston,Midlothian,McAllen,Austin,Del Rio,Midland
2021-09-01 00:00:00+00:00,7.6,4.79,23.39,8.32,5.37,7.57
2021-09-01 00:02:00+00:00,7.78,4.6,23.02,8.93,5.95,8.5
2021-09-01 00:04:00+00:00,7.64,5.7,25.49,10.1,5.84,8.07
2021-09-01 00:06:00+00:00,7.6899999999999995,5.18,25.22,9.24,7.07,8.66
2021-09-01 00:08:00+00:00,7.74,5.29,23.16,9.02,5.18,7.98
2021-09-01 00:10:00+00:00,7.7,5.68,25.59,8.96,6.14,7.17
2021-09-01 00:12:00+00:00,7.89,6.91,22.95,8.72,5.6,7.36
2021-09-01 00:14:00+00:00,7.58,5.77,25.45,8.79,4.96,8.43
2021-09-01 00:16:00+00:00,7.81,6.57,23.63,8.6,5.54,7.95
2021-09-01 00:18:00+00:00,7.73,6.08,23.26,8.91,5.84,7.91
2021-09-01 00:20:00+00:00,7.69,5.88,22.77,7.98,5.04,8.77
2021-09-01 00:22:00+00:00,7.567500000000001,7.09,23.18,8.34,6.17,8.16
2021-09-01 00:24:00+00:00,7.445,6.44,23.67,8.47,5.48,8.39
2021-09-01 00:26:00+00:00,7.8,6.46,23.19,8.46,5.07,7.66
2021-09-01 00:28:00+00:00,6.84,6.91,24.03,9.12,5.58,9.56
2021-09-01 00:30:00+00:00,7.41,5.82,24.12,7.8,5.87,9.47
2021-09-01 00:32:00+00:00,7.38,6.05,22.75,7.74,6.46,10.05
2021-09-01 00:34:00+00:00,7.27,5.77,23.86,8.69,5.51,10.12
2021-09-01 00:36:00+00:00,7.84,5.22,23.32,7.91,5.29,8.66
2021-09-01 00:38:00+00:00,7.7575,6.0,24.24,9.1,5.18,7.98
2021-09-01 00:40:00+00:00,7.675,5.86,26.12,7.73,5.24,7.43
2021-09-01 00:42:00+00:00,7.56,6.89,24.81,8.43,5.28,7.24
2021-09-01 00:44:00+00:00,7.59,7.63,25.96,8.02,5.51,7.58
2021-09-01 00:46:00+00:00,7.55,6.89,25.76,7.39,5.15,7.89
2021-09-01 00:48:00+00:00,7.58,7.21,28.86,8.42,5.26,8.39
2021-09-01 00:50:00+00:00,8.0,7.5,29.09,7.85,4.65,6.92
2021-09-01 00:52:00+00:00,7.43,6.12,26.52,7.95,5.32,7.15
2021-09-01 00:54:00+00:00,6.9275,6.7,26.91,8.4,5.88,6.81
2021-09-01 00:56:00+00:00,6.425000000000001,5.68,29.84,8.55,5.12,7.36
2021-09-01 00:58:00+00:00,6.83,6.32,28.36,8.46,5.35,6.55
2021-09-01 01:00:00+00:00,7.36,6.2,27.77,9.95,5.59,6.1
2021-09-01 01:02:00+00:00,6.61,6.56,27.21,10.43,4.9,6.6
2021-09-01 01:04:00+00:00,6.53,5.73,28.65,9.27,6.45,6.7
2021-09-01 01:06:00+00:00,5.91,5.93,28.58,9.79,5.66,7.74
2021-09-01 01:08:00+00:00,7.23,6.07,28.68,11.05,4.55,6.81
2021-09-01 01:10:00+00:00,6.78,6.16,27.45,10.32,5.54,7.34
2021-09-01 01:12:00+00:00,6.33,5.72,28.35,10.6,4.97,7.18
2021-09-01 01:14:00+00:00,6.96,7.75,27.85,10.21,6.02,7.45
2021-09-01 01:16:00+00:00,6.62,7.45,29.16,9.63,5.91,7.62
2021-09-01 01:18:00+00:00,6.32,6.91,30.48,7.7,5.7,8.07
2021-09-01 01:20:00+00:00,6.64,7.19,28.85,9.23,5.18,8.05
2021-09-01 01:22:00+00:00,7.0,7.81,28.28,9.45,5.31,8.66
2021-09-01 01:24:00+00:00,5.91,7.0,30.48,10.59,5.29,9.52
2021-09-01 01:26:00+00:00,6.27,7.39,29.37,9.28,5.93,8.68
2021-09-01 01:28:00+00:00,6.63,6.66,31.02,9.86,5.48,8.19
2021-09-01 01:30:00+00:00,6.77,7.55,30.11,10.02,4.95,8.29
2021-09-01 01:32:00+00:00,6.72,8.32,30.64,10.54,4.73,7.89
2021-09-01 01:34:00+00:00,6.67,7.91,31.41,10.05,5.24,7.91
2021-09-01 01:36:00+00:00,5.78,8.25,31.64,9.84,5.9,7.75
2021-09-01 01:38:00+00:00,6.69,8.47,30.33,10.61,6.51,7.81
2021-09-01 01:40:00+00:00,7.62,7.24,30.64,11.33,5.89,8.19
2021-09-01 01:42:00+00:00,7.3825,7.64,28.84,9.62,5.53,8.52
2021-09-01 01:44:00+00:00,7.145,7.02,28.31,9.04,5.4,8.02
2021-09-01 01:46:00+00:00,5.55,6.42,29.58,11.03,6.03,8.5
2021-09-01 01:48:00+00:00,6.25,6.67,28.89,10.98,5.76,8.49
2021-09-01 01:50:00+00:00,6.64,7.23,29.78,10.33,5.46,7.88
2021-09-01 01:52:00+00:00,6.4,6.29,28.7,10.11,5.58,7.95
2021-09-01 01:54:00+00:00,6.38,6.21,30.12,10.95,6.05,8.22
2021-09-01 01:56:00+00:00,6.62,7.17,29.77,9.86,5.33,8.49
2021-09-01 01:58:00+00:00,6.630000000000001,6.46,28.98,10.04,5.98,7.96
2021-09-01 02:00:00+00:00,6.640000000000001,7.62,31.05,10.89,5.55,8.52
2021-09-01 02:02:00+00:00,6.83,8.67,28.83,9.36,5.56,7.68
2021-09-01 02:04:00+00:00,6.4,8.6,28.68,10.37,5.25,9.29
2021-09-01 02:06:00+00:00,7.0,7.57,29.64,10.81,5.34,9.12
2021-09-01 02:08:00+00:00,7.04,7.91,30.05,9.93,4.84,7.98
2021-09-01 02:10:00+00:00,7.41,7.92,29.31,10.26,4.79,7.71
2021-09-01 02:12:00+00:00,7.25,7.68,30.12,11.41,5.87,8.8
2021-09-01 02:14:00+00:00,7.045,7.79,30.87,10.12,5.26,8.79
2021-09-01 02:16:00+00:00,6.84,8.26,29.71,10.09,5.79,8.9
2021-09-01 02:18:00+00:00,7.07,8.17,30.9,10.79,5.47,8.65
2021-09-01 02:20:00+00:00,7.71,7.98,30.09,10.07,6.11,8.47
2021-09-01 02:22:00+00:00,7.48,7.6,31.3,11.43,5.86,8.62
2021-09-01 02:24:00+00:00,6.95,8.05,32.11,11.16,5.33,8.9
2021-09-01 02:26:00+00:00,7.85,8.03,32.17,11.48,5.91,8.14
2021-09-01 02:28:00+00:00,7.87,7.76,31.26,11.12,6.35,8.93
2021-09-01 02:30:00+00:00,7.575,9.27,30.96,11.55,5.55,9.25
2021-09-01 02:32:00+00:00,7.28,7.67,30.89,9.98,6.81,9.39
2021-09-01 02:34:00+00:00,7.53,7.43,31.0,11.42,6.38,9.66
2021-09-01 02:36:00+00:00,8.11,7.19,30.82,11.55,6.05,8.59
2021-09-01 02:38:00+00:00,7.38,6.41,31.09,10.91,5.87,9.33
2021-09-01 02:40:00+00:00,7.74,7.36,31.65,11.89,6.42,9.19
2021-09-01 02:42:00+00:00,6.82,7.6,30.96,11.64,6.48,8.75
2021-09-01 02:44:00+00:00,6.39,7.71,31.61,9.93,6.12,8.9
2021-09-01 02:46:00+00:00,7.352499999999999,7.07,32.54,12.05,5.45,10.32
2021-09-01 02:48:00+00:00,8.315,7.8,32.12,11.35,5.79,9.61
2021-09-01 02:50:00+00:00,8.462499999999999,7.68,30.72,11.75,5.69,10.24
2021-09-01 02:52:00+00:00,8.61,9.19,30.91,12.98,6.59,9.83
2021-09-01 02:54:00+00:00,8.2,7.9,32.56,12.72,5.91,9.86
2021-09-01 02:56:00+00:00,9.31,8.48,31.38,13.53,5.51,9.53
2021-09-01 02:58:00+00:00,8.66,7.95,32.29,12.29,5.96,9.69
2021-09-01 03:00:00+00:00,8.11,8.47,33.21,10.98,7.0,10.49
2021-09-01 03:02:00+00:00,8.145,8.51,32.02,10.76,6.1,9.6
2021-09-01 03:04:00+00:00,8.18,8.6,32.4,10.21,5.7,8.98
2021-09-01 03:06:00+00:00,8.86,8.55,33.11,11.53,6.52,8.55
2021-09-01 03:08:00+00:00,8.2,8.68,33.17,11.61,6.78,8.83
2021-09-01 03:10:00+00:00,8.78,8.65,32.15,10.86,6.56,9.39
2021-09-01 03:12:00+00:00,7.69,7.47,32.47,12.89,5.88,8.76
2021-09-01 03:14:00+00:00,7.65,8.19,32.37,12.28,7.26,9.25
2021-09-01 03:16:00+00:00,7.85,8.18,32.35,12.79,6.59,9.53
2021-09-01 03:18:00+00:00,7.8374999999999995,8.54,33.59,12.97,6.12,9.54
2021-09-01 03:20:00+00:00,7.824999999999999,8.4,32.55,12.12,5.79,8.97
2021-09-01 03:22:00+00:00,8.57,9.33,33.51,12.75,6.07,9.59
2021-09-01 03:24:00+00:00,8.8,8.57,33.75,13.05,6.67,10.16
2021-09-01 03:26:00+00:00,8.37,8.0,32.83,12.91,6.5,8.84
2021-09-01 03:28:00+00:00,8.81,8.62,34.11,12.84,6.83,9.39
2021-09-01 03:30:00+00:00,8.1,9.92,33.0,12.91,5.46,8.46
2021-09-01 03:32:00+00:00,7.0,10.0,34.26,14.49,6.59,8.5
2021-09-01 03:34:00+00:00,8.195,8.96,33.64,16.4,6.43,8.55
2021-09-01 03:36:00+00:00,9.39,8.85,33.07,15.47,7.47,8.86
2021-09-01 03:38:00+00:00,9.23,9.4,34.75,15.43,6.6,9.37
2021-09-01 03:40:00+00:00,8.85,9.58,34.24,15.41,6.86,7.79
2021-09-01 03:42:00+00:00,9.02,9.17,35.21,15.62,6.31,9.02
2021-09-01 03:44:00+00:00,9.63,11.18,35.74,16.88,5.86,9.3
2021-09-01 03:46:00+00:00,8.55,10.34,34.95,14.19,6.21,9.03
2021-09-01 03:48:00+00:00,9.0,11.47,34.57,16.76,5.95,8.05
2021-09-01 03:50:00+00:00,8.99,11.71,34.4,17.62,5.89,8.81
2021-09-01 03:52:00+00:00,8.98,10.69,35.77,16.6,5.92,8.74
2021-09-01 03:54:00+00:00,9.77,11.23,36.19,18.96,6.4,8.98
2021-09-01 03:56:00+00:00,9.26,10.73,35.55,18.12,6.39,9.5
2021-09-01 03:58:00+00:00,8.31,9.72,35.47,20.05,6.84,9.23
2021-09-01 04:00:00+00:00,9.65,10.86,37.34,20.71,6.17,9.46
2021-09-01 04:02:00+00:00,9.0,10.28,35.88,19.92,7.25,8.03
2021-09-01 04:04:00+00:00,9.74,10.05,36.51,19.44,6.46,9.29
2021-09-01 04:06:00+00:00,9.754999999999999,10.43,36.79,19.67,7.49,9.28
2021-09-01 04:08:00+00:00,9.77,10.28,36.39,20.41,6.5,9.71
2021-09-01 04:10:00+00:00,9.31,10.03,36.96,19.02,6.59,9.4
2021-09-01 04:12:00+00:00,9.09,10.22,37.07,18.95,7.43,9.25
2021-09-01 04:14:00+00:00,9.43,10.25,37.33,20.0,7.71,9.91
2021-09-01 04:16:00+00:00,9.38,11.14,36.72,20.42,6.61,9.78
2021-09-01 04:18:00+00:00,9.62,10.02,37.24,20.6,6.33,10.47
2021-09-01 04:20:00+00:00,9.12,11.02,37.91,20.36,7.02,9.25
2021-09-01 04:22:00+00:00,9.3325,11.27,37.5,22.67,6.54,9.86
2021-09-01 04:24:00+00:00,9.545,10.89,38.31,18.47,7.86,10.77
2021-09-01 04:26:00+00:00,9.56,11.44,37.07,21.89,7.36,10.71
2021-09-01 04:28:00+00:00,9.89,11.03,38.65,19.76,6.42,10.34
2021-09-01 04:30:00+00:00,9.79,10.12,37.88,22.44,8.12,9.9
2021-09-01 04:32:00+00:00,9.28,10.25,38.71,21.42,7.03,10.76
2021-09-01 04:34:00+00:00,9.75,10.08,37.34,23.53,6.79,10.69
2021-09-01 04:36:00+00:00,9.73,10.16,38.81,20.31,7.55,10.33
2021-09-01 04:38:00+00:00,10.0675,9.05,39.06,22.05,7.53,10.66
2021-09-01 04:40:00+00:00,10.405000000000001,9.29,38.41,21.33,7.36,11.64
2021-09-01 04:42:00+00:00,9.7,8.6,38.02,23.23,8.12,12.05
2021-09-01 04:44:00+00:00,10.68,9.34,37.91,28.14,7.59,16.33
2021-09-01 04:46:00+00:00,10.79,9.5,39.06,28.15,7.55,18.4
2021-09-01 04:48:00+00:00,10.96,10.0,38.72,29.49,7.5,13.64
2021-09-01 04:50:00+00:00,9.89,9.82,37.66,30.04,7.1,17.4
2021-09-01 04:52:00+00:00,10.56,9.98,38.33,31.11,8.95,14.2
2021-09-01 04:54:00+00:00,10.535,9.75,39.15,29.67,8.35,19.04
2021-09-01 04:56:00+00:00,10.51,8.55,37.85,31.05,8.62,15.83
2021-09-01 04:58:00+00:00,9.88,9.73,38.14,31.83,8.54,13.17
2021-09-01 05:00:00+00:00,10.36,9.82,37.76,29.98,8.96,12.53
2021-09-01 05:02:00+00:00,11.39,8.87,38.25,31.41,8.5,11.58
2021-09-01 05:04:00+00:00,11.56,10.13,38.18,31.38,9.03,11.2
2021-09-01 05:06:00+00:00,11.43,9.6,38.19,31.03,8.11,9.97
2021-09-01 05:08:00+00:00,11.52,10.04,36.81,31.03,9.05,11.41
2021-09-01 05:10:00+00:00,11.4575,9.56,36.65,31.16,10.68,10.93
2021-09-01 05:12:00+00:00,11.395,9.38,38.86,32.89,10.71,11.35
2021-09-01 05:14:00+00:00,11.58,9.55,37.28,32.24,9.73,10.58
2021-09-01 05:16:00+00:00,11.91,10.1,38.18,32.69,9.24,10.45
2021-09-01 05:18:00+00:00,11.23,9.48,37.76,32.26,10.21,10.28
2021-09-01 05:20:00+00:00,12.48,9.25,38.0,33.04,10.3,10.18
2021-09-01 05:22:00+00:00,11.27,10.9,38.45,33.29,10.75,9.86
